Insect ID	Insect Code	Insect Name	Model
0	ROD_INSECT_000_NAME	クルドローンⅠ	mus001
1	ROD_INSECT_001_NAME	クルドローンⅡ	mus001
2	ROD_INSECT_002_NAME	クルドローンⅢ	mus001
3	ROD_INSECT_003_NAME	アルマスタッグⅠ	mus003
4	ROD_INSECT_004_NAME	アルマスタッグⅡ	mus003
5	ROD_INSECT_005_NAME	アルマスタッグⅢ	mus003
6	ROD_INSECT_006_NAME	モナークブルスタッグⅠ	mus004
7	ROD_INSECT_007_NAME	モナークブルスタッグⅡ	mus004
8	ROD_INSECT_008_NAME	モナークブルスタッグⅢ	mus004
9	ROD_INSECT_009_NAME	レジナヴォランテⅠ	mus005
10	ROD_INSECT_010_NAME	レジナヴォランテⅡ	mus005
11	ROD_INSECT_011_NAME	レジナヴォランテⅢ	mus005
12	ROD_INSECT_012_NAME	ガシルドーレⅠ	mus006
13	ROD_INSECT_013_NAME	ガシルドーレⅡ	mus006
14	ROD_INSECT_014_NAME	ガシルドーレⅢ	mus006
15	ROD_INSECT_015_NAME	ドゥンクラープⅠ	mus007
16	ROD_INSECT_016_NAME	ドゥンクラープⅡ	mus007
17	ROD_INSECT_017_NAME	ドゥンクラープⅢ	mus007
18	ROD_INSECT_018_NAME	ウカドゥーレⅠ	mus008
19	ROD_INSECT_019_NAME	ウカドゥーレⅡ	mus008
20	ROD_INSECT_020_NAME	ウカドゥーレⅢ	mus008
21	ROD_INSECT_021_NAME	カゼキリバネⅠ	mus009
22	ROD_INSECT_022_NAME	カゼキリバネⅡ	mus009
23	ROD_INSECT_023_NAME	カゼキリバネⅢ	mus009
24	ROD_INSECT_024_NAME	オオシナトⅠ	mus010
25	ROD_INSECT_025_NAME	オオシナトⅡ	mus010
26	ROD_INSECT_026_NAME	オオシナトⅢ	mus010
27	ROD_INSECT_027_NAME	シナトモドキⅠ	mus011
28	ROD_INSECT_028_NAME	シナトモドキⅡ	mus011
29	ROD_INSECT_029_NAME	シナトモドキⅢ	mus011
30	ROD_INSECT_030_NAME	マルドローンⅠ	mus012
31	ROD_INSECT_031_NAME	マルドローンⅡ	mus012
32	ROD_INSECT_032_NAME	マルドローンⅢ	mus012
33	ROD_INSECT_033_NAME	ザミールビートルⅠ	mus014
34	ROD_INSECT_034_NAME	ザミールビートルⅡ	mus014
35	ROD_INSECT_035_NAME	ザミールビートルⅢ	mus014
36	ROD_INSECT_036_NAME	ケーニヒゴアビートルⅠ	mus015
37	ROD_INSECT_037_NAME	ケーニヒゴアビートルⅡ	mus015
38	ROD_INSECT_038_NAME	ケーニヒゴアビートルⅢ	mus015
39	ROD_INSECT_039_NAME	フィルカーノⅠ	mus016
40	ROD_INSECT_040_NAME	フィルカーノⅡ	mus016
41	ROD_INSECT_041_NAME	フィルカーノⅢ	mus016
42	ROD_INSECT_042_NAME	ハルキータⅠ	mus017
43	ROD_INSECT_043_NAME	ハルキータⅡ	mus017
44	ROD_INSECT_044_NAME	ハルキータⅢ	mus017
45	ROD_INSECT_045_NAME	ドルンキータⅠ	mus018
46	ROD_INSECT_046_NAME	ドルンキータⅡ	mus018
47	ROD_INSECT_047_NAME	ドルンキータⅢ	mus018
48	ROD_INSECT_048_NAME	アルジョアーニャⅠ	mus019
49	ROD_INSECT_049_NAME	アルジョアーニャⅡ	mus019
50	ROD_INSECT_050_NAME	アルジョアーニャⅢ	mus019
51	ROD_INSECT_051_NAME	ガルーヘルⅠ	mus020
52	ROD_INSECT_052_NAME	ガルーヘルⅡ	mus020
53	ROD_INSECT_053_NAME	ガルーヘルⅢ	mus020
54	ROD_INSECT_054_NAME	メイヴァーチルⅠ	mus021
55	ROD_INSECT_055_NAME	メイヴァーチルⅡ	mus021
56	ROD_INSECT_056_NAME	メイヴァーチルⅢ	mus021
57	ROD_INSECT_057_NAME	ヴァンリエールⅠ	mus022
58	ROD_INSECT_058_NAME	ヴァンリエールⅡ	mus022
59	ROD_INSECT_059_NAME	ヴァンリエールⅢ	mus022
60	ROD_INSECT_190_NAME	ドラゴンソウル	mus023
61	ROD_INSECT_191_NAME	ドラゴンソウル・真	mus023
62	ROD_INSECT_060_NAME	サルヴァースタッグⅠ・速	mus024
63	ROD_INSECT_061_NAME	サルヴァースタッグⅡ・速	mus024
64	ROD_INSECT_062_NAME	サルヴァースタッグⅢ・速	mus024
65	ROD_INSECT_063_NAME	サルヴァースタッグⅠ・攻	mus024
66	ROD_INSECT_064_NAME	サルヴァースタッグⅡ・攻	mus024
67	ROD_INSECT_065_NAME	サルヴァースタッグⅢ・攻	mus024
68	ROD_INSECT_066_NAME	オスパーダドゥーレⅠ・速	mus025
69	ROD_INSECT_067_NAME	オスパーダドゥーレⅡ・速	mus025
70	ROD_INSECT_068_NAME	オスパーダドゥーレⅢ・速	mus025
71	ROD_INSECT_069_NAME	オスパーダドゥーレⅠ・攻	mus025
72	ROD_INSECT_070_NAME	オスパーダドゥーレⅡ・攻	mus025
73	ROD_INSECT_071_NAME	オスパーダドゥーレⅢ・攻	mus025
74	ROD_INSECT_072_NAME	シナトオオモミジⅠ・癒	mus026
75	ROD_INSECT_073_NAME	シナトオオモミジⅡ・癒	mus026
76	ROD_INSECT_074_NAME	シナトオオモミジⅢ・癒	mus026
77	ROD_INSECT_075_NAME	シナトオオモミジⅠ・攻	mus026
78	ROD_INSECT_076_NAME	シナトオオモミジⅡ・攻	mus026
79	ROD_INSECT_077_NAME	シナトオオモミジⅢ・攻	mus026
80	ROD_INSECT_078_NAME	エルドラーンⅠ	mus002
81	ROD_INSECT_079_NAME	エルドラーンⅡ	mus002
82	ROD_INSECT_080_NAME	エルドラーンⅢ	mus002
83	ROD_INSECT_081_NAME	グランツビートルⅠ・速	mus027
84	ROD_INSECT_082_NAME	グランツビートルⅡ・速	mus027
85	ROD_INSECT_083_NAME	グランツビートルⅢ・速	mus027
86	ROD_INSECT_084_NAME	グランツビートルⅠ・癒	mus027
87	ROD_INSECT_085_NAME	グランツビートルⅡ・癒	mus027
88	ROD_INSECT_086_NAME	グランツビートルⅢ・癒	mus027
89	ROD_INSECT_087_NAME	アムルマリキータⅠ・攻	mus028
90	ROD_INSECT_088_NAME	アムルマリキータⅡ・攻	mus028
91	ROD_INSECT_089_NAME	アムルマリキータⅢ・攻	mus028
92	ROD_INSECT_090_NAME	アムルマリキータⅠ・速	mus028
93	ROD_INSECT_091_NAME	アムルマリキータⅡ・速	mus028
94	ROD_INSECT_092_NAME	アムルマリキータⅢ・速	mus028
95	ROD_INSECT_093_NAME	ヴァルフリューゲルⅠ・攻	mus029
96	ROD_INSECT_094_NAME	ヴァルフリューゲルⅡ・攻	mus029
97	ROD_INSECT_095_NAME	ヴァルフリューゲルⅢ・攻	mus029
98	ROD_INSECT_096_NAME	ヴァルフリューゲルⅠ・癒	mus029
99	ROD_INSECT_097_NAME	ヴァルフリューゲルⅡ・癒	mus029
100	ROD_INSECT_098_NAME	ヴァルフリューゲルⅢ・癒	mus029
101	ROD_INSECT_099_NAME	アルジャーロンⅠ	mus013
102	ROD_INSECT_100_NAME	アルジャーロンⅡ	mus013
103	ROD_INSECT_101_NAME	アルジャーロンⅢ	mus013
104	ROD_INSECT_192_NAME	ドラゴンソウル・極	mus023
