Item ID	Item Name	Item Type	Rare	Item Desc
0	－－－－－－－－	Material	0	Unavailable
1	回復薬	Item	0	体力を少量回復する薬。
2	回復薬グレート	Item	1	体力を中量回復する薬。
3	秘薬	Item	2	体力の上限が最大まで上昇し、完全回復する薬。
4	いにしえの秘薬	Item	4	体力とスタミナの上限が最大まで上昇し、完全回復する薬。
5	解毒薬	Item	0	毒状態を回復する薬。
6	漢方薬	Item	1	毒状態を回復し、同時に体力を微量回復する薬。
7	ウチケシの実	Item	1	様々な属性やられを治す実。
8	元気ドリンコ	Item	1	スタミナを回復するドリンク。眠気もスッキリ！
9	携帯食料	Item	0	スタミナを少量回復する食料。
10	生焼け肉	Item	0	スタミナを中量回復する食料。
11	こんがり肉	Item	1	スタミナを中量回復し、最大値が減りにくくなる。
12	コゲ肉	Item	0	スタミナを少量回復する食料。素早く食べることができる。
13	クーラードリンク	Item	0	一定時間、暑さを緩和する飲料。
14	栄養剤	Item	1	体力の上限を微量に上昇させる薬。
15	栄養剤グレート	Item	2	体力の上限を少量、上昇させる薬。
16	活力剤	Item	2	自然回復力を高める薬。
17	アステラジャーキー	Item	1	調査団の拠点アステラで作られている干し肉。自然回復力を高め、裂傷状態を治す。
18	強走薬	Item	1	疲労を感じにくくする薬。一定時間、アクション時のスタミナ消費量が軽減される。
19	dummy01	Material	3	dummy
20	怪力の種	Item	1	食べると、一時的に攻撃力が上昇する種。
21	鬼人薬	Item	3	攻撃力を上昇させる薬。鬼のごとき力を得る。
22	鬼人薬グレート	Item	4	鬼人薬を上回る攻撃力を得ると伝えられる幻の薬。
23	怪力の丸薬	Item	3	一時的に鬼神のごとき力を得る事のできる、強力な丸薬。
24	忍耐の種	Item	1	食べると、一時的に防御力が上昇する種。
25	硬化薬	Item	3	防御力を上昇させる薬。岩石のごとく皮膚が硬質化する。
26	硬化薬グレート	Item	4	硬化薬を上回る防御力を得ると伝えられる幻の薬。
27	忍耐の丸薬	Item	3	一時的に鋼のごとく皮膚が硬質化する、強力な丸薬。
28	生命の粉塵	Item	3	体力を回復する粉塵を周囲に放つ。
29	漢方の粉塵	Item	3	毒を中和し体力を少量回復する粉塵を周囲に放つ。
30	鬼人の粉塵	Item	3	攻撃力を一時的に高める粉塵を周囲に放つ。
31	硬化の粉塵	Item	3	防御力を一時的に高める粉塵を周囲に放つ。
32	ハチミツ	Item	1	栄養価の高いハチミツ。回復薬と調合すると、その効果を高めることができる。
33	薬草	Item	0	回復薬の元となる草。
34	げどく草	Item	0	解毒薬の元となる草。
35	火薬草	Item	1	発火作用を秘めた不思議な草。爆弾に使う爆薬の調合に必要。
36	流水草	Item	0	葉に多量の水分を蓄える草。水冷弾の調合に必要。
37	霜ふり草	Item	1	氷のような冷気を放つ草。氷結弾の調合に必要。
38	ネムリ草	Item	0	睡眠作用を秘めた草。捕獲用麻酔玉の調合に必要。
39	ツタの葉	Item	0	柔軟性が高く強靭な草。落とし穴に使うネットの調合に必要。
40	ケムリの実	Item	0	たくさんの煙を発生させる実。他のアイテムと調合すれば、その特性を煙に乗せられる。
41	龍殺しの実	Item	3	龍が忌み嫌うと伝えられている実。滅龍弾の調合に必要。
42	アオキノコ	Item	1	増強作用を秘めたキノコ。いろいろな回復アイテムの調合に必要。
43	マンドラゴラ	Item	2	扱いを間違えれば死に至る危険なキノコ。秘薬の調合に必要。
44	ニトロダケ	Item	1	高熱を秘めた珍しいキノコ。爆弾に使う爆薬の調合に必要。
45	鬼ニトロダケ	Item	1	灼熱を秘めた、とても珍しいキノコ。大タル爆弾と調合するとその威力を飛躍的に高める。
46	マヒダケ	Item	2	麻痺作用を秘めたキノコ。捕獲用麻酔玉の調合に必要。
47	毒テングダケ	Item	1	毒素を秘めたキノコ。投げナイフに毒を付加できる。
48	ドキドキノコ	Item	2	不思議なにおいのするキノコ。モドリ玉の調合に必要。
49	にが虫	Item	0	自然治癒能力を促進させる苦味エキスを秘めた虫。色々な薬の調合に使える。
50	光蟲	Item	1	絶命時に強烈な閃光を放つ虫。スリンガー閃光弾の元となる素材。
51	不死虫	Item	3	寿命１０００年と伝わる虫。他のアイテムと調合すれば、その特性を粉塵に乗せられる。
52	雷光虫	Item	3	衝撃が加わると放電する昆虫。シビレ罠や電撃弾の調合に必要。
53	イレグイコガネ	Item	2	釣りエサとして使える虫。たちまち入れ食う、魚の大好物。
54	ケルビの角	Item	3	武具の素材には適していないが、様々な素材と調合されることで、驚くべき効果を発揮する薬になる。
55	狂走エキス	Item	3	一部のモンスターなどから採れる、持久力が増すという不思議なエキス。
56	滋養エキス	Item	3	一部の大型モンスターから得られる特定の薬の効果を倍増させる効能がある特殊なエキス。
57	鳴き袋	Item	1	割れると強烈な音が鳴るモンスターの内臓器官。スリンガー音爆弾の元となる素材。
58	増強剤	Item	1	素材や薬品の持つ効力を、最大限に引き出す薬剤。単品では使用不可能。
59	捕獲用麻酔玉	Item	2	罠にかかったモンスターを捕獲する専用の手投げ麻酔玉。地面に叩きつける等で使用。
60	スリンガー閃光弾	Item	1	スリンガーで発射し、強烈な閃光を発する。眼前で炸裂させることで、モンスターの目をくらませる。
61	スリンガー音爆弾	Item	1	スリンガーで発射し、高い周波数の不快な音を発する。聴覚が鋭敏なモンスターの動きを制限する。
62	けむり玉	Item	1	着弾地点から、広い範囲に煙を発散し、モンスターの視界を遮る。
63	毒けむり玉	Item	1	その場に毒素を含んだ煙をまき散らす煙玉。害虫対策として主婦層にも人気。
64	モドリ玉	Item	2	翼竜を呼び出し、一番近いキャンプへ戻ることができる。戦闘状態でも使用できる。
65	生肉	Item	0	モンスターから剥ぎ取った肉。調合や調理、罠としての設置、あらゆる用途に使用できる。
66	毒生肉	Item	1	食べると毒をうける生肉。罠として使われる。
67	シビレ生肉	Item	1	食べるとシビレる生肉。罠として使われる。
68	眠り生肉	Item	1	食べると眠気をさそう生肉。罠として使われる。
69	爆薬	Item	1	衝撃や熱を加えることで、爆発を引き起こす危険な薬。
70	小タル	Item	0	中身の入ってない小さなタル。
71	小タル爆弾	Item	1	時限式の小さな爆弾。
72	打上げタル爆弾	Item	1	仕掛けると空中へ飛んでいく改良型の爆弾。当てるには技術が必要。
73	打上げタル爆弾Ｇ	Item	3	打上げタル爆弾の改良型。当てるには技術が必要。
74	大タル	Item	1	中身の入ってない大きなタル。爆薬と調合すれば、爆弾になる。
75	大タル爆弾	Item	2	衝撃によって爆発する爆弾。その威力は絶大。
76	大タル爆弾Ｇ	Item	3	大タル爆弾を改良した強化版。対モンスターの頼もしい道具。Ｇの名前はダテじゃない。
77	クモの巣	Item	0	粘着性の強いクモの巣。落とし穴に使うネットの調合に必要。
78	ネット	Item	1	ある程度の重量に耐える強靭なネット。落とし穴の調合に必要。
79	トラップツール	Item	2	落とし穴など、いろんな仕掛けを仕上げるために必要な工具。
80	落とし穴	Item	2	モンスターを落とすための罠。超重量の負荷がかかると発動する仕組み。
81	シビレ罠	Item	2	モンスターの動きを止めることができる罠。捕獲に使用可能。
82	ころがされたフン	Item	0	モンスターのフンが凝縮された塊。スリンガーこやし弾の元となる素材。
83	モンスターのフン	Item	0	強烈なにおいを発している。スリンガーこやし弾の元となる素材。
84	スリンガーこやし弾	Item	1	着弾するとモンスターが嫌がり逃げ出す異臭を発する弾。スリンガーに装填して発射する。
85	アロワナダンゴ	Item	1	アロワナ系の魚が好んで食べるダンゴ状の釣りエサ。
86	デメキンダンゴ	Item	1	バクヤクデメキンが好んで食べるダンゴ状の釣りエサ。
87	黄金ダンゴ	Item	1	黄金系の魚が好んで食べるダンゴ状の釣りエサ。
88	ブーメラン	Item	3	投げると戻ってくる独特の形をした異国の武器。
89	双眼鏡	Item	0	遠くを見ることができる。
90	力の護符	Item	4	攻撃力を上昇させる御守り。所持しているだけで、鬼人のごとき力を得ることが可能。
91	力の爪	Item	4	攻撃力を上昇させる御守り。竜の素材が、込められた護符の効果をさらに高めた。
92	守りの護符	Item	4	防御力を上昇させる御守り。所持しているだけで、岩石のごとく皮膚が硬質化する。
