Deco ID	Item ID	Deco Name	Slot Size
0	727	耐毒珠【１】	1
1	728	耐麻珠【１】	1
2	729	耐眠珠【１】	1
3	730	耐絶珠【１】	1
4	731	耐爆珠【１】	1
5	732	耐裂珠【１】	1
6	733	耐防珠【１】	1
7	734	防音珠【３】	3
8	735	防風珠【２】	2
9	736	耐震珠【２】	2
10	739	攻撃珠【１】	1
11	740	防御珠【１】	1
12	741	体力珠【１】	1
13	742	早復珠【１】	1
14	743	耐火珠【１】	1
15	744	耐水珠【１】	1
16	745	耐氷珠【１】	1
17	746	耐雷珠【１】	1
18	747	耐龍珠【１】	1
19	748	耐属珠【１】	1
20	749	火炎珠【１】	1
21	750	流水珠【１】	1
22	751	氷結珠【１】	1
23	752	雷光珠【１】	1
24	753	破龍珠【１】	1
25	754	毒珠【１】	1
26	755	麻痺珠【１】	1
27	756	睡眠珠【１】	1
28	757	爆破珠【１】	1
29	758	毒瓶珠【３】	3
30	759	痺瓶珠【３】	3
31	760	眠瓶珠【３】	3
32	761	爆瓶珠【３】	3
33	763	解放珠【３】	3
34	764	達人珠【１】	1
35	765	超心珠【２】	2
36	766	痛撃珠【２】	2
37	767	短縮珠【２】	2
38	768	匠珠【３】	3
39	769	抜刀珠【２】	2
40	770	重撃珠【２】	2
41	771	ＫＯ珠【２】	2
42	772	奪気珠【１】	1
43	774	飛燕珠【２】	2
44	775	全開珠【２】	2
45	776	挑戦珠【２】	2
46	777	無傷珠【２】	2
47	778	底力珠【２】	2
48	779	逆境珠【１】	1
49	780	逆上珠【２】	2
50	781	鼓笛珠【１】	1
51	782	増弾珠【２】	2
52	783	特射珠【１】	1
53	784	砲術珠【１】	1
54	785	砲手珠【１】	1
55	786	強走珠【２】	2
56	787	体術珠【２】	2
57	789	早気珠【２】	2
58	790	無食珠【１】	1
59	791	回避珠【２】	2
60	792	跳躍珠【２】	2
61	793	鉄壁珠【１】	1
62	794	速納珠【１】	1
63	795	友愛珠【１】	1
64	796	持続珠【１】	1
65	797	節食珠【１】	1
66	798	早食珠【１】	1
67	799	研磨珠【１】	1
68	800	爆師珠【１】	1
69	801	茸好珠【１】	1
70	808	加護珠【１】	1
71	809	采配珠【１】	1
72	810	植学珠【１】	1
73	811	地学珠【１】	1
74	812	渾身珠【２】	2
75	813	投石珠【１】	1
76	814	潜伏珠【１】	1
77	815	耐衝珠【３】	3
78	819	煙復珠【１】	1
79	820	沼渡珠【１】	1
80	824	標本珠【１】	1
81	826	嗅覚珠【１】	1
82	828	威嚇珠【１】	1
83	832	滑走珠【２】	2
84	833	治癒珠【１】	1
85	834	強弾珠【３】	3
86	835	貫通珠【３】	3
87	836	散弾珠【３】	3
88	837	昂揚珠【２】	2
89	838	窮地珠【１】	1
90	839	龍封珠【３】	3
91	842	整備珠【１】	1
92	874	強弓珠【２】	2
93	875	心眼珠【２】	2
94	876	強壁珠【２】	2
95	877	剛刃珠【２】	2
96	878	無撃珠【２】	2
97	825	耐瘴珠【１】	1
98	1968	転福珠【３】	3
99	1969	守勢珠【２】	2
100	1970	耐暑珠【２】	2
101	1971	耐火珠Ⅱ【４】	4
102	1972	耐水珠Ⅱ【４】	4
103	1973	耐氷珠Ⅱ【４】	4
104	1974	耐雷珠Ⅱ【４】	4
105	1975	耐龍珠Ⅱ【４】	4
106	1976	火炎珠Ⅱ【４】	4
107	1977	流水珠Ⅱ【４】	4
108	1978	氷結珠Ⅱ【４】	4
109	1979	雷光珠Ⅱ【４】	4
110	1980	破龍珠Ⅱ【４】	4
111	1981	毒珠Ⅱ【４】	4
112	1982	麻痺珠Ⅱ【４】	4
113	1983	睡眠珠Ⅱ【４】	4
114	1984	爆破珠Ⅱ【４】	4
115	1985	耐火珠Ⅲ【４】	4
116	1986	耐水珠Ⅲ【４】	4
117	1987	耐氷珠Ⅲ【４】	4
118	1988	耐雷珠Ⅲ【４】	4
119	1989	耐龍珠Ⅲ【４】	4
120	1990	耐毒珠Ⅱ【４】	4
121	1991	耐麻珠Ⅱ【４】	4
122	1992	耐眠珠Ⅱ【４】	4
123	1993	耐絶珠Ⅱ【４】	4
124	1994	耐爆珠Ⅱ【４】	4
125	1995	耐裂珠Ⅱ【４】	4
126	1996	耐防珠Ⅱ【４】	4
127	1997	耐瘴珠Ⅱ【４】	4
128	1998	無食珠Ⅱ【４】	4
129	1999	早復珠Ⅱ【４】	4
130	2000	潜伏珠Ⅱ【４】	4
131	2001	威嚇珠Ⅱ【４】	4
132	2002	采配珠Ⅱ【４】	4
133	2003	潜伏珠Ⅲ【４】	4
134	2004	威嚇珠Ⅲ【４】	4
135	2005	采配珠Ⅲ【４】	4
136	2006	特射珠Ⅱ【４】	4
137	2007	砲手珠Ⅱ【４】	4
138	2008	植学珠Ⅱ【４】	4
139	2009	地学珠Ⅱ【４】	4
140	2010	環境珠Ⅱ【４】	4
141	2011	沼渡珠Ⅱ【４】	4
142	2012	標本珠Ⅱ【４】	4
143	2013	鼓笛珠Ⅱ【４】	4
144	2014	植学珠Ⅳ【４】	4
145	2015	地学珠Ⅲ【４】	4
146	2016	環境珠Ⅲ【４】	4
147	2017	標本珠Ⅲ【４】	4
148	2018	持続珠Ⅱ【４】	4
149	2019	防御珠Ⅱ【４】	4
150	2020	持続珠Ⅲ【４】	4
151	2021	防御珠Ⅲ【４】	4
152	2022	砲術珠Ⅱ【４】	4
153	2023	防音珠Ⅱ【４】	4
154	2024	防風珠Ⅱ【４】	4
155	2025	攻撃珠Ⅱ【４】	4
156	2026	達人珠Ⅱ【４】	4
157	2027	匠珠Ⅱ【４】	4
158	2028	全開珠Ⅱ【４】	4
159	2029	挑戦珠Ⅱ【４】	4
160	2030	底力珠Ⅱ【４】	4
161	2031	逆上珠Ⅱ【４】	4
162	2032	体術珠Ⅱ【４】	4
163	2033	回避珠Ⅱ【４】	4
164	2034	鉄壁珠Ⅱ【４】	4
165	2035	友愛珠Ⅱ【４】	4
166	2036	奪気・体術珠【４】	4
167	2037	逆境・体術珠【４】	4
168	2038	窮地・体術珠【４】	4
169	2039	鉄壁・体術珠【４】	4
170	2040	友愛・体術珠【４】	4
171	2041	節食・体術珠【４】	4
172	2042	投石・体術珠【４】	4
173	2043	耐属・体術珠【４】	4
174	2044	飛燕・体術珠【４】	4
175	2045	強走・体術珠【４】	4
176	2046	早気・体術珠【４】	4
177	2047	跳躍・体術珠【４】	4
178	2048	速納・体術珠【４】	4
179	2049	早食・体術珠【４】	4
180	2050	研磨・体術珠【４】	4
181	2051	爆師・体術珠【４】	4
182	2052	茸好・体術珠【４】	4
183	2053	滑走・体術珠【４】	4
184	2054	守勢・体術珠【４】	4
185	2055	奪気・回避珠【４】	4
186	2056	逆境・回避珠【４】	4
187	2057	窮地・回避珠【４】	4
188	2058	鉄壁・回避珠【４】	4
189	2059	友愛・回避珠【４】	4
190	2060	節食・回避珠【４】	4
191	2061	投石・回避珠【４】	4
192	2062	耐属・回避珠【４】	4
193	2063	飛燕・回避珠【４】	4
194	2064	強走・回避珠【４】	4
195	2065	早気・回避珠【４】	4
196	2066	跳躍・回避珠【４】	4
197	2067	速納・回避珠【４】	4
198	2068	早食・回避珠【４】	4
199	2069	研磨・回避珠【４】	4
200	2070	爆師・回避珠【４】	4
201	2071	茸好・回避珠【４】	4
202	2072	滑走・回避珠【４】	4
203	2073	守勢・回避珠【４】	4
204	2074	奪気・攻撃珠【４】	4
205	2075	逆境・攻撃珠【４】	4
206	2076	窮地・攻撃珠【４】	4
