Monster ID	Monster Code	Monster Name
0	EM100	アンジャナフ
1	EM002	リオレウス
2	EMS001	アプトノス
3	EMS049	ジャグラス
4	EM106	ゾラ・マグダラオス
5	EMS004	モス
6	EMS029	ガライーバ
7	EM101	ドスジャグラス
8	EMS051	ケストドン♂
9	EM001	リオレイア
10	EM001_01	リオレイア亜種
11	EM002_01	リオレウス亜種
12	EM007	ディアブロス
13	EM007_01	ディアブロス亜種
14	EM011	キリン
15	EM121_01	ベヒーモス
16	EM024	クシャルダオラ
17	EM026	ナナ・テスカトリ
18	EM027	テオ・テスカトル
19	EM036	ヴォルガノス
20	EM043	イビルジョー
21	EM044	ボルボロス
22	EM045	ウラガンキン
23	EM127_00	レーシェン
24	EM102	プケプケ
25	EM103	ネルギガンテ
26	EM105	ゼノ・ジーヴァ
27	EM107	クルルヤック
28	EM107_01	ツィツィヤック
29	EM108	ジュラトドス
30	EM109	トビカガチ
31	EM110	パオウルムー
32	EM111	レイギエナ
33	EM112	ドスギルオス
34	EM113	オドガロン
35	EM114	ラドバルキン
36	EM115	ヴァルハザク
37	EM116	ドドガマル
38	EM117	マム・タロト
39	EM118	バゼルギウス
40	EMS002	アプケロス
41	EMS003	ケルビ
42	EMS003_05	ケルビ
43	EMS005	カンタロス
44	EMS006	ランゴスタ
45	EMS050	メルノス
46	EMS051_05	ケストドン♀
47	EMS053	ラフィノス
48	EMS054	シャムオス
49	EMS055	バルノス
50	EMS056	ギルオス
51	EM127_01	エンシェント・レーシェン
52	EMS058	ガストドン
53	EMS059	ノイオス
54	EMS060_00	排熱器官
55	EMS060_01	（使わない）
56	EMS061	ガジャブー
57	EMXXX	？？？
58	EM001_99	リオレイア？？？
59	EMS051_99	ケストドン
60	EMS061_02	黄金の奇面族
61	EM032_00	ティガレックス
62	EM037_00	ナルガクルガ
63	EM042_00	ベリオロス
64	EM_TEST_00001	怒り喰らうイビルジョー
65	EM063_00	ブラキディオス
66	EM080_00	ディノバルド
67	EM080_01	ディノバルド亜種
68	EM100_01	アンジャナフ亜種
69	EM102_01	プケプケ亜種
70	EM103_05	悉くを殲ぼすネルギガンテ
71	EM109_01	トビカガチ亜種
72	EM110_01	パオウルムー亜種
73	EM111_05	凍て刺すレイギエナ
74	EM113_01	オドガロン亜種
75	EM115_05	死を纏うヴァルハザク
76	EM118_05	紅蓮滾るバゼルギウス
77	EM122_00	ブラントドス
78	EM123_00	バフバロ
79	EM124_00	イヴェルカーナ
80	EM125_00	ネロミェール
81	EM126_00	アン・イシュワルダ
82	EMS014_00	ポポ
83	EMS016_00	ガウシカ
84	EMS063_00	ウルグ
85	EMS064_00	コルトス
86	EMS061_01	ボワボワ
87	EM050	アルバトリオン
88	EM001_02	リオレイア希少種
89	EM002_02	リオレウス希少種
90	EM018_00	イャンガルルガ
91	EM023	ラージャン
92	EM023_05	激昂したラージャン
93	EM_TEST_00002	ティガレックス亜種
94	EM057_00	ジンオウガ
95	EM057_01	ジンオウガ亜種
96	EM063_05	猛り爆ぜるブラキディオス
97	EM104	ムフェト・ジーヴァ
98	DUMMY000014	Unavailable
99	EM018_05	傷ついたイャンガルルガ
100	EM042_05	氷刃佩くベリオロス
101	EM013_00	ミラボレアス
