Music Code	Music Level	Music Name
HUD_HUE_00	-	自分強化
HUD_HUE_00_S	0	移動速度ＵＰ
HUD_HUE_00_W	1	はじかれ無効＆攻撃力ＵＰ
HUD_HUE_01	-	攻撃力ＵＰ【小】
HUD_HUE_02	-	攻撃力ＵＰ【大】
HUD_HUE_02_W	1	攻撃力ＵＰ【特大】
HUD_HUE_03	-	体力ＵＰ【小】
HUD_HUE_04	-	体力ＵＰ【大】
HUD_HUE_04_W	1	体力ＵＰ延長
HUD_HUE_05	-	スタミナ消費軽減【短】
HUD_HUE_06	-	スタミナ消費軽減【長】
HUD_HUE_06_W	1	スタミナ消費軽減延長
HUD_HUE_07	-	風圧無効
HUD_HUE_08	-	風圧完全無効
HUD_HUE_08_W	1	風圧完全無効延長
HUD_HUE_09	-	防御力ＵＰ【小】
HUD_HUE_10	-	防御力ＵＰ【大】
HUD_HUE_10_W	1	防御力ＵＰ【特大】
HUD_HUE_11	-	特殊装具消費軽減【短】
HUD_HUE_12	-	特殊装具消費軽減【長】
HUD_HUE_12_W	1	特殊装具消費軽減延長
HUD_HUE_13	-	体力回復【小】
HUD_HUE_14	-	体力回復【大】
HUD_HUE_15	-	体力回復【小】＆解毒
HUD_HUE_16	-	体力回復【中】＆解毒
HUD_HUE_17	-	体力回復速度ＵＰ【小】
HUD_HUE_18	-	体力回復速度ＵＰ【大】
HUD_HUE_18_W	1	体力回復速度ＵＰ延長
HUD_HUE_19	-	精霊王の加護
HUD_HUE_19_W	1	精霊王の加護延長
HUD_HUE_20	-	導蟲追跡力強化 
HUD_HUE_20_S	0	ガイドレベル＋１
HUD_HUE_20_W	1	ガイドレベル＋１延長
HUD_HUE_21	-	泥軽減
HUD_HUE_21_W	1	泥軽減延長
HUD_HUE_22	-	地形ダメージ無効
HUD_HUE_22_W	1	地形ダメージ無効延長
HUD_HUE_23	-	聴覚保護【小】
HUD_HUE_24	-	聴覚保護【大】
HUD_HUE_24_W	1	聴覚保護【大】延長
HUD_HUE_25	-	気絶無効
HUD_HUE_25_W	1	気絶無効延長
HUD_HUE_26	-	麻痺無効
HUD_HUE_26_W	1	麻痺無効延長
HUD_HUE_27	-	振動無効
HUD_HUE_27_W	1	振動無効延長
HUD_HUE_28	-	火属性防御強化【小】
HUD_HUE_29	-	火属性防御強化【大】
HUD_HUE_29_W	1	火属性防御強化【特大】
HUD_HUE_30	-	水属性防御強化【小】
HUD_HUE_31	-	水属性防御強化【大】
HUD_HUE_31_W	1	水属性防御強化【特大】
HUD_HUE_32	-	雷属性防御強化【小】
HUD_HUE_33	-	雷属性防御強化【大】
HUD_HUE_33_W	1	雷属性防御強化【特大】
HUD_HUE_34	-	氷属性防御強化【小】
HUD_HUE_35	-	氷属性防御強化【大】
HUD_HUE_35_W	1	氷属性防御強化【特大】
HUD_HUE_36	-	龍属性防御強化【小】
HUD_HUE_37	-	龍属性防御強化【大】
HUD_HUE_37_W	1	龍属性防御強化【特大】
HUD_HUE_38	-	属性攻撃力ＵＰ
HUD_HUE_38_S	0	属性攻撃力ＵＰ【小】
HUD_HUE_38_W	1	属性攻撃力ＵＰ【大】
HUD_HUE_39	-	高周波
HUD_HUE_40	-	全旋律効果延長
HUD_HUE_41	-	のけぞり無効
HUD_HUE_42	-	攻撃力＆防御力ＵＰ【小】
HUD_HUE_42_S	0	攻撃力ＵＰ【小】＆防御力ＵＰ【小】
HUD_HUE_42_W	1	攻撃力ＵＰ【大】＆防御力ＵＰ【大】
HUD_HUE_43	-	会心率ＵＰ＆体力回復【小】
HUD_HUE_43_S	0	会心率ＵＰ【小】＆体力回復【小】
HUD_HUE_43_W	1	会心率ＵＰ【大】＆体力回復【小】
HUD_HUE_44	-	状態異常攻撃力ＵＰ
HUD_HUE_44_S	0	状態異常攻撃力ＵＰ【小】
HUD_HUE_44_W	1	状態異常攻撃力ＵＰ【大】
HUD_HUE_45	-	全状態異常無効
HUD_HUE_45_W	1	全状態異常無効延長
HUD_HUE_46	-	全属性耐性値ＵＰ
HUD_HUE_46_S	0	全属性耐性値ＵＰ【小】
HUD_HUE_46_W	1	全属性耐性値ＵＰ【大】
HUD_HUE_47	-	全属性やられ無効
HUD_HUE_47_W	1	全属性やられ無効延長
HUD_HUE_48	-	聴覚保護【小】＆風圧無効
HUD_HUE_48_S	0	聴覚保護【小】＆風圧無効
HUD_HUE_48_W	1	聴覚保護【小】＆風圧無効延長
HUD_HUE_49	-	体力回復【中】
HUD_HUE_23_W	1	聴覚保護【小】延長
HUD_HUE_07_W	1	風圧無効延長
HUD_HUE_41_W	1	のけぞり無効延長
HUD_HUE_50	-	響周波【打】
HUD_HUE_51	-	響周波【龍】
HUD_HUE_52	-	スタミナ最大値UP＆回復
HUD_HUE_53	-	体力継続回復
HUD_HUE_54	-	自分強化【速】＆回避性能UP
HUD_HUE_55	-	属性系効果UP
HUD_HUE_56	-	回避性能UP
HUD_HUE_21_G	-	泥軽減＆水場・深雪適応
HUD_HUE_21_W_G	-	泥軽減＆水場・深雪適応延長
