NPC Code	NPC Name	Model Address
N001_NPC_NAME	総司令	npc001
N002_NPC_NAME	受付嬢	npc002
N003_NPC_NAME	調査班リーダー	npc003
N004_NPC_NAME	物資班リーダー	npc004
N005_NPC_NAME	研究班リーダー	npc005
N006_NPC_NAME	技術班リーダー	npc006
N007_NPC_NAME	物資補給係	npc007
N009_NPC_NAME	生態研究所の所長	npc009
N010_NPC_NAME	植生研究所の所長	npc010
N011_NPC_NAME	マカ錬金研究員	npc011
N012_NPC_NAME	２期団の親方	npc012
N014_NPC_NAME	武具屋	npc014
N015_NPC_NAME	料理長	npc015
N016_NPC_NAME	ルームサービス	npc016
N017_NPC_NAME	ソードマスター	npc017
N018_NPC_NAME	フィールドマスター	npc018
N019_NPC_NAME	大団長	npc019
N020_NPC_NAME	竜人族のハンター	npc020
N021_NPC_NAME	３期団の期団長	npc021
N022_NPC_NAME	基地の物資補給係	npc022
N023_NPC_NAME	獣人族研究員	npc023
N024_NPC_NAME	森の古代竜人	npc024
N025_NPC_NAME	陽気な推薦組	npc025
N026_NPC_NAME	勝気な推薦組	npc026
N027_NPC_NAME	行方不明の学者	npc027
N028_NPC_NAME	明朗な学者	npc028
N029_NPC_NAME	陽気な学者	npc029
N030_NPC_NAME	快活な学者	npc030
N032_NPC_NAME	船長	npc032
N033_NPC_NAME	案内アイルー	npc033
N034_NPC_NAME	案内アイルー	npc034
N035_NPC_NAME	ルームサービス	npc035
N036_NPC_NAME	古代竜人	npc036
N037_NPC_NAME	孤高の魚類調査員	npc037
N038_NPC_NAME	情熱の生物調査員	npc038
N039_NPC_NAME	老練の獣人族学者	npc039
N040_NPC_NAME	古代竜人	npc040
N102_NPC_NAME	威勢のいい５期団	npc102
N103_NPC_NAME	優しげな４期団	npc103
N104_NPC_NAME	調査熱心な４期団	npc104
N105_NPC_NAME	クールな５期団	npc105
N106_NPC_NAME	ノリの良い４期団	npc106
N107_NPC_NAME	気の強い５期団	npc107
N108_NPC_NAME	物腰柔らかな５期団	npc108
N109_NPC_NAME	姉御肌の４期団	npc109
N111_NPC_NAME	冷静な４期団	npc111
