Weapon ID	Weapon Name	File Path
1	どんぐりネコスコップ	otomo/wp/ot_we001
28	ボーンネコハンマー	otomo/wp/ot_we028
29	アイアンネコソード	otomo/wp/ot_we029
2	ジャグネコ銃槌	otomo/wp/ot_we002
3	クルルネコウード	otomo/wp/ot_we003
4	プケプケネコアロー	otomo/wp/ot_we004
5	ボロスネコメイス	otomo/wp/ot_we005
6	ジュラネコソード	otomo/wp/ot_we006
7	カガチネコフォーク	otomo/wp/ot_we007
8	ジャナフネコ骨槌	otomo/wp/ot_we008
11	ウルムーネコ肉球	otomo/wp/ot_we011
9	レイアネコレイピア	otomo/wp/ot_we009
13	バルキンネコボール	otomo/wp/ot_we013
30	すずらんネコロッド	otomo/wp/ot_we030
12	ギエナネコソード	otomo/wp/ot_we012
14	ガロンネコ鎖鎌	otomo/wp/ot_we014
16	レウスネコブレイド	otomo/wp/ot_we016
17	ディアネコハンマー	otomo/wp/ot_we017
18	神ネコ剣ピカゴロ	otomo/wp/ot_we018
27	デスギアネコサイス	otomo/wp/ot_we027
32	どんぐりネコスコップα	otomo/wp/ot_we001
33	ボーンネコハンマーα	otomo/wp/ot_we028
34	アイアンネコソードα	otomo/wp/ot_we029
35	ジャグネコ銃槌α	otomo/wp/ot_we002
36	クルルネコウードα	otomo/wp/ot_we003
37	プケプケネコアローα	otomo/wp/ot_we004
38	ボロスネコメイスα	otomo/wp/ot_we005
39	ジュラネコソードα	otomo/wp/ot_we006
40	カガチネコフォークα	otomo/wp/ot_we007
19	マグナネコパペットα	otomo/wp/ot_we019
41	ジャナフネコ骨槌α	otomo/wp/ot_we008
42	ウルムーネコ肉球α	otomo/wp/ot_we011
43	レイアネコレイピアα	otomo/wp/ot_we009
44	バルキンネコボールα	otomo/wp/ot_we013
45	すずらんネコロッドα	otomo/wp/ot_we030
46	ギエナネコソードα	otomo/wp/ot_we012
47	ガロンネコ鎖鎌α	otomo/wp/ot_we014
48	レウスネコブレイドα	otomo/wp/ot_we016
49	ディアネコハンマーα	otomo/wp/ot_we017
50	神ネコ剣ピカゴロα	otomo/wp/ot_we018
20	ラヴァネコメイスα	otomo/wp/ot_we020
21	ガンキンネコ鉄塊α	otomo/wp/ot_we021
26	バゼルネコメイスα	otomo/wp/ot_we026
51	デスギアネコサイスα	otomo/wp/ot_we027
52	奇面ネコ石器α	otomo/wp/ot_we031
10	オーグネコハンマーα	otomo/wp/ot_we010
15	ウルズネコソードα	otomo/wp/ot_we015
22	カイザーネコメイスα	otomo/wp/ot_we022
23	ワンドネコ＝ダオラα	otomo/wp/ot_we023
24	ゼノネコブーケα	otomo/wp/ot_we024
25	Unavailable	otomo/wp/ot_we001
53	奇面族の石器	otomo/wp/ot_we200
54	テトルーピック	otomo/wp/ot_we100
100	怪物の呪杖α	otomo/wp/ot_we073
101	どんぐりネコスコップ	otomo/wp/ot_we000
102	Unavailable	otomo/wp/ot_we001
55	マムネコファンα	otomo/wp/ot_we025
56	バンギスネコ暴鎚α	otomo/wp/ot_we033
57	エリザネコパラソルα	otomo/wp/ot_we034
58	ロックバスターα	otomo/wp/ot_we035
59	HARDUMMY	otomo/wp/ot_we036
60	蒼星ネコ采配	otomo/wp/ot_we037
61	金のチョコボロッドα	otomo/wp/ot_we038
62	武者ネコノ太刀α	otomo/wp/ot_we039
63	パピネコステッキ	otomo/wp/ot_we040
64	アロハネコウクレレ	otomo/wp/ot_we041
65	ゴーストネコランプ	otomo/wp/ot_we042
66	スノーネコベル	otomo/wp/ot_we043
67	スターネコスタンド	otomo/wp/ot_we044
68	パピネコステッキα	otomo/wp/ot_we040
69	アロハネコウクレレα	otomo/wp/ot_we041
70	ゴーストネコランプα	otomo/wp/ot_we042
71	スノーネコベルα	otomo/wp/ot_we043
72	スターネコスタンドα	otomo/wp/ot_we044
110	EX探索ネコピックα	otomo/wp/ot_we060
111	EXボーンネコハンマーα	otomo/wp/ot_we028
112	EXアイアンネコソードα	otomo/wp/ot_we029
113	EXジャグネコ銃槌α	otomo/wp/ot_we002
114	EXクルルネコウードα	otomo/wp/ot_we003
115	EXプケプケネコアローα	otomo/wp/ot_we004
116	EXボロスネコメイスα	otomo/wp/ot_we005
117	EXジュラネコソードα	otomo/wp/ot_we006
118	EXブランネコボードα	otomo/wp/ot_we051
119	EXカガチネコフォークα	otomo/wp/ot_we007
120	EXバフバロネコドールα	otomo/wp/ot_we052
121	EXジャナフネコ骨槌α	otomo/wp/ot_we008
122	EXレイアネコレイピアα	otomo/wp/ot_we009
123	EXウルムーネコ肉球α	otomo/wp/ot_we011
124	EXバルキンネコボールα	otomo/wp/ot_we013
125	EXすずらんネコロッドα	otomo/wp/ot_we030
126	EXデスギアネコサイスα	otomo/wp/ot_we027
127	EXベリオネコ包丁α	otomo/wp/ot_we046
128	EXレウスネコブレイドα	otomo/wp/ot_we016
129	EXディアネコハンマーα	otomo/wp/ot_we017
130	EXギエナネコソードα	otomo/wp/ot_we012
131	EXガロンネコ鎖鎌α	otomo/wp/ot_we014
132	EXラヴァネコメイスα	otomo/wp/ot_we020
133	EXガンキンネコ鉄塊α	otomo/wp/ot_we021
134	EXナルガネコ手裏剣α	otomo/wp/ot_we047
135	EX灼炎のブレイニャーα	otomo/wp/ot_we048
136	EXブラキネコパンチα	otomo/wp/ot_we049
137	EXレックスネコ轟槌α	otomo/wp/ot_we050
138	EXブリーナネコソードα	otomo/wp/ot_we056
139	EXアーティアネコ円盤α	otomo/wp/ot_we061
140	EX奇面ネコ石器α	otomo/wp/ot_we031
141	EXボワボワネコ骨槌α	otomo/wp/ot_we062
