Pendant ID	Pendant Code	Pendant Name	Model
0	CHARM_000_NAME	ギルド褒章・銅の支援隊	charm002
1	CHARM_001_NAME	ギルド褒章・銀の支援隊	charm002
2	CHARM_002_NAME	ギルド褒章・金の支援隊	charm002
3	CHARM_003_NAME	銅章のスカーフ・赤	charm003
4	CHARM_004_NAME	銅章のスカーフ・黄	charm003
5	CHARM_005_NAME	銅章のスカーフ・青	charm003
6	CHARM_006_NAME	銅章のスカーフ・桜	charm003
7	CHARM_007_NAME	銅章のスカーフ・緑	charm003
8	CHARM_008_NAME	銅章のスカーフ・灰	charm003
9	CHARM_009_NAME	銅章のスカーフ・紅茶	charm003
10	CHARM_010_NAME	銀章のスカーフ・白	charm003
11	CHARM_011_NAME	銀章のスカーフ・赤	charm003
12	CHARM_012_NAME	銀章のスカーフ・緑	charm003
13	CHARM_013_NAME	銀章のスカーフ・空	charm003
14	CHARM_014_NAME	銀章のスカーフ・紫	charm003
15	CHARM_015_NAME	銀章のスカーフ・桜	charm003
16	CHARM_016_NAME	銀章のスカーフ・橙	charm003
17	CHARM_017_NAME	金章のスカーフ・茶	charm003
18	CHARM_018_NAME	金章のスカーフ・白	charm003
19	CHARM_019_NAME	金章のスカーフ・緑	charm003
20	CHARM_020_NAME	金章のスカーフ・黄緑	charm003
21	CHARM_021_NAME	金章のスカーフ・紫	charm003
22	CHARM_022_NAME	金章のスカーフ・橙	charm003
23	CHARM_023_NAME	金章のスカーフ・空	charm003
24	CHARM_024_NAME	導きの結晶・深緑	charm004
25	CHARM_025_NAME	導きの結晶・新緑	charm004
26	CHARM_026_NAME	導きの結晶・太陽	charm004
27	CHARM_027_NAME	導きの結晶・宵闇	charm004
28	CHARM_028_NAME	導きの結晶・桜花	charm004
29	CHARM_029_NAME	導きの結晶・蒼穹	charm004
30	CHARM_030_NAME	導きの結晶・瘴気	charm004
31	CHARM_031_NAME	導きの結晶・清流	charm004
32	CHARM_032_NAME	導きの結晶・紅蓮	charm004
33	CHARM_033_NAME	導きの結晶・灰雲	charm004
34	CHARM_034_NAME	導きの結晶・氷河	charm004
35	CHARM_035_NAME	導きの結晶・紫紺	charm004
36	CHARM_036_NAME	導きの星【森林】	charm001
37	CHARM_037_NAME	導きの星【荒地】	charm001
38	CHARM_038_NAME	導きの星【陸珊瑚】	charm001
39	CHARM_039_NAME	導きの星【瘴気】	charm001
40	CHARM_040_NAME	導きの星【溶岩】	charm001
41	CHARM_041_NAME	導きの星【氷雪】	charm001
42	CHARM_042_NAME	歴戦狩人の証・銅	charm005
43	CHARM_043_NAME	歴戦狩人の証・銀	charm005
44	CHARM_044_NAME	歴戦狩人の証・金	charm005
45	CHARM_045_NAME	覇者の証・ダイヤモンド	charm005
46	CHARM_046_NAME	覇者の証・ルビー	charm005
47	CHARM_047_NAME	覇者の証・エメラルド	charm005
48	CHARM_048_NAME	覇者の証・アンバー	charm005
49	CHARM_049_NAME	覇者の証・サファイア	charm005
50	CHARM_050_NAME	覇者の証・トパーズ	charm005
51	CHARM_051_NAME	覇者の証・アメジスト	charm005
52	CHARM_052_NAME	覇者の証・ゴールドレッド	charm005
53	CHARM_053_NAME	覇者の証・ゴールドブルー	charm005
54	CHARM_054_NAME	覇者の証・ブロンズ	charm005
55	CHARM_055_NAME	覇者の証・アイスブルー	charm005
56	CHARM_056_NAME	覇者の証・バイオレット	charm005
57	CHARM_057_NAME	覇者の証・オブシダン	charm005
58	CHARM_058_NAME	覇者の証・レウスレッド	charm005
59	CHARM_059_NAME	覇者の証・レイアグリーン	charm005
60	CHARM_060_NAME	覇者の証・レイアローズ	charm005
61	CHARM_061_NAME	満開のブーケ	charm006
62	CHARM_062_NAME	情熱の太陽	charm007
63	CHARM_063_NAME	ナイトバット・ヴァンプ	charm008
64	CHARM_064_NAME	万福の虎・紅	charm009
65	CHARM_065_NAME	大感謝の銀飾・空	charm010
66	CHARM_066_NAME	強者の爪飾り【金獅子】	charm011
67	CHARM_067_NAME	豪傑の角飾り【金獅子】	charm012
68	CHARM_068_NAME	強者の爪飾り【獄狼竜】	charm013
69	CHARM_069_NAME	英雄の角飾り【赤龍】	charm014
70	CHARM_070_NAME	豪傑の輝石【砕竜】	charm015
71	CHARM_071_NAME	英雄の輝石【煌黒龍】	charm016
72	CHARM_072_NAME	猛者の爪飾り【金火竜】	charm017
73	CHARM_073_NAME	猛者の爪飾り【銀火竜】	charm018
74	DUMMY000000	Unavailable	charm001
75	DUMMY000001	Unavailable	charm001
76	DUMMY000002	Unavailable	charm001
77	DUMMY000003	Unavailable	charm001
78	DUMMY000004	Unavailable	charm001
79	DUMMY000005	Unavailable	charm001
80	DUMMY000006	Unavailable	charm001
81	CHARM_081_NAME	歴戦王の輝石【冰龍】	charm026
82	CHARM_082_NAME	歴戦王の輝石【溟龍】	charm027
83	DUMMY000007	Unavailable	charm001
84	DUMMY000008	Unavailable	charm001
85	CHARM_085_NAME	伝説の証【黒龍】	charm030
86	CHARM_086_NAME	蒼世ノ風鈴	charm031
87	CHARM_087_NAME	HARDUMMY	charm032
88	CHARM_088_NAME	R.P.D.	charm033
89	CHARM_089_NAME	アンブレラ	charm034
90	CHARM_090_NAME	お守りモギー【幸運】	charm035
91	CHARM_091_NAME	お守りモギー【健康】	charm036
92	CHARM_092_NAME	お守りモギー【安全】	charm037
93	CHARM_093_NAME	お守りモギー【恋愛】	charm038
94	CHARM_094_NAME	お守りモギー【魔除け】	charm039
95	CHARM_095_NAME	お守りモギー【情熱】	charm040
96	CHARM_096_NAME	お守りモギー【平穏】	charm041
97	CHARM_097_NAME	アイルーテディ	charm042
98	CHARM_098_NAME	HARDUMMY	charm044
99	CHARM_099_NAME	HARDUMMY	charm045
100	CHARM_100_NAME	HARDUMMY	charm043
101	CHARM_101_NAME	満開のブーケ・ピンク	charm006
102	CHARM_102_NAME	満開のブーケ・オレンジ	charm006
103	CHARM_103_NAME	満開のブーケ・レッド	charm006
104	CHARM_104_NAME	満開のブーケ・ブルー	charm006
105	CHARM_105_NAME	情熱の太陽・アイス	charm007
106	CHARM_106_NAME	情熱の太陽・グレープ	charm007
107	CHARM_107_NAME	情熱の太陽・ドラゴン	charm007
108	CHARM_108_NAME	情熱の太陽・ライチ	charm007
109	CHARM_109_NAME	ナイトバット・ランタン	charm008
110	CHARM_110_NAME	ナイトバット・シルフ	charm008
111	CHARM_111_NAME	ナイトバット・フロスト	charm008
112	CHARM_112_NAME	ナイトバット・ピクシー	charm008
113	CHARM_113_NAME	万福の虎・桃	charm009
114	CHARM_114_NAME	万福の虎・若草	charm009
115	CHARM_115_NAME	万福の虎・藤	charm009
116	CHARM_116_NAME	万福の虎・空	charm009
117	CHARM_117_NAME	大感謝の銀飾・桜	charm010
118	CHARM_118_NAME	大感謝の金飾・赤	charm010
119	CHARM_119_NAME	大感謝の金飾・青	charm010
120	CHARM_120_NAME	大感謝の銅飾・緑	charm010
121	CHARM_121_NAME	豪傑の爪飾り【氷牙竜】	charm046
122	CHARM_122_NAME	満開のブーケ・グリーン	charm006
123	CHARM_123_NAME	満開のブーケ・パープル	charm006
124	CHARM_124_NAME	情熱の太陽・グァバ	charm007
125	CHARM_125_NAME	情熱の太陽・レモン	charm007
126	CHARM_126_NAME	ナイトバット・ヴォルト	charm008
127	CHARM_127_NAME	ナイトバット・ウィスプ	charm008
128	CHARM_128_NAME	万福の虎・深緑	charm009
129	CHARM_129_NAME	万福の虎・橙	charm009
130	CHARM_130_NAME	大感謝の銅飾・紫	charm010
131	CHARM_131_NAME	大感謝の黒曜飾	charm010
132	CHARM_132_NAME	The Tofu Survivor	charm047
133	CHARM_133_NAME	聖域の龍骸布・赤	charm048
134	CHARM_134_NAME	深淵の龍骸布・赤	charm049
135	CHARM_135_NAME	アイルーテディ・ホワイト	charm042
136	CHARM_136_NAME	メラルーテディ	charm053
137	CHARM_137_NAME	アイルーテディ・ピンク	charm042
138	CHARM_138_NAME	アイルーテディ・グレープ	charm042
139	CHARM_139_NAME	アイルーテディ・ミント	charm042
140	CHARM_140_NAME	アイルーテディ・オレンジ	charm042
141	CHARM_141_NAME	聖域の龍骸布・緑	charm048
142	CHARM_142_NAME	聖域の龍骸布・蒼	charm048
143	CHARM_143_NAME	聖域の龍骸布・空	charm048
144	CHARM_144_NAME	聖域の龍骸布・紫	charm048
145	CHARM_145_NAME	聖域の龍骸布・橙	charm048
146	CHARM_146_NAME	聖域の龍骸布・桜	charm048
147	CHARM_147_NAME	深淵の龍骸布・緑	charm049
148	CHARM_148_NAME	深淵の龍骸布・蒼	charm049
149	CHARM_149_NAME	深淵の龍骸布・空	charm049
150	CHARM_150_NAME	深淵の龍骸布・紫	charm049
151	CHARM_151_NAME	深淵の龍骸布・橙	charm049
152	CHARM_152_NAME	深淵の龍骸布・桜	charm049
153	CHARM_153_NAME	プケプケストラップ	charm052
154	CHARM_154_NAME	プケプケ亜種ストラップ	charm056
155	CHARM_155_NAME	おでかけパオウルムー	charm050
156	CHARM_156_NAME	おでかけパオウルムー亜種	charm054
157	CHARM_157_NAME	ブランコラージャン	charm055
158	CHARM_158_NAME	激昂ブランコラージャン	charm051
159	CHARM_159_NAME	オソラノエボシ	charm057
160	CHARM_160_NAME	バルーン【赤】	charm058
161	CHARM_161_NAME	バルーン【紅白】	charm058
162	CHARM_162_NAME	バルーン【カラフル】	charm058
163	CHARM_163_NAME	オソラノエボシ【群体】	charm057
164	CHARM_164_NAME	一つ星の守り	charm069
165	CHARM_165_NAME	金色の装飾具【爛輝龍】	charm059
166	CHARM_166_NAME	皇金の装飾具【爛輝龍】	charm060
167	CHARM_167_NAME	ゴールドマムハート・翠玉	charm061
168	CHARM_168_NAME	ゴールドマムハート・紅玉	charm061
169	CHARM_169_NAME	ゴールドマムハート・水晶	charm061
170	CHARM_170_NAME	プラチナマムハート・黄玉	charm062
171	CHARM_171_NAME	プラチナマムハート・青玉	charm062
172	CHARM_172_NAME	プラチナマムハート・桜晶	charm062
173	CHARM_173_NAME	大天使プギエル☆	charm065
174	CHARM_174_NAME	大魔王プギファー★	charm066
175	CHARM_175_NAME	天の観測龍・金	charm067
176	CHARM_176_NAME	天の観測龍・銀	charm068
177	CHARM_177_NAME	料理長のおつまみセット	charm070
178	CHARM_178_NAME	幻想胡蝶・青藍	charm071
179	CHARM_179_NAME	幻想胡蝶・翡翠	charm071
180	CHARM_180_NAME	幻想胡蝶・紅紫	charm071
181	CHARM_181_NAME	機械仕掛けの金時計	charm075
182	CHARM_182_NAME	機械仕掛けの銀時計	charm076
183	CHARM_183_NAME	スーパーエイトミニ・１Ｐ	charm064
184	CHARM_184_NAME	スーパーエイトミニ・２Ｐ	charm063
185	CHARM_185_NAME	クリスタルナイフ・紅玉	charm078
186	CHARM_186_NAME	クリスタルナイフ・琥珀	charm078
187	CHARM_187_NAME	クリスタルナイフ・瑠璃	charm078
188	CHARM_188_NAME	超電雷光虫	charm073
189	CHARM_189_NAME	蝕龍蟲	charm074
190	CHARM_190_NAME	六花の魔除け【冰龍】	charm080
191	CHARM_191_NAME	赤熱の燭台【斬竜】	charm077
192	CHARM_192_NAME	びっくりクルルヤック	charm079
193	DUMMY000009	Unavailable	charm001
194	CHARM_194_NAME	ギルド褒章・救世の狩人	charm081
195	CHARM_195_NAME	導きの結晶・絆	charm082
196	CHARM_196_NAME	MHライダーズ キリン	charm083
