Quest ID	Quest Name	Quest Target	Fail Condition
00000	Unavailable	Unavailable	Unavailable
00001	Unavailable	Unavailable	Unavailable
00002	Unavailable	Unavailable	Unavailable
00003	深海原(負荷テスト)	深海原飛竜	3オチ
00004	瘴気の谷(負荷テスト)	骨ウラガンキンの狩猟	3オチ
00005	深部(負荷テスト)	深部ドス4足の狩猟	3オチ
00101	ジャグラスと古代樹の森	ジャグラス７頭の討伐	・制限時間終了・３回力尽きる
00102	ケストドンは不穏と共に	任務の達成	・制限時間終了・３回力尽きる
00103	ドスジャグラスを狩猟せよ	ドスジャグラスの狩猟	・制限時間終了・３回力尽きる
00151	突撃ケストドン！	ケストドン１２頭の討伐	・制限時間終了・３回力尽きる
00152	森のならず者たち	ジャグラス７頭の討伐	・制限時間終了・３回力尽きる
00153	古代樹の森でキノコ狩り	特産スジタケ２０個の納品	・制限時間終了・３回力尽きる
00201	キャンプ設営は命がけ	クルルヤックの狩猟	・制限時間終了・３回力尽きる
00205	緊急任務・プケプケの狩猟	プケプケの狩猟	・制限時間終了・３回力尽きる
00241	クラッチクローを使いこなせ！	クラッチクローの使用方法の習得	・制限時間終了・３回力尽きる・ドスジャグラスの狩猟
00251	深緑より出るフードファイター	ドスジャグラスの狩猟	・制限時間終了・３回力尽きる
00252	クルルヤックは収集家？	クルルヤックの狩猟	・制限時間終了・３回力尽きる
00261	捕獲：掻鳥の生態調査	クルルヤックの捕獲	・制限時間終了・３回力尽きる・クルルヤックの討伐
00262	美味い魚にゃ牙がある	ガライーバ７匹の討伐	・制限時間終了・３回力尽きる
00263	荒野の虫退治	ランゴスタ１４匹の討伐	・制限時間終了・３回力尽きる
00301	猪突猛進の輩達！？	任務の達成	・制限時間終了・３回力尽きる
00302	不穏の沼影	任務の達成	・制限時間終了・３回力尽きる
00305	電影走るはトビカガチ	トビカガチの狩猟	・制限時間終了・３回力尽きる
00306	森の暴れん坊・アンジャナフ	アンジャナフの狩猟	・制限時間終了・３回力尽きる
00331	特殊闘技場：毒妖鳥編	プケプケの狩猟	・制限時間終了・３回力尽きる
00332	特殊闘技場：土砂竜編	ボルボロスの狩猟	・制限時間終了・３回力尽きる
00333	特殊闘技場：飛雷竜編	トビカガチの狩猟	・制限時間終了・３回力尽きる
00351	毒妖鳥プケプケの調査	プケプケの狩猟	・制限時間終了・３回力尽きる
00352	飛雷竜が舞う森	トビカガチの狩猟	・制限時間終了・３回力尽きる
00361	泥まみれの大激突！	ボルボロスの狩猟	・制限時間終了・３回力尽きる
00362	泥辺に忍び寄るジュラトドス	ジュラトドスの狩猟	・制限時間終了・３回力尽きる
00363	そろそろ仙人掌の季節です	小玉サボテン２０個の納品	・制限時間終了・３回力尽きる
00364	俺は荒地の運搬屋	草食竜の卵２個の納品	・制限時間終了・３回力尽きる
00365	捕獲：土砂竜の生態調査	ボルボロスの捕獲	・制限時間終了・３回力尽きる・ボルボロスの討伐
00401	ゾラ・マグダラオス捕獲作戦	任務の達成	・制限時間終了・３回力尽きる
00405	飛べ、パオウルムー！	パオウルムーの狩猟	・制限時間終了・３回力尽きる
00407	ラドバルキン狩猟は粉骨砕身！	ラドバルキンの狩猟	・制限時間終了・３回力尽きる
