Skill ID	Skill Code	Skill Name	Skill Desc
0	DUMMY000000	Unavailable	Unavailable
1	G_PT_POISON_RESIST_SKILL_PT	毒耐性	毒状態の時に受けるダメージを減らす。
2	PT_PARALYSIS_RESIST_SKILL_PT	麻痺耐性	麻痺状態の時間を短くする。
3	PT_SLEEP_RESIST_SKILL_PT	睡眠耐性	睡眠状態の時間を短くする。
4	PT_STUN_RESIST_SKILL_PT	気絶耐性	気絶状態の時間を短くする。
5	PT_DARUMA_RESIST_SKILL_PT	泥耐性	モンスターの発生させた泥地での行動制限を軽減する。
6	PT_BOMB_RES_SKILL_PT	爆破やられ耐性	爆破やられに対する耐性を持つ。
7	PT_PT_SCAR_RES_SKILL_PT	裂傷耐性	裂傷状態に対する耐性を持つ。
8	PT_DEFDOWN_RESIST_SKILL_PT	防御力ＤＯＷＮ耐性	防御力ＤＯＷＮに対する耐性を持つ。
9	DUMMY000003	Unavailable	Unavailable
10	DUMMY000006	Unavailable	Unavailable
11	PT_EARPLUG_SKILL_PT	耳栓	大型モンスターの咆哮に対する耐性を持つ。
12	PT_HUUATU_SKILL_PT	風圧耐性	風圧に対する耐性を持つ。
13	PT_EATHQUAKE_RESIST_SKILL_PT	耐震	地面振動に対する耐性を持つ。
14	PT_UNKO_SKILL_PT	こやし名人	スリンガーこやし弾を当てたモンスターが逃げやすくなる。
15	DUMMY000009	Unavailable	Unavailable
16	PT_MIASMA_ADAPT_SKILL_PT	瘴気環境適応	瘴気の谷の環境ダメージを軽減、無効にする。
17	PT_ADAPT_SKILL_PT	熱ダメージ無効	暑さや熱によるダメージを無効にする。
18	DUMMY000012	Unavailable	Unavailable
19	PT_ATK_SKILL_PT	攻撃	プレイヤーの攻撃力を上げる。レベルが上がると会心率にも影響がある。
20	PT_DEF_SKILL_PT	防御	プレイヤーの防御力を上げる。レベルが上がると耐性値にも影響がある。
21	PT_VIT_SKILL_PT	体力増強	プレイヤーの体力を上げる。
22	PT_HEEL_SKILL_PT	体力回復量ＵＰ	体力回復がおこなわれたときに回復量が上がる。
23	PT_HEEL_SPEED_SKILL_PT	回復速度	ダメージを受けた際の赤ゲージ部分の回復速度が上がる。
24	PT_FIRE_RESIST_SKILL_PT	火耐性	プレイヤーの火耐性を上げる。レベルが上がると防御力にも影響がある。
