Stage ID	Stage Name
ST101	古代樹の森
ST102	大蟻塚の荒地
ST103	陸珊瑚の台地
ST104	瘴気の谷
ST105	龍結晶の地
ST106	大峡谷
ST107	大峡谷
ST201	特殊闘技場
ST202	闘技場
ST301	調査拠点
ST302	集会エリア
ST303	研究基地
ST304	（使わない）
ST401	（使わない）
ST402	
ST403	地脈回廊
ST404	
ST405	地脈の収束地
ST406	？？？
ST409	地脈の黄金郷
ST501	二等マイハウス
ST502	一等マイハウス
ST503	特等マイハウス
ST504	トレーニングエリア
ST505	五匹の竜の間
ST301_1	調査拠点 アステラ
ST108	渡りの凍て地
ST305	セリエナ
ST305s	前線拠点
ST109	導きの地
ST411	兵器置き場
ST412	淵源の孤島
ST302s	調査拠点の集会エリア
ST306s	前線拠点の集会エリア
ST301m	調査拠点アステラ
ST305m	前線拠点セリエナ
ST506	前線拠点のマイハウス
ST302_S	集会エリア
ST415	幽境の谷
ST416	幽境の谷
ST417	シュレイド城
ST203	兵器置き場
