Askill ID	Askill Code	Askill Name	Askill Upgrade Name	Askill Desc
0	ASkill001	은신 복장	은신 복장+	일정 시간, 몬스터의 시야에서몸을 숨긴다.공격을 받거나 데미지를 입으면효과가 종료된다.
1	ASkill002	피신 복장	피신 복장+	위력이 높은 공격을 받았을 때데미지를 무효화하고 자동으로회피 행동을 한다.
2	ASkill003	치유의 연통	치유의 연통+	연통을 설치해서 플레이어의체력을 서서히 회복시키는연기를 피운다.
3	ASkill004	부동 복장	부동 복장+	데미지 리액션이 없어지고풍압 무효, 청각 보호, 내진의효과를 얻는다.받는 데미지가 감소한다.
4	ASkill005	도발 복장	도발 복장+	몬스터에게 노려지기 쉬워지고,몬스터를 원하는 장소로 불러낸다.공격을 계속 맞히거나, 받으면효과가 종료된다.
5	ASkill006	체력 복장	체력 복장+	일정량의 데미지를 흡수한다.흡수량의 한계를 넘으면, 효과가종료된다.
6	ASkill007	내열 복장	내열 복장+	불속성의 데미지를 경감시킨다.또한, 불속성 피해나 폭파 피해,뜨거운 지형의 데미지를 무효화한다.
7	ASkill008	내수 복장	내수 복장+	물속성 데미지를 경감시킨다.물속성 피해나 깊은 물가에서의행동 제한을 무효화하고진흙에서의 행동 제한도 경감한다.
8	ASkill009	내한 복장	내한 복장+	얼음속성 데미지를 경감한다.얼음속성 피해를 무효화한다.
9	ASkill010	내뢰 복장	내뢰 복장+	번개속성 데미지를 경감한다.번개속성 피해와 마비를무효화한다.
10	ASkill011	내룡 복장	내룡 복장+	용속성 데미지를 경감한다.용속성 피해를 무효화하고,무기가 가진 용속성을 강화한다.
11	ASkill012	해제의 연통	해제의 연통+	연통을 설치해서모든 상태 이상 및 속성 피해를회복하는 연기를 피운다.
14	ASkill015	활공 복장	활공 복장+	점프의 체공 시간이 길어진다.강풍이 부는 장소에선 바람을 타고이동할 수 있다. 또 점프 공격으로몬스터에 타기가 쉬워진다.
15	ASkill016	회피 복장	회피 복장+	회피 중 무적 시간이 길어진다.몬스터의 공격을 직전에 회피하면,일시적으로 공격력이 올라간다.
16	ASkill017	강타 복장	강타 복장+	대부분의 공격에 기절치를 추가한다. 또, 이미 기절치가 있는공격이면 그 효과를 올린다.
17	ASkill018	화합 복장	화합 복장+	상태 이상 속성을 가진 무기로 공격 성공 시 속성치를 주는공격의 발동 확률이 올라간다.
18	ASkill019	면역 복장	면역 복장+	모든 상태 이상 및 속성 피해를회복하고, 효과 중에는 상태 이상 및속성 피해에 걸리지 않게 된다.
19	ASkill020	달인의 연통	달인의 연통+	연통을 설치해서 플레이어의 회심률을 올리는 연기를 피운다.
20	ASkill021	강도 복장	강도 복장+	대형 몬스터를 공격해서환금성이 높은 아이템을떨어뜨리게 할 수 있다.
21	ASkill022	어쌔신 복장	어쌔신 복장+	일부 이동이 빨라지고, 기척을재빨리 감추는 어쌔신 의상.눈치 채지 못한 몬스터를 공격하면큰 데미지를 주고, 효과가 끝난다.
