Achieve ID	Achieve Name	Achieve Desc
000	신대륙의 패자	모든 훈장 획득
001	헌터 라이프의 개막	★2퀘스트에 도전할 수 있게 되었음
002	조사의 진전	★3퀘스트에 도전할 수 있게 되었음
003	거점의 수호자	★4퀘스트에 도전할 수 있게 되었음
004	새로운 심층부로	★5퀘스트에 도전할 수 있게 되었음
005	편히 잠들어라	조라-마그다라오스 유인에 성공
006	대지의 은총과 아름다운 여왕	★7퀘스트에 도전할 수 있게 되었음
007	격투의 승자	★8퀘스트에 도전할 수 있게 되었음
008	길을 인도해 주는 푸른 별	고룡이동의 수수께끼를 해명
009	헌터 라이프는 멈추지 않아!	자유 퀘스트 50번 클리어
010	탐구 정신	처음으로 조사 퀘스트 클리어
011	조사단의 핵심	조사 퀘스트 50번 클리어
012	실력 시험!	처음으로 격투대회 퀘스트 클리어
013	높은 곳을 향해	격투대회 퀘스트 50번 클리어
014	신대륙의 개척자	캠프를 5군데에 설치
015	환경 이용은 사냥꾼의 즐거움	풀숲에 숨어 쟈그라스를 피함
016	첫 낚시	처음으로 낚시에 성공
017	잘 구웠습니다!	처음으로 잘 익은 고기를 구움
018	쓰러지는 거구	처음으로 올라타기 성공
019	살아 있는 화석과의 조우	살아 있는 화석이라 불리는 생선을 낚음
020	푹신푹신 포근함	푹신푹신하고 포근한 생물을 잡음
021	딱딱한 감촉	딱딱한 감촉의 생물을 잡음
022	무지개색의 빛	무지개색으로 빛나는 생물을 잡음
023	조사단의 임무	합계 10만 조사 포인트 획득
024	부르주아 헌터	100만 제니 소지
025	철벽의 헌터	매우 귀중한 방어구를 5종류 입수
026	힘이야말로 모든 것	매우 귀중한 무기를 5종류 입수
027	새로운 생활	마이하우스 이사
028	첫 동료	처음으로 동료 얻음
029	든든한 파트너	동반자 도구 하나의 숙련도 10 달성
030	몬스터 박사	많은 대형 몬스터의 상위까지연구 레벨 MAX 달성
031	역전의 몬스터	처음으로 역전의 개체를 사냥
032	무서울 것 없지	역전의 개체 50마리 사냥
033	미니어처 크라운	사냥 기록에 기록되는하위, 상위 몬스터에처음으로 가장 작은 왕관 달성
034	미니어처 수집가 크라운	사냥 기록에 기록되는하위, 상위 몬스터10마리 이상에 가장 작은 왕관 달성
035	미니어처 마스터 크라운	사냥 기록에 기록되는많은 몬스터에 가장 작은 왕관 달성
036	빅 크라운	사냥 기록에 기록되는하위, 상위 몬스터에 처음으로 은관 이상 달성
037	빅 수집가 크라운	사냥 기록에 기록되는하위, 상위 몬스터 10마리 이상에 금관 달성
038	빅 마스터 크라운	사냥 기록에 기록되는많은 몬스터에 금관 달성
039	첫 생포	처음으로 몬스터를 포획
040	생포의 프로	몬스터 50마리 포획
041	용을 멸하는 자	고룡을 50마리 토벌
042	몬스터 슬레이어	대형 몬스터 100마리 사냥
043	몬스터 헌터	대형 몬스터 500마리 사냥
044	HELP!	처음으로 구조신호 발신
045	도우미 헌터	구조신호를 받고 퀘스트에 참가해10번 클리어
046	동료와 함께	멀티 플레이로 퀘스트를 클리어
047	언제까지나 동료와 함께	멀티 플레이로 퀘스트 100번 클리어
048	퍼져 나가는 우정	길드 카드를 50장 이상 모음
049	베테랑 헌터	헌터 랭크 100 달성
000doc3	"""Monster Hunter: World""의 트로피 세트"	"""Monster Hunter: World""의 트로피 세트"
050	희대의 헌터	Monster Hunter World: Iceborne'의모든 훈장 획득
051	새로운 조사의 시작	M★1 퀘스트에 도전할 수 있게 되었다
052	본격 시작	M★2 퀘스트에 도전할 수 있게 되었다
053	환상의 고룡	M★3 퀘스트에 도전할 수 있게 되었다
054	불굴의 마음으로	M★4 퀘스트에 도전할 수 있게 되었다
055	위대한 존재	M★5 퀘스트에 도전할 수 있게 되었다
056	종말과 함께 찾아오는 시작	위대한 존재의 수수께끼를 해명
057	탐구와 발견이 있는 땅으로	인도하는 땅에 발을 들임
058	변화하는 생태	처음으로 어느 한 지대 Lv을 7로 올림
059	귀중한 소재를 찾아	희귀한 광맥과 뼈무덤에서 소재를 채집
060	끝없는 조사 욕심	특수 흔적을 50번 분석
061	숙명의 결말	모두를 멸하는 네르기간테를인도하는 땅에서 토벌하고마스터 랭크 상한을 잠금 해제함
062	조사의 달인	바다 건너 극한지의 캠프를 전부 설치함
063	치유의 물	자연 속에 있는 온천에서치유하는 시간을 보냄
064	클러치 클로 사용자	클러치 클로에 대한 가르침을 받아새로운 사냥법을 습득
065	눈에 띄는 황금색	바다 건너 극한지에서눈에 띄는 황금색 생물을 포획
066	무언가를 가리키는	무언가를 가리키는 생물을 포획
