EC ID	EC SubID	Item ID	EC Name
0	0	-1	Unavailable
1	0	659	딴길 토끼
1	1	660	길안내 토끼
2	0	661	삼림 시조새
2	1	662	고대수의 심부름꾼
3	0	663	코발트 모포나비
3	1	664	환상 모포나비
4	0	665	우는 등목어
5	0	666	숲 도마뱀붙이
5	1	667	개밋둑 도마뱀붙이
5	2	668	어둠 도마뱀붙이
5	3	669	월광 도마뱀붙이
6	0	670	안개 무당거미
6	1	671	스카벤튤라
7	0	672	육식조
7	1	673	도원조
7	2	1792	경고새
8	0	674	징조 왕잠자리
8	1	675	길조 왕잠자리
9	0	676	비늘 박쥐
9	1	945	금빛 비늘 박쥐
10	0	677	쇠똥구리
10	1	678	폭탄 바위구리
10	2	1793	눈뭉치풍뎅이
11	0	679	핑크파렉스
11	1	680	도스핑크파렉스
12	0	681	파열아로와나
12	1	682	폭렬아로와나
12	2	683	도스파열아로와나
12	3	684	도스폭렬아로와나
13	0	685	드레스 산호새
13	1	686	턱시도 산호새
14	0	687	등불아귀
15	0	688	폭신폭신 뜸부기
15	1	689	뻣뻣 뜸부기
16	0	690	홋피굿피
17	0	691	화석칸스
18	0	692	마비가스 두꺼비
18	1	693	수면가스 두꺼비
18	2	694	니트로가스 두꺼비
19	0	695	흔들흔들
19	1	696	흔들흔들 퀸
20	0	697	회복 꿀벌레
20	1	698	대회복 꿀벌레
21	0	699	하늘의 해파리
22	0	700	운반개미
23	0	701	도스헤라클레스
23	1	702	골든 헤라클레스
23	2	703	무지개색 도스헤라클레스
24	0	704	황제 베짱이
24	1	705	폭군 베짱이
25	0	706	섬광 날개벌레
26	0	-1	羽虫
27	0	-1	ハエ
28	0	-1	ハチ
29	0	-1	蛍
30	0	707	옛날 만타게라
31	0	708	철 투구게
31	1	709	병정 투구게
31	2	710	에메랄드 투구게
31	3	946	금박 투구게
31	4	947	순금 투구게
32	1	-1	苦蟲
32	2	-1	光蟲
32	3	-1	不死蟲
32	4	-1	雷光蟲
32	5	-1	佳餚蟲
33	0	711	예리어
33	1	712	도스예리어
34	0	713	먹보다랑어
34	1	714	도스먹보다랑어
35	0	715	대왕청새치
35	1	716	도스대왕청새치
36	0	-1	楔虫
37	0	717	황금어
37	1	718	백금어
37	2	719	도스황금어
37	3	720	도스백금어
38	0	721	미니금붕어
38	1	722	도스미니금붕어
39	0	723	회어
39	1	724	도스회어
40	0	725	폭약금붕어
40	1	726	도스폭약금붕어
41	0	948	동 만두게
41	1	949	금 만두게
42	0	950	환상뱀
43	0	968	사보텐더
43	1	951	미니텐더
43	2	967	미니 꽃잎텐더
44	0	958	넥커
50	0	1455	은천원숭이
50	1	1456	금천원숭이
51	0	1458	대신투구새우
52	0	1459	달빛올리미
53	0	1460	껴입기펭귄
54	0	1461	길잡이 도마뱀붙이
55	0	1462	블루디바
56	0	1463	바다의 심부름꾼
57	0	1464	글래스파렉스
57	1	1473	도스글래스파렉스
58	0	1465	달해파리
59	0	1466	모그이
59	1	1467	숲모그이
59	2	1468	구멍모그이
59	3	1469	푹신모그이
59	4	1470	바늘모그이
59	5	1471	말썽쟁이모그이
59	6	1472	비단모그이
