Equip Series ID / Transmog ID	Equip Name	Model Path
0	Unavailable	None
1	레더	pl001_0000
2	헌터	pl002_0000
3	쟈나프	pl020_0000
4	쟈그라스	pl008_0000
5	본	pl003_0000
6	얼로이	pl004_0000
7	케스토	pl005_0000
8	가쟈우	pl006_0000
9	랑고	pl007_0000
10	쿠루루	pl009_0000
11	푸케푸케	pl010_0000
12	쥬라	pl011_0000
13	보로스	pl012_0000
14	카가치	pl013_0000
15	체인	pl014_0000
16	Unavailable	None
17	타로스	pl017_0000
18	Unavailable	None
19	킹비트	pl019_0000 (Male Only)
20	레이아	pl021_0000
21	기르오스	pl022_0000
22	치치	pl023_0000
23	우르무	pl024_0000
24	하이메탈	pl025_0000
25	데스기어	pl026_0000
26	기에나	pl027_0000
27	발킨	pl028_0000
28	가론	pl029_0000
29	Unavailable	None
30	잉곳	pl031_0000
31	Unavailable	None
32	레우스	pl033_0000
33	디아블로	pl034_0000
34	키린	pl035_0000
35	브리게이드	pl036_0000
36	Unavailable	pl037_0000
37	레더α	pl001_0000
38	레더β	pl001_0000
39	체인α	pl014_0000
40	체인β	pl014_0000
41	헌터α	pl002_0000
42	헌터β	pl002_0010
43	본α	pl003_0000
44	본β	pl003_0000
45	얼로이α	pl004_0000
46	얼로이β	pl004_0000
47	가쟈우α	pl006_0000
48	가쟈우β	pl006_0000
49	케스토α	pl005_0000
50	케스토β	pl005_0000
51	랑고α	pl007_0000
52	랑고β	pl007_0000
53	가스토α	pl015_0000
54	가스토β	pl015_0000
55	바르노스α	pl016_0000
56	바르노스β	pl016_0000
57	타로스α	pl017_0000
58	타로스β	pl017_0000
59	Unavailable	None
60	Unavailable	None
61	쟈그라스α	pl008_0000
62	쟈그라스β	pl008_0000
63	쿠루루α	pl009_0000
64	쿠루루β	pl009_0000
65	푸케푸케α	pl010_0000
66	푸케푸케β	pl010_0010
67	쥬라α	pl011_0000
68	쥬라β	pl011_0000
69	보로스α	pl012_0000
70	보로스β	pl012_0000
71	카가치α	pl013_0000
72	카가치β	pl013_0000
73	레이아α	pl021_0000
74	레이아β	pl021_0010
75	기르오스α	pl022_0000
76	기르오스β	pl022_0000
77	치치α	pl023_0000
78	치치β	pl023_0000
79	우르무α	pl024_0000
80	우르무β	pl024_0000
81	가론α	pl029_0000
82	가론β	pl029_0010
83	가마루α	pl039_0000
84	가마루β	pl039_0000
85	라바α	pl040_0000
86	라바β	pl040_0010
87	리오하트α	pl021_0100
88	리오하트β	pl021_0110
89	하이메탈α	pl025_0000
90	하이메탈β	pl025_0000
91	잉곳α	pl031_0000
92	잉곳β	pl031_0000
93	쟈나프α	pl020_0000
94	쟈나프β	pl020_0010
95	기에나α	pl027_0000
96	기에나β	pl027_0010
97	발킨α	pl028_0000
98	발킨β	pl028_0010
99	우르즈α	pl032_0000
100	우르즈β	pl032_0010
101	레우스α	pl033_0000
102	레우스β	pl033_0010
103	디아블로α	pl034_0000
104	디아블로β	pl034_0010
105	키린α	pl035_0000
106	키린β	pl035_0010
107	오그α	pl030_0000
108	오그β	pl030_0010
109	간킨α	pl041_0000
110	간킨β	pl041_0010
111	리오소울α	pl033_0100
112	리오소울β	pl033_0110
113	디아네로α	pl034_0100
114	디아네로β	pl034_0110
115	바젤α	pl042_0000
116	바젤β	pl042_0010
117	킹비트α	pl019_0000 (Male Only)
118	킹비트β	pl019_0000 (Male Only)
119	브리게이드α	pl036_0000
120	브리게이드β	pl036_0000
121	다마스크α	pl043_0000
122	다마스크β	pl043_0010
123	도베르α	pl044_0000
124	도베르β	pl044_0000
125	제노라지α	pl045_0000
126	제노라지β	pl045_0010
127	카이저α	pl046_0000
128	카이저β	pl046_0010
129	크샤나α	pl047_0000
130	크샤나β	pl047_0010
131	스컬α	pl054_0000
132	스컬β	pl001_0000
133	데스기어α	pl026_0000
134	데스기어β	pl026_0000
135	길드크로스α	pl048_0000
136	길드크로스β	pl048_0000
137	Unavailable	pl001_0000
138	Unavailable	pl001_0000
139	조라마그나α	pl038_0000
140	조라마그나β	pl038_0010
141	시커α	pl053_0000
142	시커β	pl053_0000
143	Unavailable	pl001_0000
144	Unavailable	pl001_0000
145	【브리게이드】 의상	pl036_0000
146	【길드크로스】 의상	pl048_0000
147	【블로섬】 의상	pl074_0000
148	【다이버】 의상	pl075_0000
149	【하베스트】 의상	pl076_0000
150	【오리온】 의상	pl077_0000
151	아이루페이크α	pl055_0000
152	모스페이크α	pl056_0000
153	【풀드레스】 의상	pl078_0000
154	HARDUMMY	pl068_0000
155	【Ryu】의상	pl069_0000
156	【Sakura】 의상	pl070_0000
157	새벽무사【적】	pl001_0000
158	새벽무사【적】	pl001_0000
159	【바예크】의상	pl120_0000
160	새벽무사【적】	pl001_0000
161	샤무	pl058_0000
162	샤무α	pl058_0000
163	샤무β	pl058_0000
164	파피메르	pl019_0000 (Female Only)
165	파피메르α	pl019_0000 (Female Only)
166	파피메르β	pl019_0000 (Female Only)
167	새벽무사【적】	None
168	새벽무사【적】	None
169	오리진	pl018_0000
170	새벽무사【예】	pl001_0000
171	새벽무사【예】	pl001_0000
172	새벽무사【예】	pl001_0000
173	새벽무사【예】	pl001_0000
174	새벽무사【예】	pl059_0000
175	Unavailable	pl001_0000
176	지략의안경α	pl060_0000
177	Unavailable	pl001_0000
178	용왕의 척안α	pl061_0000
179	Unavailable	pl001_0000
180	Unavailable	pl001_0000
181	Unavailable	pl001_0000
182	Unavailable	pl001_0000
183	맘가이라α	pl049_0000
184	맘가이라β	pl049_0010
185	블로섬	pl074_0000
186	다이버	pl075_0000
187	하베스트	pl076_0000
188	오리온	pl077_0000
189	풀드레스	pl078_0000
190	갑옷무사	pl067_0000
191	반기스α	pl050_0000
192	반기스β	pl050_0010
193	Unavailable	pl001_0000
194	새벽무사【적】	pl066_0000
195	새벽무사【예】	pl066_0010
196	용기사α	pl073_0000
197	블로섬α	pl074_0000
198	다이버α	pl075_0000
199	하베스트α	pl076_0000
200	오리온α	pl077_0000
201	풀드레스α	pl078_0000
202	파피옴	pl057_0000 (Male Only)
203	파피옴α	pl057_0000 (Male Only)
204	파피옴β	pl057_0010 (Male Only)
205	퀸비트	pl057_0000 (Female Only)
206	퀸비트α	pl057_0000 (Female Only)
207	퀸비트β	pl057_0000 (Female Only)
208	우르즈γ	pl032_0020
209	키린γ	pl035_0020
210	카이저γ	pl046_0020
211	크샤나γ	pl047_0020
212	오그γ	pl030_0020
213	조라마그나γ	pl038_0020
214	제노라지γ	pl045_0020
215	HARDUMMY	pl068_0000
216	Ryu	pl069_0000
217	Ryuα	pl069_0000
218	Sakuraα	pl070_0000
219	파란별 장군α	pl072_0000
220	단테α	pl071_0000
221	엠프리스α	pl051_0000
222	엠프리스β	pl051_0010
223	봉인의 안대α	pl063_0000
224	섀도우아이α	pl062_0000
225	쿠루루페이크α	pl065_0000
226	흔들흔들 페이크α	pl064_0000
227	【파피용】 의상	pl117_0000
228	【데스기어】 의상	pl026_0000
229	【섀도우아이】 의상	pl062_0000
230	【단테】 의상	pl071_0000
231	【용기사】 의상	pl073_0000
232	【모스페이크】의상	pl056_0000
233	【아이루페이크】의상	pl055_0000
234	【시커】 의상	pl053_0000
235	【봉인의 안대】 의상	pl063_0000
236	【흔들흔들페이크】의상	pl064_0000
237	【오리진】 의상	pl018_0000
238	【비틀】의상	pl116_0000
239	Unavailable	pl001_0000
240	【스컬페이스】의상	pl054_0000
241	【쿠루루페이크】의상	pl065_0000
242	HARDUMMY	pl068_0000
243	엠프리스γ	pl051_0020
244	게롤트α	pl118_0000
245	시리α	pl119_0000
246	【게롤트】의상	pl118_0000
247	【시리】의상	pl119_0000
248	맘가이라γ	pl049_0020
249	수비대α	pl121_0000
250	【우르파】의상	pl105_0000
251	Unavailable	None
252	EX본α	pl003_0000
253	EX본β	pl003_0000
254	EX얼로이α	pl004_0000
255	EX얼로이β	pl004_0000
256	EX랑고α	pl007_0001
257	EX랑고β	pl007_0001
258	EX타로스α	pl017_0001
259	EX타로스β	pl017_0001
260	EX케스토α	pl005_0000
261	EX케스토β	pl005_0000
262	EX가쟈우α	pl006_0000
263	EX가쟈우β	pl006_0000
264	EX샤무α	pl058_0000
265	EX샤무β	pl058_0000
266	EX가스토α	pl015_0000
267	EX가스토β	pl015_0000
268	EX바르노스α	pl016_0000
269	EX바르노스β	pl016_0000
270	EX우르그α	pl102_0000
271	EX우르그β	pl102_0000
272	EX코르토스α	pl103_0000
273	EX코르토스β	pl103_0000
274	EX쟈그라스α	pl008_0001
275	EX쟈그라스β	pl008_0001
276	EX치치α	pl023_0001
277	EX치치β	pl023_0001
278	EX기르오스α	pl022_0001
279	EX기르오스β	pl022_0001
280	EX가마루α	pl039_0001
281	EX가마루β	pl039_0001
282	EX쿠루루α	pl009_0001
283	EX쿠루루β	pl009_0001
284	EX푸케푸케α	pl010_0001
285	EX푸케푸케β	pl010_0001
286	EX보로스α	pl012_0001
287	EX보로스β	pl012_0001
288	EX쥬라α	pl011_0001
289	EX쥬라β	pl011_0001
290	EX브란α	pl110_0000
291	EX브란β	pl110_0000
292	EX카가치α	pl013_0001
293	EX카가치β	pl013_0001
294	EX하이메탈α	pl025_0000
295	EX하이메탈β	pl025_0000
296	EX버프바로α	pl084_0000
297	EX버프바로β	pl084_0010
298	EX쟈나프α	pl020_0001
299	EX쟈나프β	pl020_0011
300	EX레이아α	pl021_0001
301	EX레이아β	pl021_0011
302	EX리오하트α	pl021_0101
303	EX리오하트β	pl021_0111
304	EX우르무α	pl024_0001
305	EX우르무β	pl024_0001
306	EX우르무메어α	pl024_0101
307	EX우르무메어β	pl024_0101
308	EX푸케라그나α	pl010_0101
309	EX푸케라그나β	pl010_0101
310	EX베니카가치α	pl013_0101
311	EX베니카가치β	pl013_0101
312	EX발킨α	pl028_0001
313	EX발킨β	pl028_0001
314	【레더】의상	pl001_0000
315	【체인】의상	pl014_0000
316	【헌터α】의상	pl002_0000
317	【헌터β】의상	pl002_0010
318	【본】의상	pl003_0000
319	【얼로이】의상	pl004_0000
320	【랑고】의상	pl007_0000
321	【타로스】의상	pl017_0000
322	【케스토】의상	pl005_0000
323	【가쟈우】의상	pl006_0000
324	Unavailable	pl095_0000
325	【금천원숭이】의상	pl113_0001
326	【샤무】의상	pl058_0000
327	【켈비페이크】의상	pl096_0000
328	EX잉곳α	pl031_0000
329	EX잉곳β	pl031_0000
330	EX벨리오α	pl089_0000
331	EX벨리오β	pl089_0010
332	EX레우스α	pl033_0001
333	EX레우스β	pl033_0011
334	EX디아블로α	pl034_0001
335	EX디아블로β	pl034_0011
336	EX기에나α	pl027_0001
337	EX기에나β	pl027_0011
338	EX가론α	pl029_0001
339	EX가론β	pl029_0011
340	EX라바α	pl040_0001
341	EX라바β	pl040_0001
342	EX간킨α	pl041_0001
343	EX간킨β	pl041_0001
344	EX나르가α	pl080_0000
345	EX나르가β	pl080_0010
346	EX디노α	pl081_0000
347	EX디노β	pl081_0010
348	EX브라키α	pl082_0000
349	EX브라키β	pl082_0010
350	EX렉스α	pl083_0000
351	EX렉스β	pl083_0010
352	EX쟈나르α	pl020_0101
353	EX쟈나르β	pl020_0111
354	【쟈그라스】의상	pl008_0000
355	【쿠루루】의상	pl009_0000
356	EX검은띠α	pl093_0000
357	EX검은띠β	pl093_0000
358	【용왕의 척안】의상	pl061_0000
359	【지략의 안경】의상	pl060_0000
360	【깃털장식】의상	pl037_0000
361	【치치】의상	pl023_0000
362	【기르오스】의상	pl022_0000
363	EX브리나α	pl027_0500
364	EX브리나β	pl027_0510
365	EX리오소울α	pl033_0101
366	EX리오소울β	pl033_0111
367	EX디아네로α	pl034_0101
368	EX디아네로β	pl034_0111
369	EX데스가론α	pl029_0101
370	EX데스가론β	pl029_0111
371	EX디노이에로α	pl081_0100
372	EX디노이에로β	pl081_0110
373	EX아티어α	pl091_0000
374	EX아티어β	pl091_0000
375	【스컬스카프】의상	pl099_0000
376	【푸케푸케α】의상	pl010_0000
377	【푸케푸케β】의상	pl010_0010
378	EX도베르α	pl044_0000
379	EX도베르β	pl044_0000
380	EX다마스크α	pl043_0000
381	EX다마스크β	pl043_0010
382	EX라비나α	pl085_0000
383	EX라비나β	pl085_0010
384	EX프라이드α	pl042_0500
385	EX프라이드β	pl042_0510
386	EX바르퍼α	pl032_0500
387	EX바르퍼β	pl032_0510
388	EX카이저α	pl046_0001
389	EX카이저β	pl046_0011
390	EX크샤나α	pl047_0001
391	EX크샤나β	pl047_0011
392	EX키린α	pl035_0001
393	EX키린β	pl035_0011
394	EX텐터클α	pl086_0000
395	EX텐터클β	pl086_0010
396	【아크로크α】의상	pl104_0000
397	【보로스】의상	pl012_0000
398	EX길드팰리스α	pl094_0000
399	EX길드팰리스β	pl094_0000
400	EX아크로크α	pl104_0000
401	EX아크로크β	pl104_0000
402	【수정피어스】의상	pl059_0000
403	EX조크α	pl030_0500
404	EX조크β	pl030_0510
