Meal Code	Meal Name	Meal Effect
CatSkill000_CAT_SKILL	야옹 연마술	숫돌을 이용한 연마 시간이 단축될확률이 높아진다.
CatSkill001_CAT_SKILL	야옹 탑승 고수	몬스터에게 탑승하기가 쉬워진다.
CatSkill002_CAT_SKILL	야옹 재난대처능력	남은 체력이 조금밖에 없을 때공격력이 크게 상승한다.
CatSkill003_CAT_SKILL	야옹 해체술【대】	갈무리 횟수가 높은 확률로증가한다.
CatSkill004_CAT_SKILL	야옹 해체술【소】	갈무리 횟수가 낮은 확률로증가한다.
CatSkill005_CAT_SKILL	야옹 의료술	체력 회복량이 증가한다.
CatSkill006_CAT_SKILL	야옹 체술	회피 등 고정적으로 스태미나를소비하는 행동의 스태미나소비량이 감소한다.
CatSkill007_CAT_SKILL	야옹 화약술	대형나무통폭탄이대형나무통폭탄G로 강화된다.
CatSkill008_CAT_SKILL	야옹 특수공격술	상태 이상 공격이 강해진다.
CatSkill009_CAT_SKILL	야옹 방어술【대】	플레이어가 받는 데미지를높은 확률로 감소시킨다.
CatSkill010_CAT_SKILL	야옹 방어술【소】	플레이어가 받는 데미지를낮은 확률로 감소시킨다.
CatSkill011_CAT_SKILL	야옹 수확제	채취 포인트의 재출현 시간이단축된다.
CatSkill012_CAT_SKILL	야옹 사격술	통상탄, 통상화살의 데미지가증가한다.
CatSkill013_CAT_SKILL	복고양이의 행운	퀘스트 보수로 받는 아이템의 수가늘어날 확률이 높아진다.
CatSkill014_CAT_SKILL	야옹 튕겨내기 고수	몬스터가 공격을 튕겨냈을 때예리도가 적게 소모된다.
CatSkill015_CAT_SKILL	야옹 도주술	대형 몬스터에게서 도망칠 때스태미나 소비량이 감소한다.
CatSkill016_CAT_SKILL	야옹 배달술	운반 중 대시했을 때의스태미나 소비가 줄어든다.
CatSkill017_CAT_SKILL	야옹 운반 철인	운반 중에는 공격을 받아도움츠리지 않는다.
CatSkill018_CAT_SKILL	야옹! 약한놈덤벼!	퀘스트에 출현하는 대형 몬스터가약해질 확률이 높아진다.
CatSkill019_CAT_SKILL	야옹 환산술	결과 화면에서 취득하는조사 포인트가 증가한다.
