Delivery ID	Delivery Name	Delivery Reward
0	싹 터라 고대수	활성제
1	초목이여, 건강히 자라라	그레이트 식물 비료
2	버섯 왕창!	엄선버섯 균상
3	벌레 모이는 나무 계획	농후 벌레 모으기 젤리
4	고대수는 끝없이 자란다	고대의 활성제
5	좋은 흙은 고대수의 침대	부드러운 흙
6	수납에 웃는 자는 수납에 운다	수확 BOX 확장
7	겨우 수납이지만 그래도 수납	수확 BOX 확장
8	고대수의 숲 캠프 계획 1	북서 캠프(8)
9	고대수의 숲 캠프 계획 2	고대수 캠프(17)
10	개밋둑의 황야 캠프 계획 1	중앙 캠프(6)
11	Invalid Message	Invalid Message
12	개밋둑의 황야 캠프 계획 2	북동 캠프(15)
13	육산호의 대지 캠프 계획	북동 캠프(12)
14	용결정의 땅 캠프 계획 1	동 캠프(8)
15	용결정의 땅 캠프 계획 2	북서 캠프(16)
16	행복의 지름길	로프 리프트
17	무기점의 특수 장비 개발	내수 복장
18	무기점의 특수 장비 개발 2	내한 복장
19	버섯은 진한 향을 풍긴다	킹 트러플
20	끓여도 구워도 맛있는 생선	가쟈우의 아가미살
21	새우는 바다의 보석	산호 새우
22	100만z의 경치보다 훌륭한 채소	밀리언 캐비지
23	천 년을 사는 게!?	천년 게
24	새빨간 토마토인가 용암인가	서리내림 토마토
25	터지는 육즙의 레지스탕스	호화 볼기살
26	뼈에 붙은 고기의 레지스탕스	머튼그레이트
27	고대어의 세례	고대 참돔
28	다섯 개의 얼굴을 지닌 채소	오향 샐러리
29	파프리카 무지개 변화!	무지개색 파프리카
30	달인에 어울리는 한잔	달인 맥주
31	불을 토하는 술을 조심	레우스 위스키
32	그레이트 회복약 조달	주사위 미트
