Food Code	Food Name	Food Desc
MEAT_00_ID	용의 발	≪용감≫ 계통의 식사 스킬 발동이쉬워지는 고기 식재료. 잘 삶으면놀라울 만큼 부드러워진다.
MEAT_01_ID	용의 안창살	≪용감≫ 계통의 식사 스킬 발동이쉬워지는 고기 식재료. 얇게 썰어서숯불에 구워 먹는 걸 추천한다.
MEAT_02_ID	비룡의 알	≪용감≫ 계통의 식사 스킬 발동이쉬워지는 고기류 식재료. 비룡의 둥지에서 가져온 귀중한 식재료.
MEAT_03_ID	용의 꼬리	≪용감≫ 계통의 식사 스킬 발동이쉬워지는 고기 식재료. 비룡의 고기.꼭 한 번 맛보고 싶은 훌륭한 맛.
MEAT_04_ID	용의 머리	≪용감≫ 계통의 식사 스킬 발동이쉬워지는 고기 식재료. 경사스러운날에 나오기도 하는 고급 식재료.
MEAT_05_ID	드래곤 필레	≪용감≫ 계통의 식사 스킬 발동이쉬워지는 고기 식재료. 가장 높은가치가 있다고 알려진 고기 부위.
MEAT_06_ID	단단한 고기	≪인내≫ 계통의 식사 스킬 발동이쉬워지는 고기 식재료. 꽤 질기다.씹다 보면 턱이 단련된다.
MEAT_07_ID	가시 고기	≪인내≫ 계통의 식사 스킬 발동이쉬워지는 고기 식재료. 갑각에달라붙은 고기. 부상에 주의할 것.
MEAT_08_ID	숙성 단단한 고기	≪인내≫ 계통의 식사 스킬 발동이쉬워지는 고기 식재료. 제법 고급식재료다. 가끔 사치를 부려 보자.
MEAT_09_ID	딴딴한 고기	≪인내≫ 계통의 식사 스킬 발동이쉬워지는 고기 식재료. 씹기가 힘들 정도로단단한 고기. 영양가가 높은 것이 장점.
MEAT_10_ID	와일드 치킨	≪인내≫ 계통의 식사 스킬 발동이쉬워지는 고기 식재료. 뼈까지 호쾌하게잘라서 물어뜯는 걸 추천한다.
MEAT_11_ID	날고기 절임	≪인내≫ 계통의 식사 스킬 발동이쉬워지는 고기 식재료. 특별한 전통소스에 푹 담가 숙성시킨 고기.
MEAT_12_ID	아프토노스 미트	≪열혈≫ 계통의 식사 스킬 발동이쉬워지는 고기 식재료. 헌터들 사이에서는 익숙한 일반적인 식재료.
MEAT_13_ID	아프케로스	≪열혈≫ 계통의 식사 스킬 발동이쉬워지는 고기 식재료. 몹시 배고픈헌터들에게 사랑받는 커다란 고기.
