Gallery ID	Gallery Name	Gallery Desc
EVC0001	승선	신대륙으로 향하는 배가 드디어 출항을앞두고 있다. 그중엔 제5기 조사단 소속으로배에 올라탄 헌터의 모습이 있었다.
EVC0002	운명의 조우	신대륙행 배 안에서, 운명적인 만남을가진 자들이 마주한 소동은...
EVC0003	하늘에서 만나는 미지의 대륙	거대한 존재의 머리 위에서, 익룡을 붙잡고탈출한 헌터와 접수원. 마침내 신대륙에상륙하게 된다.
EVC0051	숲의 불량배들	헌터와 접수원이 조사 거점으로 향하는도중, 고대수의 숲에서 소형 몬스터쟈그라스와 조우한다.
EVC0004	흔적을 남긴 자는...	발견한 흔적을 더듬는 접수원.거기서 나타난 자는...
EVC0005	관문에서의 소동	조사 거점 도착이 코앞일 때, 헌터는두마리 몬스터들의 싸움에 휘말려 버린다.
EVC0006	아스테라 도착	긴 여정 끝에, 마침내 헌터와 접수원은목표했던 조사 거점, 아스테라에다다를 수 있었다.
EVC0052	믿음직한 사냥 파트너	아스테라에 도착한 헌터는, 배 전복 소동중에 헤어진 사냥 동료, 동반자와재회한다.
EVC0055	파손 주의!	헌터와 조사팀 리더가 캠프 설립지에도착하니, 거기엔 앞다리를 능숙히 사용해항아리를 파헤치는 쿠루루야크의 모습이...
EVC0007	안내벌레가 인도한 곳에	아스테라으로 귀환하는 도중,안내벌레가무언가에 반응했다. 거기엔 흥분한 푸케푸케,그리고 본 적도 없는 거대한 흔적이...
EVC0056	신천지를 향해!	숲과 황야 곳곳에서, 조라-마그다라오스의흔적이 발견되었다. 헌터는 조사를 가는학자의 호위 임무를 개시하게 된다.
EVC0008	맹렬히 돌진하는 무리들	조라-마그다라오스의 흔적을 회수하기 위해학자의 호위를 맡은 헌터였으나,임무 중에 볼보로스와 만나버린다.
EVC0009	용인족의 현인	개밋둑의 황야에서 학자의 호위를 마친헌터. 거기서 1기 조사단의 헌터라자처하는 용인족 남자와 만난다.
EVC0010	늪의 불온한 그림자	행방불명인 학자를 찾아 늪지에 온 헌터는,볼보로스를 쓰러뜨린 무언가에게겁을 먹은 학자를 발견한다.
EVC0011	비뢰룡이 춤추는 숲	끓는 듯한 기척을 느껴 위를 본 헌터 주위로다량의 깃털이 떠오른다. 나무 위에서식하는 민첩한 아룡종의 위협이 닥쳐온다!
EVC0012	숲의 망나니 안쟈나프	영역 다툼을 벌이며, 상대를 유린하는안쟈나프. 이 녀석을 함정에 빠뜨리려유인을 시도한 헌터가 있었지만...
EVC0013	조라-마그다라오스 포획 작전	고룡이동의 수수께끼를 해명하려 고룡 포획작전을 계획한 조사단. 드디어 대협곡에서일출과 함께 조라-마그다라오스가 등장.
EVC0014	작전의 끝	수수께끼의 검은 몬스터의 난입. 작전수행을위해 헌터들은 침입자 격퇴에 주력한다.그리고 끝내, 포획작전은 끝을 맞이한다...
EVC0015	대협곡을 넘어	조라-마그다라오스를 쫓아 대협곡의균열로 나아간 헌터와 접수원. 두 명의눈앞에 돌연 펼쳐진 세계는...
EVC0060	섬광 기둥	사냥감에 몰려든 샤무오스들은, 영역에칩입한 현조를 눈치채고 포위한다. 하지만사방이 엄청난 섬광으로 휩싸이는데...
EVC0061	하늘에 떠오르는 비룡	공중을 천천히 부유하는 수상한 물체를추적하는 헌터. 하지만 갑자기 모습을놓쳐 주변을 둘러보니...
EVC0016	독기의 골짜기로	기구를 설치한 연구기지가 육산호의 대지의독특한 기류를 타고 하늘로 떠오른다.그리하여 목적지인 독기의 골짜기에 도착한다.
EVC0062	만남	독기의 골짜기의 탐색을 끝마친 헌터와접수원은 캠프에서 1기 조사단인 필드마스터와 만난다.
EVC0017	뼈전차, 골짜기를 달리다	커다란 땅울림과 함께 땅속에서 나타난거대한 뼈전차가, 흔적을 조사하고 있던헌터를 습격해온다...!
EVC0018	화려한 창공의 헌터	마그다라오스의 흔적을 찾아, 일행은 계곡최하층으로 기구를 하강하지만, 하늘에서사냥하는 레이기에나가 앞길을 막는다.
EVC0019	위기	마그다라오스의 흔적을 조사하는 두 명앞으로 오도가론이 나타난다. 오도가론은접수원을 노리는데....
EVC0020	골짜기에 잠든 진실	필드마스터와 무사히 재회하는 두 사람.그리고 그녀의 말에 의하면, 고룡이 바다를건넌 이유가 드디어 밝혀졌다 한다.
EVC0021	숲 꼭대기에서 날개를 펴다	고대용인과 만나기 위해 고대수의 꼭대기에간 두 사람. 거기에 나타난 것은,분노한 하늘의 왕자 리오레우스였다.
EVC0022	모래 밑에서 날뛰다	개밋둑의 황야에서 떠도는 노이오스를 노린볼보로스. 하지만, 돌연히 땅속에서 나타난거대한 2개의 뿔로 인해 상황은 일변했다.
EVC0023	유인 작전, 시작	조라-마그다라오스를 바깥 바다로 이끌기위한 작전이, 드디어 개시되었다.
EVC0024	다음 생명으로의 여행	조사단의 유도작전 끝에,마침내 조라-마그다라오스는천천히 바깥 바다로 나아갔다.
EVC0025	이상한 나라의 여왕	수수께끼의 흔적을 남긴 몬스터의 모습을찾아 두 사람은 육산호의 대지를방문했는데, 그 곳에서 나타난 것은...
EVC0034	대단장 등장	신대륙에서 마침내 아종이 발견되었다.아스테라에서 조사를 하던 중, 그곳에서조사단의 리더, 대단장이 나타났다.
EVC0026	용결정의 땅으로	대단장의 안내로, 헌터와 접수원은거대한 결정이 빛나는 땅에 도착했다.
EVC0063	그곳의 대식가	거대한 결정이 사방팔방에 펼쳐져 있는동굴 안에서 묵묵히 결정을 먹는 암적룡.하지만 다음 목표는 헌터를 향하고 있었다.
EVC0027	검은 실체가 드러나다	마침내 헌터는 조라-마그다라오스를 통해서여러 차례 격돌했던 고룡을 먹는 고룡,네르기간테와 대치하게 된다
EVC0028	깊어지는 수수께끼	마침내 헌터는 네르기간테의 조사를수행한다. 하지만 거기엔 아직 몇 가지수수께끼가 남아 있었다...
EVC0064	불을 헤집는 용	작열하는 용암이 들끓는 동굴 안을 나아가던헌터는, 갑자기 불온한 기척을 느꼈다.거기서 땅울림과 함께 모습을 드러낸 건...
EVC0065	위험한 차륜	용결정의 땅을 질주하는 위험한 수레바퀴.열기를 띤 암석을 주위에 흩뿌리면서서서히 헌터와의 거리를 좁혀온다...
EVC0029	어두운 바닥의 발하자크	시체로 몰려든 기르오스들은 헌터의 접근을눈치채고 위협하기 시작한다. 그러나 배후에선시체의 산이 수상쩍게 꿈틀대려 한다.
EVC0030	강철의 크샬다오라	지면에 박히는 결정들에게 의식을 빼앗긴순간, 거세게 소용돌이치는 바람이결정을 휩쓸며 헌터를 덮치기 시작한다.
EVC0031	폭염의 테오-테스카토르	작열하는 용암이 꿈틀대는 동굴 안을나아가던 헌터에게 격렬한 업화가 덮친다.이를 간신히 피해낸 앞에 기다리고 있는 자는...
EVC0032	결말의 땅에서	용인족 헌터에게 이끌린 일행은 지맥을흐르는 에너지가 모이는 땅에 도착한다.하지만, 거기에 있던 건...
EVC0033	조사의 끝	격투 끝에 이름 없는 존재를 물리친 헌터.무너지기 시작하는 장소에서탈출을 시도하지만...
EVC0035	대단원	긴 시간 끝에, 고룡이동이란 현상 속에숨어 있던 진짜 수수께끼를 해명한 조사단.거기에 길드에서 더 없을 낭보가 전해졌다.
EVC0036	신대륙으로	고룡이동을 해명했지만 신대륙은 여전히 넓다.거기서 살아가는 헌터들은, 어디까지라도달려나갈 것이다.
EVC0066	불의 산을 짊어진 용	대기를 울리고 땅을 흔들며, 어딘지도모르는 곳으로 나아가는 거대한 고룡.그 모습은 마치 화산과 같다.
EVC0067	그것은 고룡의 왕	신대륙을 순환하는 광대한 에너지를 먹는,이 세상의 왕이 될 자가마침내 첫 울음소리를 내었다.
EVC0068	이 세상의 끝	독기의 골짜기... 이 세상의 끝이란표현이 어울리는 이형의 땅. 시체에서피어오르는 유독한 독기는 신체를 침식한다.
EVC0070	굶주린 공폭룡	이블조를 조사하러 고대수의 숲으로간 일행. 하지만 그곳에는 크나큰 재앙이접수원을 기다리고 있었다...
EVC0071	염왕의 옆에 서는 자	잠든 테오-테스카토르 앞에 갑자기 나타난네르기간테. 대치하는 두 마리 고룡이부딪히는 순간 모습을 드러낸 건...
EVC0072	금빛 갑옷을 두른 자	빛이 들어오는 동굴 안에서 꿈틀거리는난휘룡. 그 모습은 마치 거대한 황금덩어리가 살아 움직이는 것 같다.
EVC0074	에오르제아에서 온 방문자	달리는 사보텐을 쫓아 미지의 푸른 돌과솜털 난 생물을 발견한 헌터. 같은 시각,돌을 노리는 쿠루루야크 한 마리가 나타났다.
EVC0075	신대륙에 내려온 마수	거대한 운석이 떨어지고, 일대는 뜨거운폭풍에 휩싸인다. 서둘러 낙하 지점으로향하는 헌터를 미지의 마수가 기다린다...
EVC0078	리비아의 게롤트	신대륙에 위쳐, 게롤트가 나타난다.조사단은 다른 세계에서 괴물 퇴치를 전문으로 하는 그에게변이의 조사를 의뢰하기로 하는데...
EVC0079	숲에 숨은 다른 세계의 괴물	고대수의 숲에 퍼진 변이의 원인을 드디어알아낸다. 영역 안의 짐승을 마음대로 조종하는다른 세계의 괴물, 그 이름은 레셴.
EVC0080	다른 세계 〈포탈〉에서 온 괴물	고대수의 숲에 나타난 것은 다른 세계의 숲에 사는고대의 레셴. 쟈그라스 무리를 손쉽게조종하는 그 모습은, 실로 숲의 지배자라 할 만하다.
EVC0081	변이의 결말	게롤트는 레셴을 퇴치할 ≪헌터 룬스톤≫을건네고 아스테라를 떠난다.고대수의 숲에 잠재한 작은 변이를 남긴 채...
EVC0082	변이의 결말: 족장의 보답	저주에 걸린 족장을 도와 무사히족장의 자리에서 벗어난 게롤트는 가쟈부의독특한 감사의 춤을 감상하게 된다...
EVC0083	변이의 결말: 작은 친구	레셴을 퇴치하고 아스테라를 떠나는 게롤트.그 자리에, 도와준 푸케푸케를 타고한 마리의 테토루가 보답을 주러 나타났다.
EVC0084	변이의 결말: 의뢰 완료	가쟈부의 족장과 푸케푸케를 돕고, 모든변이를 해결한 게롤트는 레셴이 남긴〈포탈〉을 통해 신대륙을 떠난다.
EVC1000	전조	고대수의 숲에 레이기에나가 출현했다는보고를 받아, 조사에 착수한 헌터와 접수원.흔적을 쫓아간 곳에서 목격한 것은...
EVC1001	새로운 대지로	레이기에나가 날아간 방향으로 향하는헌터 일행. 과연 바다 너머에는어떤 세계가 기다리고 있는 것일까.
EVC1040	하얀 세상	새로운 땅에 내려선 헌터와 접수원이목격한 것은 하얗게 펼쳐진 설경이었다.
EVC1002	깊은 눈에 스며든 그림자	기구를 내릴 장소를 찾기 위해 탐색을 진행하는헌터와 접수원. 겨우 다다른 트인 장소에서본 적 없는 흔적을 발견한다.
EVC1003	전선거점 세리에나	헌터 일행이 발견한 땅에 조사단이 도착.새로운 거점의 건설로 활기찬 가운데사령관이 나타난다.
EVC1004	영원히 얼어붙은 땅	녹지 않는 얼음으로 둘러싸인 얼어붙은 대지.거기서 헌터를 기다리는 것은...
EVC1005	맹우룡의 습격	수송대의 안전을 확보하기 위해바다 건너 극한지를 탐색하는 헌터 일행.그 앞은 쓰러진 나무들로 막혀 있었다.
EVC1006	활기찬 세리에나	수송대의 도착으로 세리에나는 더욱활기를 띤다. 귀환한 헌터 일행은조사팀 리더에게 말을 건넨다.
EVC1007	살며시 다가오는 발소리	바다 건너 땅에서 조사를 진행하던필드마스터와 헌터 일행의 배후에는 비독룡이먹이를 노리며 살며시 다가오고 있었다.
EVC1008	얼어있는 낡은 배	탐색을 계속하던 헌터 일행은 오래된 배를발견한다. 이 배는 언제, 어떤 목적으로이 땅에 도착한 것일까...?
EVC1009	잠으로 인도하는 비룡	아종의 조사를 위해 개밋둑의 황야로 향한헌터에게 돌연 졸음이 덮쳐온다.희미해지는 의식 가운데 목격한 것은...
EVC1010	물을 마시는 몬스터	영역을 침범한 푸케푸케 아종을 둘러싸며위협하는 샤무오스. 하지만, 침입자는개의치 않고 자신의 욕구를 계속 채운다...
EVC1011	얼어 붙은 눈보라의 수수께끼	필드마스터와 접수원 수색을 위해바다 건너 극한지로 향한 헌터는 맹렬한눈보라 속에서 얼어붙은 익룡을 발견한다.
EVC1012	얼음 용	무사히 재회한 접수원 일행에게서조사 결과를 듣던 순간, 감미로운 노랫소리와함께 눈보라가 거세게 몰아친다...
EVC1013	날쌘 그림자	고대수의 숲에서 조사를 하던 헌터 일행을덮친 나르가쿠르가, 그리고 갑자기 끼어든리오레우스. 과연 싸움의 결과는...
EVC1014	백전 연마의 칼날	둥지로 돌아가 다친 몸을 회복하는 리오레이아.그 모습을 엿보던 헌터의 등 뒤로더 큰 위협이 닥쳐온다.
EVC1015	생명이 있는 것들의 저항	아스테라로 돌아간 헌터와 접수원.거기서 두 사람이 목격한 것은 얼어붙은안쟈나프의 모습이었다.
EVC1016	계곡에 울려 퍼지는 굉음	먹이를 탐내는 티가렉스를 상대로 예리한회전과 돌진으로 상대하는 라도발킨.하지만 둘 사이의 힘의 차는 너무나 명확했다.
EVC1017	다가오는 점균의 위협	헌터는 용결정의 땅에서 검게 탄 지면을발견한다. 그 앞에 나타난 우라간킨의전신에는 점균이 붙어 있었다.
EVC1018	월석	달의 돌을 바라보는 접수원.할아버지에게 받은 그 돌은그녀에게 어떤 이야기를 전해줄것인가.
EVC1019	절대 영도의 숨결	빙룡 이베르카나. 그 몸은 냉기를 두르고그 숨은 대지를 얼어붙게 하며, 그 날갯짓은모든 것을 하얗게 빛나는 세계로 바꾼다.
EVC1020	얼어붙은 냉기의 포옹	이베르카나는 헌터에게 일격을 받아쓰러진다. 헌터가 다가가자, 빙룡의주변을 차가운 안개가 휘감는데...
EVC1021	추적	이베르카나의 뒤를 쫓아서 바다 건너극한지를 탐색하는 헌터와 접수원.그리고, 아직 행방불명인 필드마스터는…
EVC1022	이어지는 마음	헌터의 활약으로 무사히 구출된필드마스터. 그녀는 접수원에게서과거 자신의 모습을 겹쳐보며 미소 짓는다.
EVC1025	산성 칼날	기르오스 무리는 디노발드 아종을 포위하고덤벼든다. 하지만, 류참룡의 칼날은기르오스 무리를 무참히 베어 넘긴다.
