Insect ID	Insect Code	Insect Name	Model
0	ROD_INSECT_000_NAME	쿨드론Ⅰ	mus001
1	ROD_INSECT_001_NAME	쿨드론Ⅱ	mus001
2	ROD_INSECT_002_NAME	쿨드론Ⅲ	mus001
3	ROD_INSECT_003_NAME	아르마스태그Ⅰ	mus003
4	ROD_INSECT_004_NAME	아르마스태그Ⅱ	mus003
5	ROD_INSECT_005_NAME	아르마스태그Ⅲ	mus003
6	ROD_INSECT_006_NAME	모나크블스태그Ⅰ	mus004
7	ROD_INSECT_007_NAME	모나크블스태그Ⅱ	mus004
8	ROD_INSECT_008_NAME	모나크블스태그Ⅲ	mus004
9	ROD_INSECT_009_NAME	레지나볼란테Ⅰ	mus005
10	ROD_INSECT_010_NAME	레지나볼란테Ⅱ	mus005
11	ROD_INSECT_011_NAME	레지나볼란테Ⅲ	mus005
12	ROD_INSECT_012_NAME	가실도레Ⅰ	mus006
13	ROD_INSECT_013_NAME	가실도레Ⅱ	mus006
14	ROD_INSECT_014_NAME	가실도레Ⅲ	mus006
15	ROD_INSECT_015_NAME	둔크라프Ⅰ	mus007
16	ROD_INSECT_016_NAME	둔크라프Ⅱ	mus007
17	ROD_INSECT_017_NAME	둔크라프Ⅲ	mus007
18	ROD_INSECT_018_NAME	우카드레Ⅰ	mus008
19	ROD_INSECT_019_NAME	우카드레Ⅱ	mus008
20	ROD_INSECT_020_NAME	우카드레Ⅲ	mus008
21	ROD_INSECT_021_NAME	카제키리바네Ⅰ	mus009
22	ROD_INSECT_022_NAME	카제키리바네Ⅱ	mus009
23	ROD_INSECT_023_NAME	카제키리바네Ⅲ	mus009
24	ROD_INSECT_024_NAME	킹시나토Ⅰ	mus010
25	ROD_INSECT_025_NAME	킹시나토Ⅱ	mus010
26	ROD_INSECT_026_NAME	킹시나토Ⅲ	mus010
27	ROD_INSECT_027_NAME	시나토모도키Ⅰ	mus011
28	ROD_INSECT_028_NAME	시나토모도키Ⅱ	mus011
29	ROD_INSECT_029_NAME	시나토모도키Ⅲ	mus011
30	ROD_INSECT_030_NAME	말드론Ⅰ	mus012
31	ROD_INSECT_031_NAME	말드론Ⅱ	mus012
32	ROD_INSECT_032_NAME	말드론Ⅲ	mus012
33	ROD_INSECT_033_NAME	자미르비틀Ⅰ	mus014
34	ROD_INSECT_034_NAME	자미르비틀Ⅱ	mus014
35	ROD_INSECT_035_NAME	자미르비틀Ⅲ	mus014
36	ROD_INSECT_036_NAME	퀘니히고어비틀Ⅰ	mus015
37	ROD_INSECT_037_NAME	퀘니히고어비틀Ⅱ	mus015
38	ROD_INSECT_038_NAME	퀘니히고어비틀Ⅲ	mus015
39	ROD_INSECT_039_NAME	필카노Ⅰ	mus016
40	ROD_INSECT_040_NAME	필카노Ⅱ	mus016
41	ROD_INSECT_041_NAME	필카노Ⅲ	mus016
42	ROD_INSECT_042_NAME	하르키터Ⅰ	mus017
43	ROD_INSECT_043_NAME	하르키터Ⅱ	mus017
44	ROD_INSECT_044_NAME	하르키터Ⅲ	mus017
45	ROD_INSECT_045_NAME	도룬키터Ⅰ	mus018
46	ROD_INSECT_046_NAME	도룬키터Ⅱ	mus018
47	ROD_INSECT_047_NAME	도룬키터Ⅲ	mus018
48	ROD_INSECT_048_NAME	아르조아냐Ⅰ	mus019
49	ROD_INSECT_049_NAME	아르조아냐Ⅱ	mus019
50	ROD_INSECT_050_NAME	아르조아냐Ⅲ	mus019
51	ROD_INSECT_051_NAME	가르헬Ⅰ	mus020
52	ROD_INSECT_052_NAME	가르헬Ⅱ	mus020
53	ROD_INSECT_053_NAME	가르헬Ⅲ	mus020
54	ROD_INSECT_054_NAME	메이버칠Ⅰ	mus021
55	ROD_INSECT_055_NAME	메이버칠Ⅱ	mus021
56	ROD_INSECT_056_NAME	메이버칠Ⅲ	mus021
57	ROD_INSECT_057_NAME	반리엘Ⅰ	mus022
58	ROD_INSECT_058_NAME	반리엘Ⅱ	mus022
59	ROD_INSECT_059_NAME	반리엘Ⅲ	mus022
60	ROD_INSECT_190_NAME	드래곤소울	mus023
61	ROD_INSECT_191_NAME	드래곤소울-진	mus023
62	ROD_INSECT_060_NAME	살바스태그Ⅰ-속	mus024
63	ROD_INSECT_061_NAME	살바스태그Ⅱ-속	mus024
64	ROD_INSECT_062_NAME	살바스태그Ⅲ-속	mus024
65	ROD_INSECT_063_NAME	살바스태그Ⅰ-공	mus024
66	ROD_INSECT_064_NAME	살바스태그Ⅱ-공	mus024
67	ROD_INSECT_065_NAME	살바스태그Ⅲ-공	mus024
68	ROD_INSECT_066_NAME	오스파다두레Ⅰ-속	mus025
69	ROD_INSECT_067_NAME	오스파다두레Ⅱ-속	mus025
70	ROD_INSECT_068_NAME	오스파다두레Ⅲ-속	mus025
71	ROD_INSECT_069_NAME	오스파다두레Ⅰ-공	mus025
72	ROD_INSECT_070_NAME	오스파다두레Ⅱ-공	mus025
73	ROD_INSECT_071_NAME	오스파다두레Ⅲ-공	mus025
74	ROD_INSECT_072_NAME	시나토오오모미지Ⅰ-유	mus026
75	ROD_INSECT_073_NAME	시나토오오모미지Ⅱ-유	mus026
76	ROD_INSECT_074_NAME	시나토오오모미지Ⅲ-유	mus026
77	ROD_INSECT_075_NAME	시나토오오모미지Ⅰ-공	mus026
78	ROD_INSECT_076_NAME	시나토오오모미지Ⅱ-공	mus026
79	ROD_INSECT_077_NAME	시나토오오모미지Ⅲ-공	mus026
80	ROD_INSECT_078_NAME	엘드란Ⅰ	mus002
81	ROD_INSECT_079_NAME	엘드란Ⅱ	mus002
82	ROD_INSECT_080_NAME	엘드란Ⅲ	mus002
83	ROD_INSECT_081_NAME	그란츠비틀Ⅰ-속	mus027
84	ROD_INSECT_082_NAME	그란츠비틀Ⅱ-속	mus027
85	ROD_INSECT_083_NAME	그란츠비틀Ⅲ-속	mus027
86	ROD_INSECT_084_NAME	그란츠비틀Ⅰ-유	mus027
87	ROD_INSECT_085_NAME	그란츠비틀Ⅱ-유	mus027
88	ROD_INSECT_086_NAME	그란츠비틀Ⅲ-유	mus027
89	ROD_INSECT_087_NAME	아무르마리키터Ⅰ-공	mus028
90	ROD_INSECT_088_NAME	아무르마리키터Ⅱ-공	mus028
91	ROD_INSECT_089_NAME	아무르마리키터Ⅲ-공	mus028
92	ROD_INSECT_090_NAME	아무르마리키터Ⅰ-속	mus028
93	ROD_INSECT_091_NAME	아무르마리키터Ⅱ-속	mus028
94	ROD_INSECT_092_NAME	아무르마리키터Ⅲ-속	mus028
95	ROD_INSECT_093_NAME	발프류겔Ⅰ-공	mus029
96	ROD_INSECT_094_NAME	발프류겔Ⅱ-공	mus029
97	ROD_INSECT_095_NAME	발프류겔Ⅲ-공	mus029
98	ROD_INSECT_096_NAME	발프류겔Ⅰ-유	mus029
99	ROD_INSECT_097_NAME	발프류겔Ⅱ-유	mus029
100	ROD_INSECT_098_NAME	발프류겔Ⅲ-유	mus029
101	ROD_INSECT_099_NAME	아르쟈론Ⅰ	mus013
102	ROD_INSECT_100_NAME	아르쟈론Ⅱ	mus013
103	ROD_INSECT_101_NAME	아르쟈론Ⅲ	mus013
104	ROD_INSECT_192_NAME	드래곤소울-극	mus023
