Item ID	Item Name	Item Type	Rare	Item Desc
0	－－－－－－－－	Material	0	Unavailable
1	회복약	Item	0	체력을 약간 회복하는 약.
2	그레이트 회복약	Item	1	체력을 적당히 회복하는 약.
3	비약	Item	2	체력 상한이 최대까지 상승하고완전히 회복하는 약.
4	고대의 비약	Item	4	체력과 스태미나 상한이 최대까지상승하고 완전 회복하는 약.
5	해독약	Item	0	독 상태를 회복하는 약.
6	한방약	Item	1	독 상태를 회복하며동시에 체력을 미량 회복하는 약.
7	지움열매	Item	1	다양한 속성 피해를 치료하는 열매.
8	에너지드링크	Item	1	스태미나를 회복하는 드링크.졸음에도 효과적!
9	휴대 식량	Item	0	스태미나를 약간 회복하는 식재료.
10	설익은 고기	Item	0	스태미나를 적당히 회복하는 식재료.
11	잘 익은 고기	Item	1	스태미나를 적당히 회복하며최대치가 잘 줄어들지 않게 된다.
12	탄 고기	Item	0	스태미나를 약간 회복하는 식재료.빨리 먹을 수 있다.
13	쿨드링크	Item	0	일정 시간동안 더위를 완화하는 음료.
14	영양제	Item	1	체력의 상한이 미량상승하는 약.
15	그레이트 영양제	Item	2	체력 상한이 약간상승하는 약.
16	활력제	Item	2	자연 회복력을 높이는 약.
17	아스테라저키	Item	1	조사단의 거점 아스테라에서 만들어지는말린 고기. 자연 회복력을 높이며,열상 상태를 치료한다.
18	강주약	Item	1	피로를 잘 느끼지 않게 하는 약.일정 시간동안 액션 시에스태미나 소비량이 감소된다.
19	dummy01	Material	3	dummy
20	괴력씨앗	Item	1	먹으면 일시적으로 공격력이상승하는 씨앗.
21	귀인약	Item	3	공격력을 상승시키는 약.귀신과 같은 힘을 얻는다.
22	그레이트 귀인약	Item	4	귀인약을 상회하는 공격력을얻는다고 전해지는 환상의 약.
23	괴력의 환약	Item	3	일시적으로 귀신과 같은 힘을얻게 되는 강력한 환약.
24	인내씨앗	Item	1	먹으면 일시적으로 방어력이상승하는 씨앗.
25	경화약	Item	3	방어력을 상승시키는 약.암석과 같이 피부가 딱딱해진다.
26	그레이트 경화약	Item	4	경화약을 상회하는 방어력을얻는다는 환상의 약.
27	인내의 환약	Item	3	일시적으로 강철과 같이 피부가딱딱해지는 강력한 환약.
28	생명의 가루	Item	3	체력을 회복하는 약을 주위에 뿌린다.
29	한방가루	Item	3	독을 중화하며 체력을 약간 회복하는분진을 주위에 뿌린다.
30	귀인의 가루	Item	3	공격력을 일시적으로 높이는 약을주위에 뿌린다.
31	경화의 가루	Item	3	방어력을 일시적으로 높이는 약을주위에 뿌린다.
32	벌꿀	Item	1	영양가 높은 벌꿀.회복약과 조합하면 그 효과를높일 수 있다.
33	약초	Item	0	회복약의 기본이 되는 풀.
34	해독초	Item	0	해독약의 기본이 되는 풀.
35	화약초	Item	1	발화 작용을 하는 신기한 풀.폭탄에 사용하는 폭약의 조합에 필요.
36	유수초	Item	0	잎에 다량의 수분을 축적한 풀.수냉탄의 조합에 필요.
37	서리초	Item	1	얼음과 같은 냉기를 뿌리는 풀.빙결탄의 조합에 필요.
38	수면초	Item	0	수면 작용을 하는 풀.포획용마취옥의 조합에 필요.
