Monster ID	Monster Code	Monster Name
0	EM100	안쟈나프
1	EM002	리오레우스
2	EMS001	아프토노스
3	EMS049	쟈그라스
4	EM106	조라-마그다라오스
5	EMS004	모스
6	EMS029	가쟈우
7	EM101	도스쟈그라스
8	EMS051	케스토돈♂
9	EM001	리오레이아
10	EM001_01	리오레이아 아종
11	EM002_01	리오레우스 아종
12	EM007	디아블로스
13	EM007_01	디아블로스 아종
14	EM011	키린
15	EM121_01	베히모스
16	EM024	크샬다오라
17	EM026	나나-테스카토리
18	EM027	테오-테스카토르
19	EM036	볼가노스
20	EM043	이블조
21	EM044	볼보로스
22	EM045	우라간킨
23	EM127_00	레셴
24	EM102	푸케푸케
25	EM103	네르기간테
26	EM105	제노-지바
27	EM107	쿠루루야크
28	EM107_01	치치야크
29	EM108	쥬라토도스
30	EM109	토비카가치
31	EM110	파오우르무
32	EM111	레이기에나
33	EM112	도스기르오스
34	EM113	오도가론
35	EM114	라도발킨
36	EM115	발하자크
37	EM116	도도가마루
38	EM117	맘-타로트
39	EM118	바젤기우스
40	EMS002	아프케로스
41	EMS003	켈비
42	EMS003_05	켈비
43	EMS005	칸타로스
44	EMS006	랑고스타
45	EMS050	메르노스
46	EMS051_05	케스토돈♀
47	EMS053	라피노스
48	EMS054	샤무오스
49	EMS055	바르노스
50	EMS056	기르오스
51	EM127_01	고대 레셴
52	EMS058	가스토돈
53	EMS059	노이오스
54	EMS060_00	배열기관
55	EMS060_01	×보조배열기관
56	EMS061	가쟈부
57	EMXXX	???
58	EM001_99	리오레이아 ???
59	EMS051_99	케스토돈
60	EMS061_02	황금의 기면족
61	EM032_00	티가렉스
62	EM037_00	나르가쿠르가
63	EM042_00	벨리오로스
64	EM_TEST_00001	미친 이블조
65	EM063_00	브라키디오스
66	EM080_00	디노발드
67	EM080_01	디노발드 아종
68	EM100_01	안쟈나프 아종
69	EM102_01	푸케푸케 아종
70	EM103_05	모두를 멸하는 네르기간테
71	EM109_01	토비카가치 아종
72	EM110_01	파오우르무 아종
73	EM111_05	얼려 찌르는 레이기에나
74	EM113_01	오도가론 아종
75	EM115_05	죽음을 두른 발하자크
76	EM118_05	홍련의 솟구치는 바젤기우스
77	EM122_00	브란토도스
78	EM123_00	버프바로
79	EM124_00	이베르카나
80	EM125_00	네로미에르
81	EM126_00	안-이슈왈다
82	EMS014_00	포포
83	EMS016_00	가우시카
84	EMS063_00	우르그
85	EMS064_00	코르토스
86	EMS061_01	보와보와
87	DUMMY000014	Unavailable
88	EM001_02	리오레이아 희소종
89	EM002_02	리오레우스 희소종
90	EM018_00	얀가루루가
91	EM023	라잔
92	EM023_05	격앙 라잔
93	EM_TEST_00002	티가렉스 아종
94	EM057_00	진오우거
95	EM057_01	진오우거 아종
96	EM063_05	사납게 터지는 브라키디오스
97	EM104	무페토-지바
98	DUMMY000016	Unavailable
99	EM018_05	상처 입은 얀가루루가
100	DUMMY000018	Unavailable
101	DUMMY000020	Unavailable
