Weapon ID	Weapon Name	File Path
1	도토리고양이삽	otomo/wp/ot_we001
28	본고양이해머	otomo/wp/ot_we028
29	아이언고양이소드	otomo/wp/ot_we029
2	쟈그고양이총망치	otomo/wp/ot_we002
3	쿠루루고양이우드	otomo/wp/ot_we003
4	푸케푸케고양이애로우	otomo/wp/ot_we004
5	보로스고양이메이스	otomo/wp/ot_we005
6	쥬라고양이소드	otomo/wp/ot_we006
7	카가치고양이포크	otomo/wp/ot_we007
8	쟈나프고양이뼈망치	otomo/wp/ot_we008
11	우르무고양이발	otomo/wp/ot_we011
9	레이아고양이레이피어	otomo/wp/ot_we009
13	발킨고양이볼	otomo/wp/ot_we013
30	은방울꽃고양이로드	otomo/wp/ot_we030
12	기에나고양이소드	otomo/wp/ot_we012
14	가론고양이사슬낫	otomo/wp/ot_we014
16	레우스고양이블레이드	otomo/wp/ot_we016
17	디아네고양이해머	otomo/wp/ot_we017
18	신의고양이검피카고로	otomo/wp/ot_we018
27	데스기어고양이사이즈	otomo/wp/ot_we027
32	도토리고양이삽α	otomo/wp/ot_we001
33	본고양이해머α	otomo/wp/ot_we028
34	아이언고양이소드α	otomo/wp/ot_we029
35	쟈그고양이총망치α	otomo/wp/ot_we002
36	쿠루루고양이우드α	otomo/wp/ot_we003
37	푸케푸케고양이애로우α	otomo/wp/ot_we004
38	보로스고양이메이스α	otomo/wp/ot_we005
39	쥬라고양이소드α	otomo/wp/ot_we006
40	카가치고양이포크α	otomo/wp/ot_we007
19	마그나고양이페트α	otomo/wp/ot_we019
41	쟈나프고양이뼈망치α	otomo/wp/ot_we008
42	우르무고양이발α	otomo/wp/ot_we011
43	레이아고양이레이피어α	otomo/wp/ot_we009
44	발킨고양이볼α	otomo/wp/ot_we013
45	은방울꽃고양이로드α	otomo/wp/ot_we030
46	기에나고양이소드α	otomo/wp/ot_we012
47	가론고양이사슬낫α	otomo/wp/ot_we014
48	레우스고양이블레이드α	otomo/wp/ot_we016
49	디아네고양이해머α	otomo/wp/ot_we017
