Pendant ID	Pendant Code	Pendant Name	Model
0	CHARM_000_NAME	길드 포상-동 지원대	charm002
1	CHARM_001_NAME	길드 포상-은 지원대	charm002
2	CHARM_002_NAME	길드 포상-금 지원대	charm002
3	CHARM_003_NAME	동장 스카프-빨강	charm003
4	CHARM_004_NAME	동장 스카프-노랑	charm003
5	CHARM_005_NAME	동장 스카프-파랑	charm003
6	CHARM_006_NAME	동장 스카프-분홍	charm003
7	CHARM_007_NAME	동장 스카프-초록	charm003
8	CHARM_008_NAME	동장 스카프-회색	charm003
9	CHARM_009_NAME	동장 스카프-홍차	charm003
10	CHARM_010_NAME	은장 스카프-하양	charm003
11	CHARM_011_NAME	은장 스카프-빨강	charm003
12	CHARM_012_NAME	은장 스카프-초록	charm003
13	CHARM_013_NAME	은장 스카프-하늘	charm003
14	CHARM_014_NAME	은장 스카프-자주	charm003
15	CHARM_015_NAME	은장 스카프-분홍	charm003
16	CHARM_016_NAME	은장 스카프-주황	charm003
17	CHARM_017_NAME	금장 스카프-갈색	charm003
18	CHARM_018_NAME	금장 스카프-하양	charm003
19	CHARM_019_NAME	금장 스카프-초록	charm003
20	CHARM_020_NAME	금장 스카프-황록	charm003
21	CHARM_021_NAME	금장 스카프-자주	charm003
22	CHARM_022_NAME	금장 스카프-주황	charm003
23	CHARM_023_NAME	금장 스카프-하늘	charm003
24	CHARM_024_NAME	인도하는 결정-심록	charm004
25	CHARM_025_NAME	인도하는 결정-신록	charm004
26	CHARM_026_NAME	인도하는 결정-태양	charm004
27	CHARM_027_NAME	인도하는 결정-어스름	charm004
28	CHARM_028_NAME	인도하는 결정-앵화	charm004
29	CHARM_029_NAME	인도하는 결정-창공	charm004
30	CHARM_030_NAME	인도하는 결정-독기	charm004
31	CHARM_031_NAME	인도하는 결정-청류	charm004
32	CHARM_032_NAME	인도하는 결정-홍련	charm004
33	CHARM_033_NAME	인도하는 결정-먹구름	charm004
34	CHARM_034_NAME	인도하는 결정-빙하	charm004
35	CHARM_035_NAME	인도하는 결정-자주	charm004
36	CHARM_036_NAME	인도하는 별【삼림】	charm001
37	CHARM_037_NAME	인도하는 별【황야】	charm001
38	CHARM_038_NAME	인도하는 별【육산호】	charm001
39	CHARM_039_NAME	인도하는 별【독기】	charm001
40	CHARM_040_NAME	인도하는 별【용암】	charm001
41	CHARM_041_NAME	인도하는 별【빙설】	charm001
42	CHARM_042_NAME	역전 사냥꾼의 증표-동	charm005
43	CHARM_043_NAME	역전 사냥꾼의 증표-은	charm005
44	CHARM_044_NAME	역전 사냥꾼의 증표-금	charm005
45	CHARM_045_NAME	패자의 증표-다이아몬드	charm005
46	CHARM_046_NAME	패자의 증표-루비	charm005
47	CHARM_047_NAME	패자의 증표-에메랄드	charm005
48	CHARM_048_NAME	패자의 증표-앰버	charm005
49	CHARM_049_NAME	패자의 증표-사파이어	charm005
50	CHARM_050_NAME	패자의 증표-토파즈	charm005
51	CHARM_051_NAME	패자의 증표-자수정	charm005
52	CHARM_052_NAME	패자의 증표-골드 레드	charm005
53	CHARM_053_NAME	패자의 증표-골드 블루	charm005
54	CHARM_054_NAME	패자의 증표-브론즈	charm005
55	CHARM_055_NAME	패자의 증표-아이스 블루	charm005
56	CHARM_056_NAME	패자의 증표-바이올렛	charm005
57	CHARM_057_NAME	패자의 증표-옵시디언	charm005
58	CHARM_058_NAME	패자의 증표-레우스 레드	charm005
59	CHARM_059_NAME	패자의 증표-레이아 그린	charm005
60	CHARM_060_NAME	패자의 증표-레이아 로즈	charm005
61	CHARM_061_NAME	활짝 핀 부케	charm006
62	DUMMY000000	Unavailable	charm001
63	DUMMY000001	Unavailable	charm001
64	CHARM_064_NAME	만복의 호랑이-주홍	charm009
65	CHARM_065_NAME	대감사 은장식-하늘	charm010
66	CHARM_066_NAME	강자의 손톱 장식【금사자】	charm011
67	CHARM_067_NAME	호걸의 뿔 장식【금사자】	charm012
68	CHARM_068_NAME	강자의 손톱 장식【옥랑룡】	charm013
69	CHARM_069_NAME	강자의 손톱 장식【명적룡】	charm014
70	CHARM_070_NAME	호걸의 휘석【쇄룡】	charm015
71	DUMMY000002	Unavailable	charm001
72	CHARM_072_NAME	용자의 손톱 장식【금화룡】	charm017
73	CHARM_073_NAME	용자의 손톱 장식【은화룡】	charm018
74	DUMMY000003	Unavailable	charm001
75	DUMMY000004	Unavailable	charm001
76	DUMMY000005	Unavailable	charm001
77	DUMMY000006	Unavailable	charm001
78	DUMMY000007	Unavailable	charm001
79	DUMMY000008	Unavailable	charm001
80	DUMMY000009	Unavailable	charm001
81	DUMMY000010	Unavailable	charm001
82	CHARM_082_NAME	역전왕의 휘석【명룡】	charm027
83	DUMMY000011	Unavailable	charm001
84	DUMMY000012	Unavailable	charm001
85	DUMMY000013	Unavailable	charm001
86	CHARM_086_NAME	HARDUMMY	charm031
87	CHARM_087_NAME	HARDUMMY	charm032
88	CHARM_088_NAME	R.P.D.	charm033
89	CHARM_089_NAME	엄브렐러	charm034
90	CHARM_090_NAME	부적모그이【행운】	charm035
91	CHARM_091_NAME	부적모그이【건강】	charm036
92	CHARM_092_NAME	부적모그이【안전】	charm037
93	CHARM_093_NAME	부적모그이【연애】	charm038
94	CHARM_094_NAME	부적모그이【액막이】	charm039
95	CHARM_095_NAME	부적모그이【정열】	charm040
96	CHARM_096_NAME	부적모그이【평온】	charm041
97	CHARM_097_NAME	아이루 테디	charm042
98	CHARM_098_NAME	HARDUMMY	charm044
99	CHARM_099_NAME	HARDUMMY	charm045
100	CHARM_100_NAME	HARDUMMY	charm043
101	CHARM_101_NAME	활짝 핀 부케-핑크	charm006
102	CHARM_102_NAME	활짝 핀 부케-오렌지	charm006
103	CHARM_103_NAME	활짝 핀 부케-레드	charm006
104	CHARM_104_NAME	활짝 핀 부케-블루	charm006
105	DUMMY000014	Unavailable	charm001
