Quest ID	Quest Name	Quest Target	Fail Condition
00000	Unavailable	Unavailable	Unavailable
00001	Unavailable	Unavailable	Unavailable
00002	Unavailable	Unavailable	Unavailable
00003	Invalid Message	Invalid Message	Invalid Message
00004	Invalid Message	Invalid Message	Invalid Message
00005	Invalid Message	Invalid Message	Invalid Message
00101	쟈그라스와 고대수의 숲	쟈그라스 7마리 토벌	제한 시간 종료3번 힘이 다한다
00102	케스토돈은 불온과 함께	임무 달성	제한 시간 종료3번 힘이 다한다
00103	도스쟈그라스를 사냥하라	도스쟈그라스 사냥	제한 시간 종료3번 힘이 다한다
00151	돌격 케스토돈!	케스토돈 12마리 토벌	제한 시간 종료3번 힘이 다한다
00152	숲의 불량배들	쟈그라스 7마리 토벌	제한 시간 종료3번 힘이 다한다
00153	고대수의 숲에서 버섯 사냥	특산 줄무늬버섯 20개 납품	제한 시간 종료3번 힘이 다한다
00201	캠프 설치에 목숨을 걸어라	쿠루루야크 사냥	제한 시간 종료3번 힘이 다한다
00205	긴급 임무: 푸케푸케 사냥	푸케푸케 사냥	제한 시간 종료3번 힘이 다한다
00241	클러치 클로를 잘 사용하라!	클러치 클로 사용 방법의 습득	제한 시간 종료3번 힘이 다한다도스쟈그라스 사냥
00251	숲에서 나오는 푸드파이터	도스쟈그라스 사냥	제한 시간 종료3번 힘이 다한다
00252	쿠루루야크는 수집가?	쿠루루야크 사냥	제한 시간 종료3번 힘이 다한다
00261	포획: 소조 생태 조사	쿠루루야크 포획	제한 시간 종료3번 힘이 다한다쿠루루야크 토벌
00262	맛있는 물고기에는 어금니가 있다	가쟈우 7마리 토벌	제한 시간 종료3번 힘이 다한다
00263	황야의 벌레 퇴치	랑고스타 14마리 토벌	제한 시간 종료3번 힘이 다한다
00301	저돌적인 놈들	임무 달성	제한 시간 종료3번 힘이 다한다
00302	늪의 불온한 그림자	임무 달성	제한 시간 종료3번 힘이 다한다
00305	번개처럼 달리는 토비카가치	토비카가치 사냥	제한 시간 종료3번 힘이 다한다
00306	숲의 깡패: 안쟈나프	안쟈나프 사냥	제한 시간 종료3번 힘이 다한다
00331	특수 격투장: 독요조 편	푸케푸케 사냥	제한 시간 종료3번 힘이 다한다
00332	특수 격투장: 토사룡 편	볼보로스 사냥	제한 시간 종료3번 힘이 다한다
00333	특수 격투장: 비뢰룡 편	토비카가치 사냥	제한 시간 종료3번 힘이 다한다
00351	독요조 푸케푸케 조사	푸케푸케 사냥	제한 시간 종료3번 힘이 다한다
00352	비뢰룡이 춤추는 숲	토비카가치 사냥	제한 시간 종료3번 힘이 다한다
00361	진흙투성이 대격돌!	볼보로스 사냥	제한 시간 종료3번 힘이 다한다
00362	진흙 근처에 다가오는 쥬라토도스	쥬라토도스 사냥	제한 시간 종료3번 힘이 다한다
00363	슬슬 선인장의 계절이네요	작은구슬 선인장 20개 납품	제한 시간 종료3번 힘이 다한다
00364	나는야 황야의 운반자	초식룡의 알 2개 납품	제한 시간 종료3번 힘이 다한다
00365	포획: 토사룡 생태 조사	볼보로스 포획	제한 시간 종료3번 힘이 다한다볼보로스 토벌
00401	조라-마그다라오스 포획 작전	임무 달성	제한 시간 종료3번 힘이 다한다
