Skill ID	Skill Code	Skill Name	Skill Desc
0	DUMMY000000	Unavailable	Unavailable
1	G_PT_POISON_RESIST_SKILL_PT	독 내성	독 상태에서 받는 데미지가 줄어든다.
2	PT_PARALYSIS_RESIST_SKILL_PT	마비 내성	마비 상태의 시간을 단축한다.
3	PT_SLEEP_RESIST_SKILL_PT	수면 내성	수면 상태의 시간을 단축한다.
4	PT_STUN_RESIST_SKILL_PT	기절 내성	기절 상태의 시간을 단축한다.
5	PT_DARUMA_RESIST_SKILL_PT	진흙 내성	몬스터가 발생시킨 진창에서의 행동 제한을 감소한다.
6	PT_BOMB_RES_SKILL_PT	폭파 피해 내성	폭파 피해에 대한 내성을 얻는다.
7	PT_PT_SCAR_RES_SKILL_PT	열상 내성	열상 상태에 대한 내성을 얻는다.
8	PT_DEFDOWN_RESIST_SKILL_PT	방어력 DOWN 내성	방어력 DOWN에 대한 내성을 얻는다.
9	DUMMY000003	Unavailable	Unavailable
10	DUMMY000006	Unavailable	Unavailable
11	PT_EARPLUG_SKILL_PT	귀마개	대형 몬스터의 포효에 대한 내성을 지닌다.
12	PT_HUUATU_SKILL_PT	풍압 내성	풍압에 대한 내성을 얻는다.
13	PT_EATHQUAKE_RESIST_SKILL_PT	내진	지면 진동에 대한 내성을 얻는다.
14	PT_UNKO_SKILL_PT	거름 명인	슬링어 거름탄을 맞힌 몬스터는도망칠 확률이 높아진다.
15	DUMMY000009	Unavailable	Unavailable
16	PT_MIASMA_ADAPT_SKILL_PT	독기 환경 적응	독기의 골짜기의 환경 데미지를 감소하고무효화한다.
17	PT_ADAPT_SKILL_PT	열 데미지 무효	더위나 열에 의한 데미지를무효화한다.
18	DUMMY000012	Unavailable	Unavailable
19	PT_ATK_SKILL_PT	공격	플레이어의 공격력을 올린다.레벨이 오르면 회심률에도 영향을 준다.
20	PT_DEF_SKILL_PT	방어	플레이어의 방어력을 올린다.레벨이 오르면 내성치에도 영향을 준다.
21	PT_VIT_SKILL_PT	체력 증강	플레이어의 체력을 올린다.
22	PT_HEEL_SKILL_PT	체력 회복량 UP	체력 회복이 발생했을 때회복량이 오른다.
23	PT_HEEL_SPEED_SKILL_PT	회복 속도	데미지를 받았을 때붉은 게이지 부분의회복 속도가 상승한다.
24	PT_FIRE_RESIST_SKILL_PT	불 내성	플레이어의 불 내성을 올린다.레벨이 오르면 방어력에도영향을 준다.
25	PT_WATER_RESIST_SKILL_PT	물 내성	플레이어의 물 내성을 올린다.레벨이 오르면 방어력에도영향을 준다.
26	PT_ICE_RESIST_SKILL_PT	얼음 내성	플레이어의 얼음 내성을 올린다.레벨이 오르면 방어력에도영향을 준다.
27	PT_THUNDER_RESIST_SKILL_PT	번개 내성	플레이어의 번개 내성을 올린다.레벨이 오르면 방어력에도영향을 준다.
28	PT_DRAGON_RESIST_SKILL_PT	용 내성	플레이어의 용 내성을 올린다.레벨이 오르면 방어력에도영향을 준다.
29	PT_ATT_RESIST_SKILL_PT	속성 피해 내성	모든 속성 피해 상태에 대한내성을 얻는다.
30	PT_FIRE_ATK_SKILL_PT	불속성 공격 강화	불속성의 힘을 강화한다.(무기의 속성치 강화에는한계가 있습니다)
31	PT_WATER_ATK_SKILL_PT	물속성 공격 강화	물속성의 힘을 강화한다.(무기의 속성치 강화에는한계가 있습니다)
32	PT_ICE_ATK_SKILL_PT	얼음속성 공격 강화	얼음속성의 힘을 강화한다.(무기의 속성치 강화에는한계가 있습니다)
33	PT_THUNDER_ATK_SKILL_PT	번개속성 공격 강화	번개속성의 힘을 강화한다.(무기의 속성치 강화에는한계가 있습니다)
34	PT_DRAGON_ATK_SKILL_PT	용속성 공격 강화	용속성의 힘을 강화한다.(무기의 속성치 강화에는한계가 있습니다)
35	PT_POISON_ATK_SKILL_PT	독속성 강화	독의 축적치를 강화한다.(무기의 속성치 강화에는한계가 있습니다)
36	PT_PARALYSIS_ATK_SKILL_PT	마비속성 강화	마비의 축적치가 강화한다.(무기의 속성치 강화에는한계가 있습니다)
37	PT_SLEEP_ATK_SKILL_PT	수면속성 강화	수면의 축적치를 강화한다.(무기의 속성치 강화에는한계가 있습니다)
38	PT_BLAST_ATK_SKILL_PT	폭파속성 강화	폭파의 축적치가 강화한다.(무기의 속성치 강화에는한계가 있습니다)
39	PT_NORMAL_UP_SKILL_PT	통상탄/통상화살 강화	보우건의 통상탄 또는활의 통상화살 공격력이 오른다.
40	PT_PIERCE_UP_SKILL_PT	관통탄/용화살 강화	보우건의 관통탄 또는활의 용화살 공격력이 오른다.
41	PT_SPREAD_UP_G_SKILL_PT	산탄/강사 강화	보우건의 산탄 또는 활의 강사,용의 천천시의 공격력이 오른다.
42	PT_ADD_POISONBIN_SKILL_PT	독병 추가	활 장비 중, 독병을 장착할 수 있게 한다.
43	PT_ADD_PARALYSISBIN_SKILL_PT	마비병 추가	활 장비 중, 마비병을장착할 수 있게 한다.
44	PT_ADD_SLEEPBIN_SKILL_PT	수면병 추가	활 장비 중, 수면병을장착할 수 있게 한다.
45	DUMMY000015	Unavailable	Unavailable
46	PT_ADD_BOMBBIN_SKILL_PT	폭파병 추가	활 장비 중, 폭파병을장착할 수 있게 한다.
47	PT_AWAKE_SKILL_PT	속성해방/장전 확장	무기의 숨은 속성을 해제한다.보우건의 장전 수가 늘어난다.(장전 수에는 한계가 있습니다)
