Stage ID	Stage Name
ST101	고대수의 숲
ST102	개밋둑의 황야
ST103	육산호의 대지
ST104	독기의 골짜기
ST105	용결정의 땅
ST106	대협곡
ST107	대협곡
ST201	특수 격투장
ST202	격투장
ST301	조사 거점
ST302	집회구역
ST303	연구기지
ST304	×컷신의 배
ST401	×화산룡전2
ST402	
ST403	지맥 회랑
ST404	
ST405	지맥이 모이는 땅
ST406	???
ST409	지맥의 황금향
ST501	2등급 마이하우스
ST502	1등급 마이하우스
ST503	특등급 마이하우스
ST504	훈련구역
ST505	다섯 용의 방
ST301_1	조사 거점 아스테라
ST108	바다 건너 극한지
ST305	세리에나
ST305s	전선거점
ST109	인도하는 땅
ST411	무기 보관소
ST412	기원의 외딴 섬
ST302s	조사 거점의 집회구역
ST306s	전선거점의 집회구역
ST301m	조사 거점 아스테라
ST305m	전선거점 세리에나
ST506	조사 거점의 마이하우스
ST302_S	집회구역
ST415	깊숙한 골짜기
ST416	깊숙한 골짜기
ST417	슈레이드성
ST203	무기 보관소
