Weapon Type ID	Weapon Type	Weapon ID	Weapon Name	Rare	Model Type	Main Model Path	Sub Model Path
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	11	버스터소드Ⅱ	0	Combined Model	wp/two/two002	
0	GreatSword	13	버스터블레이드Ⅰ	0	Combined Model	wp/two/two002	
0	GreatSword	14	버스터블레이드Ⅱ	1	Combined Model	wp/two/two002	
0	GreatSword	15	버스터블레이드Ⅲ	2	Combined Model	wp/two/two002	
0	GreatSword	17	크롬레이저Ⅱ	3	Combined Model	wp/two/two002	
0	GreatSword	18	네르갈저지	4	Combined Model	wp/two/two002	
0	GreatSword	19	멸귀의 흉기	5	Combined Model	wp/two/two002	
0	GreatSword	21	선더블레이드Ⅱ	5	Combined Model	wp/two/two002	
0	GreatSword	22	라이트닝퍼니시Ⅰ	6	Combined Model	wp/two/two003	wp/two/parts/op_two005
0	GreatSword	24	라이트닝퍼니시Ⅲ	7	Unique Model	wp/two/two004	
0	GreatSword	26	쟈그라스블레이드Ⅱ	2	Combined Model	wp/two/two002	
0	GreatSword	28	쟈그라스해커Ⅰ	3	Combined Model	wp/two/two002	
0	GreatSword	29	쟈그라스해커Ⅱ	4	Combined Model	wp/two/two003	
0	GreatSword	31	기르오스블레이드Ⅰ	5	Combined Model	wp/two/two003	
0	GreatSword	32	기르오스블레이드Ⅱ	5	Combined Model	wp/two/two003	
0	GreatSword	33	마라드하디드Ⅰ	3	Combined Model	wp/two/two002	
0	GreatSword	35	마라드하디드Ⅲ	4	Combined Model	wp/two/two002	
0	GreatSword	36	라바블레이즈Ⅰ	5	Combined Model	wp/two/two001	
0	GreatSword	38	블룸블레이드Ⅰ	5	Combined Model	wp/two/two001	
0	GreatSword	39	블룸블레이드Ⅱ	1	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	41	다추라블레이즈Ⅰ	2	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	42	다추라블레이즈Ⅱ	3	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	43	다추라블레이즈Ⅲ	4	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	45	플레임블레이드Ⅱ	5	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	46	레드윙	5	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	47	블루윙	2	Combined Model	wp/two/two002	wp/two/parts/op_two006
0	GreatSword	49	본블레이드Ⅰ	3	Combined Model	wp/two/two002	wp/two/parts/op_two006
0	GreatSword	50	본블레이드Ⅱ	4	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	52	본슬래셔Ⅰ	5	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	53	본슬래셔Ⅱ	5	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	54	본슬래셔Ⅲ	5	Combined Model	wp/two/two001	wp/two/parts/op_two009
0	GreatSword	56	그레이트아기토Ⅱ	6	Combined Model	wp/two/two001	wp/two/parts/op_two009
0	GreatSword	57	하자크라키스	1	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	59	플람엘헤레브	2	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	60	플람엘헤레브+	3	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	61	만악대검플람엘헤레브	4	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	63	아쿠아슬래셔Ⅱ	5	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	64	아쿠아슬래셔Ⅲ	5	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	65	워터골렘Ⅰ	3	Combined Model	wp/two/two002	wp/two/parts/op_two001
0	GreatSword	67	워터골렘Ⅲ	4	Combined Model	wp/two/two002	wp/two/parts/op_two001
0	GreatSword	68	드래그로버스터Ⅰ	5	Unique Model	wp/two/two003	
0	GreatSword	70	드래그로버스터Ⅲ	6	Unique Model	wp/two/two008	
0	GreatSword	72	볼보슈레더Ⅱ	7	Unique Model	wp/two/two008	
0	GreatSword	73	볼보슈레더Ⅲ	0	Combined Model	wp/two/two005	
0	GreatSword	75	스파이크블레이드Ⅱ	0	Combined Model	wp/two/two005	
0	GreatSword	76	괴검라도바르크Ⅰ	1	Combined Model	wp/two/two005	
0	GreatSword	77	괴검라도바르크Ⅱ	2	Combined Model	wp/two/two005	
0	GreatSword	79	용골대검Ⅰ	3	Combined Model	wp/two/two005	
0	GreatSword	80	용골대검Ⅱ	4	Combined Model	wp/two/two005	
0	GreatSword	81	용골대검Ⅲ	5	Combined Model	wp/two/two006	
0	GreatSword	83	소뢰검	5	Combined Model	wp/two/two006	
0	GreatSword	84	소뢰검【키린】	6	Combined Model	wp/two/two006	wp/two/parts/op_two008
0	GreatSword	86	흑강의대검Ⅰ	7	Unique Model	wp/two/two006	
0	GreatSword	88	강빙대검	2	Unique Model	wp/two/two005	
0	GreatSword	90	제노마리크	4	Unique Model	wp/two/two005	
0	GreatSword	91	용의아기토	6	Unique Model	wp/two/two005	
0	GreatSword	92	용의아기토【어금니】	1	Combined Model	wp/two/two005	
0	GreatSword	94	프리즈블레이드Ⅰ	2	Combined Model	wp/two/two005	
0	GreatSword	95	프리즈블레이드Ⅱ	3	Combined Model	wp/two/two005	
0	GreatSword	96	프로스트블레이즈Ⅰ	4	Combined Model	wp/two/two004	
0	GreatSword	98	마그다-포테스타스Ⅰ	5	Combined Model	wp/two/two004	
0	GreatSword	99	용열기관식【강익】+	5	Combined Model	wp/two/two004	
0	GreatSword	100	금빛 대검-물	1	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	102	금빛 대검-수면	2	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	103	금빛 대검-적	3	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	104	금빛 대검-독요	4	Combined Model	wp/two/two006	wp/two/parts/op_two004
0	GreatSword	106	금빛 대검-비적	5	Combined Model	wp/two/two006	wp/two/parts/op_two004
