Mission ID	Mission Name	Mission Desc
0	Field Research: Mining Outcrops	Mine 6 times at mining outcrops.
1	Field Research: Mining Outcrops	Mine 12 times at mining outcrops.
2	Field Research: Bonepiles	Gather 6 times at bonepiles.
3	Field Research: Bonepiles	Gather 12 times at bonepiles.
4	Field Research: Flora	Gather plants 4 times.
5	Field Research: Flora	Gather plants 7 times.
6	Field Research: Mushrooms	Gather mushrooms 4 times.
7	Field Research: Mushrooms	Gather mushrooms 7 times.
8	Field Research: Entomology	Gather insects 3 times.
9	Field Research: Entomology	Gather insects 5 times.
10	Field Research: Honey	Gather honey 3 times.
11	Field Research: Honey	Gather honey 5 times.
12	Ecology Survey: Large Monster Hunt	Hunt 2 large monsters.
13	Ecology Survey: Large Monster Hunt	Hunt 1 large monster.
14	Ecology Survey: Large Monster Capture	Capture 1 large monster.
15	Ecology Survey: Small Monster Culling	Slay 8 small monsters.
16	Ecology Survey: Small Monster Culling	Slay 16 small monsters.
17	Research Progress: Ancient Forest	Complete 2 quests in the Ancient Forest.
18	Research Progress: Ancient Forest	Complete 3 quests in the Ancient Forest.
19	Research Progress: Wildspire Waste	Complete 2 quests in the Wildspire Waste.
20	Research Progress: Wildspire Waste	Complete 3 quests in the Wildspire Waste.
21	Field Research: Mining Outcrops	Mine 9 times at mining outcrops.
22	Field Research: Mining Outcrops	Mine 15 times at mining outcrops.
23	Field Research: Bonepiles	Gather 9 times at bonepiles.
24	Field Research: Bonepiles	Gather 15 times at bonepiles.
25	Field Research: Flora	Gather plants 5 times.
26	Field Research: Flora	Gather plants 8 times.
27	Field Research: Mushrooms	Gather mushrooms 5 times.
28	Field Research: Mushrooms	Gather mushrooms 8 times.
29	Field Research: Entomology	Gather insects 4 times.
30	Field Research: Entomology	Gather insects 7 times.
31	Field Research: Honey	Gather honey 4 times.
32	Field Research: Honey	Gather honey 7 times.
33	Ecology Survey: Large Monster Hunt	Hunt 3 large monsters.
34	Ecology Survey: Large Monster Hunt	Hunt 2 large monsters.
35	Ecology Survey: Large Monster Capture	Capture 2 large monsters.
36	Ecology Survey: Large Monster Capture	Capture 1 large monster.
37	Ecology Survey: Small Monster Culling	Slay 10 small monsters.
38	Ecology Survey: Small Monster Culling	Slay 20 small monsters.
39	Ecology Survey: Fanged Wyvern Hunt	Hunt 2 large fanged wyverns.
40	Ecology Survey: Fanged Wyvern Capture	Capture 1 large fanged wyvern.
41	Ecology Survey: Bird Wyvern Hunt	Hunt 2 large bird wyverns.
42	Ecology Survey: Bird Wyvern Capture	Capture 1 large bird wyvern.
43	Ecology Survey: Brute Wyvern Hunt	Hunt 2 large brute wyverns.
