EC ID	EC SubID	Item ID	EC Name
0	0	-1	Unavailable
1	0	659	Zając pasterski
1	1	660	Zając pilot
2	0	661	Leśny pteryx
2	1	662	Kniejowy pteryx
3	0	663	Kobaltowa trzepotówka
3	1	664	Fantomowa trzepotówka
4	0	665	Wspinacz radosny
5	0	666	Gekon leśny
5	1	667	Gekon dzikowieski
5	2	668	Gekon mroczny
5	3	669	Gekon księżycowy
6	0	670	Vaporonid
6	1	671	Scavantula
7	0	672	Paskusęp
7	1	673	Szczęściodziób
7	2	1792	Skałodziób
8	0	674	Mucha omenówka
8	1	675	Mucha pogodynka
9	0	676	Nietoperz łuskowy
9	1	945	Złoty nietoperz łuskowy
10	0	677	Gnojak
10	1	678	Bombożuk
10	2	1793	Żuk szronowy
11	0	679	Różowy parexus
11	1	680	Wielki różowy parexus
12	0	681	Wybucharowana
12	1	682	Bombarowana
12	2	683	Wielka wybucharowana
12	3	684	Wielka bombarowana
13	0	685	Elegancki ptak koralowy
13	1	686	Szykowny ptak koralowy
14	0	687	Dyndacz
15	0	688	Derkacz puchaty
15	1	689	Derkacz szczeciniasty
16	0	690	Hopgupik
17	0	691	Petrykant
18	0	692	Pararopucha
18	1	693	Snoropucha
18	2	694	Nitroropucha
19	0	695	Pełzacz
19	1	696	Królowa pełzaczy
20	0	697	Wigorosa
20	1	698	Ogromna wigorosa
21	0	699	Meduzos latający
22	0	700	Mrówka tragarz
23	0	701	Herkudrom
23	1	702	Herkudrom złocisty
23	2	703	Herkudrom pryzmatyczny
24	0	704	Skoczek cesarski
24	1	705	Skoczek tyrani
25	0	706	Mucha błyskówka
26	0	-1	羽虫
27	0	-1	ハエ
28	0	-1	ハチ
29	0	-1	蛍
30	0	707	Płaszczkolot dziadek
31	0	708	Hełmokrab żelazny
31	1	709	Hełmokrab żołnierz
31	2	710	Hełmokrab szmaragdowy
31	3	946	Hełmokrab złoty
31	4	947	Hełmokrab złoty lśniący
32	1	-1	苦蟲
32	2	-1	光蟲
32	3	-1	不死蟲
32	4	-1	雷光蟲
32	5	-1	佳餚蟲
33	0	711	Ostrzalnik
33	1	712	Wielki ostrzalnik
34	0	713	Tuńczyk gastronom
34	1	714	Wielki tuńczyk gastronom
35	0	715	Marlin królewski
35	1	716	Wielki marlin królewski
36	0	-1	楔虫
37	0	717	Złota rybka
37	1	718	Platynowa rybka
37	2	719	Wielka złota rybka
37	3	720	Wielka platynowa rybka
38	0	721	Złotopłotka
38	1	722	Wielka złotopłotka
39	0	723	Ryba sushi
39	1	724	Wielka ryba sushi
40	0	725	Ryba prochowa
40	1	726	Wielka ryba prochowa
41	0	948	Miedziana kalapa
41	1	949	Złota kalapa
42	0	950	Tsuchinoko
43	0	968	Kaktuar
43	1	951	Sadzonka kaktuara
43	2	967	Kwitnąca sadzonka kaktuara
44	0	958	Nekker
50	0	1455	Perłowy makak
50	1	1456	Złoty makak
51	0	1458	Koronowana krewetka
52	0	1459	Ślimak księżycowy
53	0	1460	Pingwin bajowy
54	0	1461	Gekon grotogłowy
55	0	1462	Błękitna diwa
56	0	1463	Morska grzebieniówka
57	0	1464	Szklany parexus
57	1	1473	Wielki szklany parexus
58	0	1465	Pokrzywa zimowa
59	0	1466	Kretek
59	1	1467	Kretek mszysty
59	2	1468	Kretek skalisty
59	3	1469	Kretek puszysty
59	4	1470	Kretek kolczasty
59	5	1471	Kretek niesforny
59	6	1472	Kretek mrozowy
