Delivery ID	Delivery Name	Delivery Reward
0	Pielęgnowanie prastarego drzewa	Katalizator
1	Rośnijcie, roślinki, rośnijcie	Meganawóz
2	Góra grzybów	Substrat z wyborowych grzybów
3	Łowca robali	Gęste mleczko przywołujące
4	Drzewa korcem nie mierzą	Pradawny katalizator
5	Kojące ziemiste łoże	Miękka gleba
6	Przechowywanie zbiorów	Ulepszenie skrzynki na zbiory
7	Twój własny magazyn	Ulepszenie skrzynki na zbiory
8	Obóz: Starodrzew I	Obóz północno-zachodni (8)
9	Obóz: Starodrzew II	Obóz w Starodrzewie (17)
10	Obóz: Pustkowie Dzikowieży I	Obóz centralny (6)
11	Obóz: Dzikowieża II	Obóz wschodni
12	Obóz: Dzikowieża II	Obóz północno-wschodni (15)
13	Obóz: Pogórze Koralowe	Obóz północno-wschodni (12)
14	Obóz: Zacisze Starszych I	Obóz wschodni (8)
15	Obóz: Zacisze Starszych II	Obóz północno-zachodni (16)
16	Skrót do szczęścia	Wyciąg linowy
17	Zbrojownia: ochrona przed wodą	Opończa wodoodporna
18	Zbrojownia: ochrona przed mrozem	Opończa lodoodporna
19	Grzyby: śmierdzący skarb natury	Trufla królewska
20	Rybna uczta	Skrzele Gajau
21	Królewskie krewetki	Krewetka koralowa
22	Warzywko za milion zeni	Kapusta milionowa
23	Tysiącletni krab?!	Tysiącletni krab
24	Pomidory czerwone jak magma	Tłusty pomidor
25	Odporność na soczyste mięso	Soczysty zad
26	Odporność na pieczeń z kością	Wspaniała baranina
27	Prastare, ale świeże!	Pradawna dorada
28	Warzywny mistrz kamuflażu	Aromaseler
29	Fantasmagoryczna papryka!	Papryka pryzmatyczna
30	Toast mistrza	Mistrzowskie piwo
31	Zionące ogniem piwo	Rathawhiskey
32	Bardzo pomocne	Siekany stek
