Food Code	Food Name	Food Desc
MEAT_00_ID	Udo wiwerny	Mięso pomagające aktywować umiejętność Odwagi.Zbyt długie gotowanie uczyniło je żylastym.
MEAT_01_ID	Stek z łaty wiwerny	Mięso pomagające aktywować umiejętności Odwagi.Najlepsze podawane w cienkich plastrach i pieczonena węglu drzewnym.
MEAT_02_ID	Jajo wiwerny	Mięso pomagające aktywować umiejętności Odwagi.Cenny łup z gniazda wiwerny.
MEAT_03_ID	Ogon wiwerny	Mięso pomagające aktywować umiejętności Odwagi.Ogon wiwerny latającej. Warto go choć raz spróbować.
MEAT_04_ID	Głowa wiwerny	Mięso pomagające aktywować umiejętności Odwagi.Podstawa wykwintnej kuchni, czasem pojawia sięteż na uroczystych ucztach.
MEAT_05_ID	Filet z wiwerny	Mięso pomagające aktywować umiejętności Odwagi.Najwyżej ceniona część mięsa wiwerny.
MEAT_06_ID	Twarde mięso	Mięso pomagające aktywować umiejętności Odporności.Przegryzienie się przez to żylaste mięsowzmacnia szczękę.
MEAT_07_ID	Kolczaste mięso	Mięso pomagające aktywować umiejętności Odporności.Ze względu na wciąż tkwiące w nim kolczaste łuskiwymaga ostrożnego, powolnego jedzenia.
MEAT_08_ID	Mięso na bogato	Mięso pomagające aktywować umiejętności Odporności.Stosunkowo droga, ale czasami trzeba zrobićsobie przyjemność.
MEAT_09_ID	Mięso ze stali	Mięso pomagające aktywować umiejętności Odporności.Można połamać na nim zęby, ale warto zaryzykowaćze względu na zawarte w nim białka i witaminy.
MEAT_10_ID	Dzika kura	Mięso pomagające aktywować umiejętności Odporności.Smakuje najlepiej, kiedy kroi się go brutalnymicięciami i wpycha do ust bez opamiętania.
MEAT_11_ID	Marynowane carpaccio	Mięso pomagające aktywować umiejętności Odporności.To surowe mięso, zanurzone w tajemnej marynacie,dosłownie ocieka smakiem.
MEAT_12_ID	Mięso Aptonotha	Mięso pomagające aktywować umiejętności Wigoru.Podstawa żywienia łowcy, wykorzystywanaw różnych potrawach mięsnych.
MEAT_13_ID	Pieczony Apceros	Mięso pomagające aktywować umiejętności Wigoru.Przysmak żarłocznych łowców, niemal zawszepodawany w ogromnych porcjach.
MEAT_14_ID	Siekany stek	Mięso pomagające aktywować umiejętności Wigoru.Mięso stosunkowo dobrej jakości, siekanena niewielkie kawałeczki.
MEAT_15_ID	Wielka polędwica	Mięso pomagające aktywować umiejętności Wigoru.Piękny plaster smacznego i sycącego mięsa apnototha.
MEAT_16_ID	Burger wielki gryz	Mięso pomagające aktywować umiejętności Wigoru.Burger przygotowany jak należy: niemal zbytwielki, by zmieścił się w ustach.
MEAT_17_ID	Gigastek	Mięso pomagające aktywować umiejętności Wigoru.Poprzerastany tłuszczem stek tak pyszny, że trudnoprzestać jeść, nawet gdy się już nasycisz.
MEAT_18_ID	Biała wątróbka	Mięso pomagające aktywować umiejętności Bystrości.Przysmak rozpływający się w ustach.
