Insect ID	Insect Code	Insect Name	Model
0	ROD_INSECT_000_NAME	Trutniobójca I	mus001
1	ROD_INSECT_001_NAME	Trutniobójca II	mus001
2	ROD_INSECT_002_NAME	Trutniobójca III	mus001
3	ROD_INSECT_003_NAME	Alucanid I	mus003
4	ROD_INSECT_004_NAME	Alucanid II	mus003
5	ROD_INSECT_005_NAME	Alucanid III	mus003
6	ROD_INSECT_006_NAME	Alucanid królewski I	mus004
7	ROD_INSECT_007_NAME	Alucanid królewski II	mus004
8	ROD_INSECT_008_NAME	Alucanid królewski III	mus004
9	ROD_INSECT_009_NAME	Cesarzyk I	mus005
10	ROD_INSECT_010_NAME	Cesarzyk II	mus005
11	ROD_INSECT_011_NAME	Cesarzyk III	mus005
12	ROD_INSECT_012_NAME	Twardoból I	mus006
13	ROD_INSECT_013_NAME	Twardoból II	mus006
14	ROD_INSECT_014_NAME	Twardoból III	mus006
15	ROD_INSECT_015_NAME	Puchotwór I	mus007
16	ROD_INSECT_016_NAME	Puchotwór II	mus007
17	ROD_INSECT_017_NAME	Puchotwór III	mus007
18	ROD_INSECT_018_NAME	Dłubogruz I	mus008
19	ROD_INSECT_019_NAME	Dłubogruz II	mus008
20	ROD_INSECT_020_NAME	Dłubogruz III	mus008
21	ROD_INSECT_021_NAME	Wiaterciął I	mus009
22	ROD_INSECT_022_NAME	Wiaterciął II	mus009
23	ROD_INSECT_023_NAME	Wiaterciął III	mus009
24	ROD_INSECT_024_NAME	Wielkatarz I	mus010
25	ROD_INSECT_025_NAME	Wielkatarz II	mus010
26	ROD_INSECT_026_NAME	Wielkatarz III	mus010
27	ROD_INSECT_027_NAME	Pseudokat I	mus011
28	ROD_INSECT_028_NAME	Pseudokat II	mus011
29	ROD_INSECT_029_NAME	Pseudokat III	mus011
30	ROD_INSECT_030_NAME	Kaleczowad I	mus012
31	ROD_INSECT_031_NAME	Kaleczowad II	mus012
32	ROD_INSECT_032_NAME	Kaleczowad III	mus012
33	ROD_INSECT_033_NAME	Wrogożuk I	mus014
34	ROD_INSECT_034_NAME	Wrogożuk II	mus014
35	ROD_INSECT_035_NAME	Wrogożuk III	mus014
36	ROD_INSECT_036_NAME	Żuk jatkowy I	mus015
37	ROD_INSECT_037_NAME	Żuk jatkowy II	mus015
38	ROD_INSECT_038_NAME	Żuk jatkowy III	mus015
39	ROD_INSECT_039_NAME	Czepecznik I	mus016
40	ROD_INSECT_040_NAME	Czepecznik II	mus016
41	ROD_INSECT_041_NAME	Czepecznik III	mus016
42	ROD_INSECT_042_NAME	Celonka I	mus017
43	ROD_INSECT_043_NAME	Celonka II	mus017
44	ROD_INSECT_044_NAME	Celonka III	mus017
45	ROD_INSECT_045_NAME	Pawężyca I	mus018
46	ROD_INSECT_046_NAME	Pawężyca II	mus018
47	ROD_INSECT_047_NAME	Pawężyca III	mus018
48	ROD_INSECT_048_NAME	Arczyca I	mus019
49	ROD_INSECT_049_NAME	Arczyca II	mus019
50	ROD_INSECT_050_NAME	Arczyca III	mus019
51	ROD_INSECT_051_NAME	Oszukanka I	mus020
52	ROD_INSECT_052_NAME	Oszukanka II	mus020
53	ROD_INSECT_053_NAME	Oszukanka III	mus020
54	ROD_INSECT_054_NAME	Całunówka I	mus021
55	ROD_INSECT_055_NAME	Całunówka II	mus021
56	ROD_INSECT_056_NAME	Całunówka III	mus021
57	ROD_INSECT_057_NAME	Szeptosa I	mus022
58	ROD_INSECT_058_NAME	Szeptosa II	mus022
59	ROD_INSECT_059_NAME	Szeptosa III	mus022
60	ROD_INSECT_190_NAME	Smocza dusza	mus023
61	ROD_INSECT_191_NAME	Prawdziwa smocza dusza	mus023
62	ROD_INSECT_060_NAME	Vezirstag I Velox	mus024
63	ROD_INSECT_061_NAME	Vezirstag II Velox	mus024
64	ROD_INSECT_062_NAME	Vezirstag III Velox	mus024
65	ROD_INSECT_063_NAME	Vezirstag I Forz	mus024
66	ROD_INSECT_064_NAME	Vezirstag II Forz	mus024
67	ROD_INSECT_065_NAME	Vezirstag III Forz	mus024
68	ROD_INSECT_066_NAME	Bilbobrix I Velox	mus025
69	ROD_INSECT_067_NAME	Bilbobrix II Velox	mus025
70	ROD_INSECT_068_NAME	Bilbobrix III Velox	mus025
71	ROD_INSECT_069_NAME	Bilbobrix I Forz	mus025
72	ROD_INSECT_070_NAME	Bilbobrix II Forz	mus025
73	ROD_INSECT_071_NAME	Bilbobrix III Forz	mus025
74	ROD_INSECT_072_NAME	Foliacath I Medis	mus026
75	ROD_INSECT_073_NAME	Foliacath II Medis	mus026
76	ROD_INSECT_074_NAME	Foliacath III Medis	mus026
77	ROD_INSECT_075_NAME	Foliacath I Forz	mus026
78	ROD_INSECT_076_NAME	Foliacath II Forz	mus026
79	ROD_INSECT_077_NAME	Foliacath III Forz	mus026
80	ROD_INSECT_078_NAME	Elscarad I	mus002
81	ROD_INSECT_079_NAME	Elscarad II	mus002
82	ROD_INSECT_080_NAME	Elscarad III	mus002
83	ROD_INSECT_081_NAME	Światłowiec I Velox	mus027
84	ROD_INSECT_082_NAME	Światłowiec II Velox	mus027
85	ROD_INSECT_083_NAME	Światłowiec III Velox	mus027
86	ROD_INSECT_084_NAME	Światłowiec I Medis	mus027
87	ROD_INSECT_085_NAME	Światłowiec II Medis	mus027
88	ROD_INSECT_086_NAME	Światłowiec III Medis	mus027
89	ROD_INSECT_087_NAME	Wieżyca I Forz	mus028
90	ROD_INSECT_088_NAME	Wieżyca II Forz	mus028
91	ROD_INSECT_089_NAME	Wieżyca III Forz	mus028
92	ROD_INSECT_090_NAME	Wieżyca I Velox	mus028
93	ROD_INSECT_091_NAME	Wieżyca II Velox	mus028
94	ROD_INSECT_092_NAME	Wieżyca III Velox	mus028
95	ROD_INSECT_093_NAME	Odważnik I Forz	mus029
96	ROD_INSECT_094_NAME	Odważnik II Forz	mus029
97	ROD_INSECT_095_NAME	Odważnik III Forz	mus029
98	ROD_INSECT_096_NAME	Odważnik I Medis	mus029
99	ROD_INSECT_097_NAME	Odważnik II Medis	mus029
100	ROD_INSECT_098_NAME	Odważnik III Medis	mus029
101	ROD_INSECT_099_NAME	Arginesse I	mus013
102	ROD_INSECT_100_NAME	Arginesse II	mus013
103	ROD_INSECT_101_NAME	Arginesse III	mus013
104	ROD_INSECT_192_NAME	Smocza dusza nexus	mus023
