Item ID	Item Name	Item Type	Rare	Item Desc
0	--------	Material	0	Unavailable
1	Mikstura	Item	0	Przywraca niewielką ilość zdrowia.
2	Megamikstura	Item	1	Przywraca średnią ilość zdrowia.
3	Maksmikstura	Item	2	W pełni przywraca zdrowiei zwiększa do maksimum długośćpaska zdrowia.
4	Pradawna mikstura	Item	4	W pełni przywraca zdrowiei zwiększa do maksimum długośćpasków zdrowia i wytrzymałości.
5	Antidotum	Item	0	Odtrutka na truciznę.
6	Lek ziołowy	Item	1	Usuwa z organizmu wszystkie śladytrucizny i przywraca niewielkąilość zdrowia.
7	Oczystka	Item	1	Tajemnicza jagoda, która leczyróżne plagi.
8	Napój energetyczny	Item	1	Zatwierdzony przez Gildię napójzwiększający wytrzymałość.Pomaga też nie zasnąć!
9	Prowiant	Item	0	Żywność przywracającanieco wytrzymałości.
10	Krwisty stek	Item	0	W średnim stopniu zwiększawytrzymałość. Ten jest wciążkrwisty w środku.
11	Dobrze wysmażony stek	Item	1	W średnim stopniu zwiększa wytrzym.i dłużej utrzymuje ją na maks.poziomie. Tak się przyrządza mięso!
12	Spalone mięso	Item	0	W niewielkim stopniu zwiększawytrzymałość. Można je szybko zjeść.
13	Chłodny napój	Item	0	Daje chwilową ulgęod wysokiej temperatury.
14	Substancje odżywcze	Item	1	W bardzo małym stopniu zwiększająmaksymalny poziom zdrowia.
15	Megasubstancje odżywcze	Item	2	W małym stopniu zwiększająmaksymalny poziom zdrowia.
16	Immunizator	Item	2	Zwiększa naturalnązdolność zdrowienia.
17	Suszone mięso z Astery	Item	1	Soczyste mięso suszone przez szefakuchni z Astery. Wzmaga naturalneleczenie, zatrzymuje krwawienie.
18	Zrywny sok	Item	1	Tłumi poczucie wyczerpania.Na pewien czas zmniejszaspadek wytrzymałości.
19	Megazrywny sok	Material	3	Pozwala robić zrywy bez zmęczeniadłużej niż zwykły zrywny sok.
20	Ziarno mocy	Item	1	Po spożyciu chwilowo wzmacnia atakiusprawniając przepływ energii.
21	Pigułka demona	Item	3	Zwiększa moc ataków, przepełniająccię - a jakże - siłą demona.
22	Megapigułka demona	Item	4	Zwiększa moc ataków jeszczebardziej niż zwykła pigułka demona.
23	Pigułka mocy	Item	3	Chwilowo daje siłę potężnego boga.Co za moc!
24	Adamantowe ziarno	Item	1	Po spożyciu chwilowo wzmacniaobronę utwardzając tkanki.
25	Pancerna skóra	Item	3	Wzmacnia obronę nadając skórzetwardość kamienia.
26	Megapancerna skóra	Item	4	Wzmacnia obronę jeszcze bardziejniż zwykła pancerna skóra.
27	Adamantowa pigułka	Item	3	Chwilowo nadaje skórze twardośćkamienia. Co za moc!
28	Proszek życia	Item	3	Wytwarza uzdrawiającą chmuręw okolicy wokół użytkownika.
29	Proszek ziołowy	Item	3	Tajemniczy proszek wytwarzającyw danym miejscu chmurę, którauzdrawia i neutralizuje truciznę.
30	Proszek demona	Item	3	Tajemniczy proszek wytwarzającyw danym miejscu chmurę, którachwilowo wzmacnia ataki.
31	Proszek skorupowy	Item	3	Tajemniczy proszek wytwarzającyw danym miejscu chmurę, którachwilowo wzmacnia obronę.
32	Miód	Item	1	Bardzo pożywny miód. W połączeniu zmiksturami daje megamiksturyo maksymalnej mocy.
33	Zioło	Item	0	Główny składnik mikstur.
34	Zioło odtruwające	Item	0	Główny składnik antidotów.
35	Zioło ogniste	Item	1	Wspaniała łatwopalna roślina.Służy do wyrobu materiałówwybuchowych.
36	Paproć wodna	Item	0	Liście tej rośliny zawierają dużowody. Składnik amunicji wodnej.
37	Zioło śnieżne	Item	1	Z rośliny wydobywa się lodowatepowietrze. Wraz z innymi składnikamitworzy amunicję zamrażającą.
