Deco ID	Item ID	Deco Name	Slot Size
0	727	Klejnot antidotum 1	1
1	728	Klejnot antyparaliżu 1	1
2	729	Klejnot rozbudzenia 1	1
3	730	Klejnot niezłomności 1	1
4	731	Klejnot antywybuchowy 1	1
5	732	Klejnot szwów 1	1
6	733	Klejnot trwałej obrony 1	1
7	734	Klejnot zatyczek 3	3
8	735	Klejnot wiatroodporności 2	2
9	736	Klejnot równowagi 2	2
10	739	Klejnot ataku 1	1
11	740	Klejnot obrony 1	1
12	741	Klejnot żywotności 1	1
13	742	Klejnot regeneracji 1	1
14	743	Klejnot ognioodporności 1	1
15	744	Klejnot wodoodporności 1	1
16	745	Klejnot lodoodporności 1	1
17	746	Klejnot gromoodporności 1	1
18	747	Klejnot smokoodporności 1	1
19	748	Klejnot plagoodporności 1	1
20	749	Klejnot pożogi 1	1
21	750	Klejnot strumienia 1	1
22	751	Klejnot mrozu 1	1
23	752	Klejnot gromu 1	1
24	753	Klejnot smoka 1	1
25	754	Klejnot jadu 1	1
26	755	Klejnot paraliżu 1	1
27	756	Klejnot snu 1	1
28	757	Klejnot wybuchu 1	1
29	758	Klejnot trującej powłoki 3	3
30	759	Klejnot powłoki paraliżu 3	3
31	760	Klejnot powłoki snu 3	3
32	761	Klejnot powłoki wybuchu 3	3
33	763	Klejnot wyładowania 3	3
34	764	Klejnot eksperta 1	1
35	765	Klejnot krytyczny 2	2
36	766	Klejnot zmiękczający 2	2
37	767	Klejnot ładujący 2	2
38	768	Klejnot rękodzieła 3	3
39	769	Klejnot dobycia broni 2	2
40	770	Klejnot niszczyciela 2	2
41	771	Klejnot nokautu 2	2
42	772	Klejnot wyssania 1	1
43	774	Klejnot lotu 2	2
44	775	Klejnot przyśpieszenia 2	2
45	776	Klejnot prowokatora 2	2
46	777	Klejnot perfekcji 2	2
47	778	Klejnot potencjału 2	2
48	779	Klejnot hartu 1	1
49	780	Klejnot poruszenia 2	2
50	781	Klejnot dźwięku 1	1
51	782	Klejnot magazynka 2	2
52	783	Klejnot celnego strzału 1	1
53	784	Klejnot artylerii 1	1
54	785	Klejnot ciężkiej artylerii 1	1
55	786	Klejnot sprintera 2	2
56	787	Klejnot sylwetki 2	2
57	789	Klejnot orzeźwienia 2	2
58	790	Klejnot niegłodnego 1	1
59	791	Klejnot uniku 2	2
60	792	Klejnot skoków 2	2
61	793	Klejnot żelaznego muru 1	1
62	794	Klejnot futerału 1	1
63	795	Klejnot przyjaźni 1	1
64	796	Klejnot wytrwałości 1	1
65	797	Klejnot nasycenia 1	1
66	798	Klejnot żarłoka 1	1
67	799	Klejnot ostrzenia 1	1
68	800	Klejnot bombowy 1	1
69	801	Grzybny klejnot 1	1
70	808	Klejnot ochrony 1	1
71	809	Klejnot miaustrza 1	1
72	810	Klejnot botaniki 1	1
73	811	Klejnot geologii 1	1
74	812	Klejnot mocy 2	2
75	813	Klejnot ciskacza kamieni 1	1
76	814	Klejnot skradania 1	1
77	815	Klejnot gotowości 3	3
78	819	Klejnot dymu 1	1
79	820	Klejnot bagnołaza 1	1
80	824	Klejnot okazu 1	1
81	826	Klejnot zapachu 1	1
82	828	Klejnot zastraszacza 1	1
83	832	Klejnot ślizgacza 2	2
84	833	Klejnot medycyny 1	1
85	834	Klejnot silnego strzału 3	3
86	835	Klejnot przebicia 3	3
87	836	Klejnot rozrzutu 3	3
88	837	Klejnot wydłużacza 2	2
89	838	Klejnot kryzysu 1	1
90	839	Klejnot smoczej pieczęci 3	3
91	842	Klejnot konserwacji 1	1
92	874	Klejnot potężnego łuku 2	2
93	875	Klejnot oka umysłu 2	2
94	876	Klejnot tarczy 2	2
95	877	Ostry klejnot 2	2
96	878	Bezżywiołowy klejnot 2	2
97	825	Klejnot miazmatów 1	1
98	1968	Klejnot feniksa 3	3
99	1969	Klejnot strażnika 2	2
100	1970	Klejnot chłodzący 2	2
101	1971	Klejnot ognioodporności+ 4	4
102	1972	Klejnot wodoodporności+ 4	4
103	1973	Klejnot lodoodporności+ 4	4
104	1974	Klejnot gromoodporności+ 4	4
105	1975	Klejnot smokoodporności+ 4	4
