Mission ID	Mission Name	Mission Desc
0	Badania polowe: złoża górnicze	Zdobądź surowce z 6 złóż górniczych.
1	Badania polowe: złoża górnicze	Zdobądź surowce z 12 złóż górniczych.
2	Badania polowe: sterty kości	Zdobądź surowce z 6 stert kości.
3	Badania polowe: sterty kości	Zdobądź surowce z 12 stert kości.
4	Badania polowe: flora	Zbierz 4 rośliny.
5	Badania polowe: flora	Zbierz 7 roślin.
6	Badania polowe: grzyby	Zbierz 4 grzyby.
7	Badania polowe: grzyby	Zbierz 7 grzybów.
8	Badania polowe: entomologia	Zbierz 3 owady.
9	Badania polowe: entomologia	Zbierz 5 owadów.
10	Badania polowe: miód	Zbierz miód 3 razy.
11	Badania polowe: miód	Zbierz miód 5 razy.
12	Patrol: łowy na duże potwory	Upoluj 2 duże potwory.
13	Patrol: łowy na duże potwory	Upoluj 1 dużego potwora.
14	Patrol: łapka na duże potwory	Złap 1 dużego potwora.
15	Patrol: małe potwory	Zabij 8 małych potworów.
16	Patrol: małe potwory	Zabij 16 małych potworów.
17	Rekonesans: Starodrzew	Ukończ 2 zadania w Starodrzewie.
18	Rekonesans: Starodrzew	Ukończ 3 zadania w Starodrzewie.
19	Rekonesans: Dzikowieża	Ukończ 2 zadania na Pustkowiu Dzikowieży.
20	Rekonesans: Dzikowieża	Ukończ 3 zadania na Pustkowiu Dzikowieży.
21	Badania polowe: złoża górnicze	Zdobądź surowce z 9 złóż górniczych.
22	Badania polowe: złoża górnicze	Zdobądź surowce z 15 złóż górniczych.
23	Badania polowe: sterty kości	Zdobądź surowce z 9 stert kości.
24	Badania polowe: sterty kości	Zdobądź surowce z 15 stert kości.
25	Badania polowe: flora	Zbierz 5 roślin.
26	Badania polowe: flora	Zbierz 8 roślin.
27	Badania polowe: grzyby	Zbierz 5 grzybów.
28	Badania polowe: grzyby	Zbierz 8 grzybów.
29	Badania polowe: entomologia	Zbierz 4 owady.
30	Badania polowe: entomologia	Zbierz 7 owadów.
31	Badania polowe: miód	Zbierz miód 4 razy.
32	Badania polowe: miód	Zbierz miód 7 razy.
33	Patrol: łowy na duże potwory	Upoluj 3 duże potwory.
34	Patrol: łowy na duże potwory	Upoluj 2 duże potwory.
35	Patrol: łapka na duże potwory	Złap 2 duże potwory.
36	Patrol: łapka na duże potwory	Złap 1 dużego potwora.
37	Patrol: małe potwory	Zabij 10 małych potworów.
38	Patrol: małe potwory	Zabij 20 małych potworów.
39	Patrol: łowy na wiwerny kłowe	Upoluj 2 duże wiwerny kłowe.
40	Patrol: łapka na wiwerny kłowe	Złap 1 dużą wiwernę kłową.
41	Patrol: łowy na wiwerny ptasie	Upoluj 2 duże wiwerny ptasie.
42	Patrol: łapka na wiwerny ptasie	Złap 1 dużą wiwernę ptasią.
43	Patrol: łowy na wiwerny zwaliste	Upoluj 2 duże wiwerny zwaliste.
44	Patrol: łapka na wiw. zwaliste	Złap 1 dużą wiwernę zwalistą.
45	Patrol: łowy na wiwerny latające	Upoluj 2 duże wiwerny latające.
46	Patrol: łapka na wiw. latające	Złap 1 dużą wiwernę latającą.
47	Rekonesans: Starodrzew	Ukończ 2 zadania w Starodrzewie.
48	Rekonesans: Starodrzew	Ukończ 3 zadania w Starodrzewie.
