Equip Type ID	Equip Type	Equip ID	Equip Name	File Path
0	Helmet	1	Fel. czapka skórzana	otomo/equip/ot001/helm
0	Helmet	28	Feliński kościany hełm	otomo/equip/ot028/helm
0	Helmet	29	Feliński hełm ze stopu	otomo/equip/ot029/helm
0	Helmet	2	Feliński hełm z Jagrasa	otomo/equip/ot002/helm
0	Helmet	3	Feliński turban z Kulu	otomo/equip/ot003/helm
0	Helmet	4	Feliński kaptur z Pukei	otomo/equip/ot004/helm
0	Helmet	5	Feliński hełm z Barrotha	otomo/equip/ot005/helm
0	Helmet	6	Feliński hełm z Jyura	otomo/equip/ot006/helm
0	Helmet	7	Fel. kaptur z Kadachi	otomo/equip/ot007/helm
0	Helmet	8	Feliński hełm z Anja	otomo/equip/ot008/helm
0	Helmet	11	Fel. kapelusz z Lumu	otomo/equip/ot011/helm
0	Helmet	9	Feliński hełm z Rathiany	otomo/equip/ot009/helm
0	Helmet	13	Fel. hełm z Radobaana	otomo/equip/ot013/helm
0	Helmet	30	Fel. czapka-biedronka	otomo/equip/ot030/helm
0	Helmet	12	Feliński hełm z Legiany	otomo/equip/ot012/helm
0	Helmet	14	Fel. hełm z Odogarona	otomo/equip/ot014/helm
0	Helmet	16	Fel. hełm z Rathalosa	otomo/equip/ot016/helm
0	Helmet	17	Feliński hełm z Diablosa	otomo/equip/ot017/helm
0	Helmet	18	Feliński róg Kirina	otomo/equip/ot018/helm
0	Helmet	27	Fel. kaptur śmierci	otomo/equip/ot027/helm
0	Helmet	32	Fel. czapka skórzana<ICON ALPHA>	otomo/equip/ot001/helm
0	Helmet	33	Feliński kościany hełm<ICON ALPHA>	otomo/equip/ot028/helm
0	Helmet	34	Feliński hełm ze stopu<ICON ALPHA>	otomo/equip/ot029/helm
0	Helmet	35	Fel. hełm z Jagrasa<ICON ALPHA>	otomo/equip/ot002/helm
0	Helmet	36	Feliński turban z Kulu<ICON ALPHA>	otomo/equip/ot003/helm
0	Helmet	37	Fel. kaptur z Pukei<ICON ALPHA>	otomo/equip/ot004/helm
0	Helmet	38	Fel. hełm z Barrotha<ICON ALPHA>	otomo/equip/ot005/helm
0	Helmet	39	Feliński hełm z Jyura<ICON ALPHA>	otomo/equip/ot006/helm
0	Helmet	40	Fel. kaptur z Kadachi<ICON ALPHA>	otomo/equip/ot007/helm
0	Helmet	19	Felińska korona Zoraha<ICON ALPHA>	otomo/equip/ot019/helm
0	Helmet	41	Feliński hełm z Anja<ICON ALPHA>	otomo/equip/ot008/helm
0	Helmet	42	Fel. kapelusz z Lumu<ICON ALPHA>	otomo/equip/ot011/helm
0	Helmet	43	Fel. hełm z Rathiany<ICON ALPHA>	otomo/equip/ot009/helm
0	Helmet	44	Fel. hełm z Radobaana<ICON ALPHA>	otomo/equip/ot013/helm
0	Helmet	45	Fel. czapka-biedronka<ICON ALPHA>	otomo/equip/ot030/helm
0	Helmet	46	Fel. hełm z Legiany<ICON ALPHA>	otomo/equip/ot012/helm
0	Helmet	47	Fel. hełm z Odogarona<ICON ALPHA>	otomo/equip/ot014/helm
0	Helmet	48	Fel. hełm z Rathalosa<ICON ALPHA>	otomo/equip/ot016/helm
0	Helmet	49	Fel. hełm z Diablosa<ICON ALPHA>	otomo/equip/ot017/helm
0	Helmet	50	Feliński róg Kirina<ICON ALPHA>	otomo/equip/ot018/helm
0	Helmet	20	Fel. hełm z Lavasiotha<ICON ALPHA>	otomo/equip/ot020/helm
0	Helmet	21	Fel. hełm z Uragaana<ICON ALPHA>	otomo/equip/ot021/helm
0	Helmet	26	Feliński hełm z Bazela<ICON ALPHA>	otomo/equip/ot026/helm
0	Helmet	51	Fel. kaptur śmierci<ICON ALPHA>	otomo/equip/ot027/helm
0	Helmet	52	Fel. maska Gajalaków<ICON ALPHA>	otomo/equip/ot031/helm
0	Helmet	10	Fel. hełm z Nergiganta<ICON ALPHA>	otomo/equip/ot010/helm
0	Helmet	15	Felińska czaszka Vaala<ICON ALPHA>	otomo/equip/ot015/helm
0	Helmet	22	Fel. korona monarchy<ICON ALPHA>	otomo/equip/ot022/helm
0	Helmet	23	Fel. warknięcie Daory<ICON ALPHA>	otomo/equip/ot023/helm
0	Helmet	24	Feliński Xenowelon<ICON ALPHA>	otomo/equip/ot024/helm
0	Helmet	25	Głowa nekkera<ICON ALPHA>	otomo/equip/ot073/helm
0	Helmet	100	Fel. czapka skórzana	otomo/equip/ot000/helm
0	Helmet	101	Fel. motyli kapelusz	otomo/equip/ot040/helm
0	Helmet	102	Fel. kapelusz aloha	otomo/equip/ot041/helm
0	Helmet	103	Fel. maska miauoleenowa	otomo/equip/ot042/helm
0	Helmet	104	Fel. śnieżna czapa	otomo/equip/ot043/helm
0	Helmet	105	Fel. czapa gwiazdy	otomo/equip/ot044/helm
0	Helmet	55	Fel. futro Kulve<ICON ALPHA>	otomo/equip/ot025/helm
0	Helmet	56	F. hełm Vangis<ICON ALPHA>	otomo/equip/ot033/helm
0	Helmet	57	Fel. czepiec Elizy<ICON ALPHA>	otomo/equip/ot034/helm
