Quest ID	Quest Name	Quest Target	Fail Condition
00000	Unavailable	Unavailable	Unavailable
00001	Unavailable	Unavailable	Unavailable
00002	Unavailable	Unavailable	Unavailable
00003	Invalid Message	Invalid Message	Invalid Message
00004	Invalid Message	Invalid Message	Invalid Message
00005	Invalid Message	Invalid Message	Invalid Message
00101	Jagras ze Starodrzewu	Zabij 7 Jagrasów	Koniec czasuTrzykrotne zemdlenie
00102	Kestodonowa awantura	Ukończ zlecenie	Koniec czasuTrzykrotne zemdlenie
00103	Polowanie na Wielkiego Jagrasa	Upoluj Wielkiego Jagrasa	Koniec czasuTrzykrotne zemdlenie
00151	Chwytanie natury za rogi	Zabij 12 Kestodonów	Koniec czasuTrzykrotne zemdlenie
00152	Gęstwina bandytów	Zabij 7 Jagrasów	Koniec czasuTrzykrotne zemdlenie
00153	Grzybne harce w Starodrzewie	Dostarcz 20grzybków przepysznych	Koniec czasuTrzykrotne zemdlenie
00201	Bandyta o ptasim móżdżku	Upoluj Kulu-Ya-Ku	Koniec czasuTrzykrotne zemdlenie
00205	Pilne: łowy na Pukei-Pukei	Upoluj Pukei-Pukei	Koniec czasuTrzykrotne zemdlenie
00241	Nauka chwytu	Dowiedz się, jak działa pazurchwytny	Koniec czasuTrzykrotne zemdlenieUpolowanie Wielkiego Jagrasa
00251	Wielki żarłok	Upoluj Wielkiego Jagrasa	Koniec czasuTrzykrotne zemdlenie
00252	Wizyta w obozie	Upoluj Kulu-Ya-Ku	Koniec czasuTrzykrotne zemdlenie
00261	Dorwać porywacza	Złap Kulu-Ya-Ku	Koniec czasuTrzykrotne zemdlenieŚmierć Kulu-Ya-Ku
00262	Bez pracy nie ma masy	Zabij 7 Gajau	Koniec czasuTrzykrotne zemdlenie
00263	Tępiciel z pustkowia	Zabij 14 Vespoidów	Koniec czasuTrzykrotne zemdlenie
00301	Zadanie najlepszego sortu	Ukończ zlecenie	Koniec czasuTrzykrotne zemdlenie
00302	Złowrogi cień na bagnach	Ukończ zlecenie	Koniec czasuTrzykrotne zemdlenie
00305	Sypie iskrami: Tobi-Kadachi	Upoluj Tobi-Kadachi	Koniec czasuTrzykrotne zemdlenie
00306	Nadejście Anjanatha	Upoluj Anjanatha	Koniec czasuTrzykrotne zemdlenie
00331	Specjalna Arena: Pukei-Pukei	Upoluj Pukei-Pukei	Koniec czasuTrzykrotne zemdlenie
00332	Specjalna Arena: Barroth	Upoluj Barrotha	Koniec czasuTrzykrotne zemdlenie
00333	Specjalna Arena: Tobi-Kadachi	Upoluj Tobi-Kadachi	Koniec czasuTrzykrotne zemdlenie
00351	Niedobór trzaskorzechów	Upoluj Pukei-Pukei	Koniec czasuTrzykrotne zemdlenie
00352	Obecna sytuacja	Upoluj Tobi-Kadachi	Koniec czasuTrzykrotne zemdlenie
00361	Grząska sprawa przy wieży	Upoluj Barrotha	Koniec czasuTrzykrotne zemdlenie
00362	Kłopoty z rybami	Upoluj Jyuratodusa	Koniec czasuTrzykrotne zemdlenie
00363	Kłujący problem	Dostarcz 20kaktusów błyskotkowych	Koniec czasuTrzykrotne zemdlenie
