Skill ID	Skill Code	Skill Name	Skill Desc
0	DUMMY000000	Unavailable	Unavailable
1	G_PT_POISON_RESIST_SKILL_PT	Odporność na Truciznę	Zmniejsza obrażenia od trucizny.
2	PT_PARALYSIS_RESIST_SKILL_PT	Odporność na Paraliż	Zmniejsza czas trwania paraliżu.
3	PT_SLEEP_RESIST_SKILL_PT	Odporność na Uśpienie	Zmniejsza czas trwania uśpienia.
4	PT_STUN_RESIST_SKILL_PT	Odporność na Ogłuszenie	Zmniejsza czas trwania ogłuszenia.
5	PT_DARUMA_RESIST_SKILL_PT	Odporność na Wydzieliny	Zmniejsza ograniczenia związane zmobilnością, kiedy poruszasz się wwydzielinach potwora.
6	PT_BOMB_RES_SKILL_PT	Odporność na Wybuch	Zapewnia ochronę przed wybuchoplagą.
7	PT_PT_SCAR_RES_SKILL_PT	Odporność na Krwawienie	Zapewnia ochronę przed krwawieniem.
8	PT_DEFDOWN_RESIST_SKILL_PT	Żelazna Skóra	Zapewnia ochronę przed SpadkiemObrony.
9	DUMMY000003	Unavailable	Unavailable
10	DUMMY000006	Unavailable	Unavailable
11	PT_EARPLUG_SKILL_PT	Zatyczki do Uszu	Zapewnia ochronę przed rykiemdużych potworów.
12	PT_HUUATU_SKILL_PT	Wiatrochron	Zapewnia ochronę przed naporemwiatru.
13	PT_EATHQUAKE_RESIST_SKILL_PT	Odporność na Wstrząsy	Zapewnia ochronę przedwstrząsami ziemi.
14	PT_UNKO_SKILL_PT	Gnojomistrz	Sprawia, że potwory trafione z procygnojem częściej uciekają.
15	DUMMY000009	Unavailable	Unavailable
16	PT_MIASMA_ADAPT_SKILL_PT	Ekspert Wydzielinowy	Neutralizuje lub zmniejsza obrażeniazadawane przez otoczenie w DolinieWydzielin.
17	PT_ADAPT_SKILL_PT	Ochrona Termiczna	Neutralizuje obrażenia od wysokiejtemperatury.
18	DUMMY000012	Unavailable	Unavailable
19	PT_ATK_SKILL_PT	Wzmocnienie Ataku	Zwiększa siłę ataku. Poprawia teżzgodność na wyższych poziomach.
20	PT_DEF_SKILL_PT	Wzmocnienie Obrony	Zwiększa obronę.Na wyższych poziomach wzmacnia teżodporności.
21	PT_VIT_SKILL_PT	Wzmocnienie Zdrowia	Zwiększa zdrowie.
22	PT_HEEL_SKILL_PT	Wzrost Regeneracji	Zwiększa liczbę punktów uzupełnianychpodczas regeneracji zdrowia.
23	PT_HEEL_SPEED_SKILL_PT	Szybkość Regeneracji	Przyspiesza regenerację odzyskiwalnegozdrowia (czerwona część paska zdrowia).
24	PT_FIRE_RESIST_SKILL_PT	Odporność na Ogień	Zwiększa odporność na ogień. Poprawiateż obronę na wyższych poziomach.
25	PT_WATER_RESIST_SKILL_PT	Odporność na Wodę	Zwiększa odporność na wodę. Poprawiateż obronę na wyższych poziomach.
26	PT_ICE_RESIST_SKILL_PT	Odporność na Lód	Zwiększa odporność na lód. Poprawiateż obronę na wyższych poziomach.
27	PT_THUNDER_RESIST_SKILL_PT	Odporność na Pioruny	Zwiększa odporność na pioruny. Poprawiateż obronę na wyższych poziomach.
28	PT_DRAGON_RESIST_SKILL_PT	Odporność na Smoki	Zwiększa odporność na smoki. Poprawiateż obronę na wyższych poziomach.
29	PT_ATT_RESIST_SKILL_PT	Odporność na Plagę	Zapewnia ochronę przed wszystkimiplagami żywiołów.
30	PT_FIRE_ATK_SKILL_PT	Atak Ogniem	Zwiększa moc ataku żywiołu ognia.(Moc ataku żywiołu ma ograniczenie).
31	PT_WATER_ATK_SKILL_PT	Atak Wodą	Zwiększa moc ataku żywiołu wody.(Moc ataku żywiołu ma ograniczenie).
32	PT_ICE_ATK_SKILL_PT	Atak Lodem	Zwiększa moc ataku żywiołu lodu.(Moc ataku żywiołu ma ograniczenie).
33	PT_THUNDER_ATK_SKILL_PT	Atak Piorunem	Zwiększa moc ataku żywiołu pioruna.(Moc ataku żywiołu ma ograniczenie).
34	PT_DRAGON_ATK_SKILL_PT	Smoczy Atak	Zwiększa moc ataku żywiołu smoka.(Moc ataku żywiołu ma ograniczenie).
35	PT_POISON_ATK_SKILL_PT	Atak Trucizną	Zwiększa tempo akumulacji trucizny.(Akumulacja żywiołu ma ograniczenie).
36	PT_PARALYSIS_ATK_SKILL_PT	Atak Paraliżem	Zwiększa tempo akumulacji paraliżu.(Akumulacja żywiołu ma ograniczenie).
37	PT_SLEEP_ATK_SKILL_PT	Atak Uśpieniem	Zwiększa tempo akumulacji snu.(Akumulacja żywiołu ma ograniczenie).
38	PT_BLAST_ATK_SKILL_PT	Atak Wybuchem	Zwiększa tempo akumulacji wybuchu.(Akumulacja żywiołu ma ograniczenie).
39	PT_NORMAL_UP_SKILL_PT	Normalne Strzały	Zwiększa siłę ataku normalnej amunicjii strzał.
40	PT_PIERCE_UP_SKILL_PT	Przebijające strzały	Zwiększa siłę ataku amunicji przebija-jącej i przebijacza smoków.
41	PT_SPREAD_UP_G_SKILL_PT	Strzały Mocy/Rozrzutowe	Zwiększa siłę ataku amunicjirozrzutowej, strzału mocyi tysiąca smoków.
42	PT_ADD_POISONBIN_SKILL_PT	Funkcja Trucizny	Pozwala nakładać trujące powłoki.
43	PT_ADD_PARALYSISBIN_SKILL_PT	Funkcja Paraliżu	Pozwala nakładać paraliżujące powłoki.
44	PT_ADD_SLEEPBIN_SKILL_PT	Funkcja Uśpienia	Pozwala nakładać usypiające powłoki.
45	DUMMY000015	Unavailable	Unavailable
46	PT_ADD_BOMBBIN_SKILL_PT	Funkcja Wybuchu	Pozwala nakładać powłoki wybuchu.
47	PT_AWAKE_SKILL_PT	Wolny żywioł/Amunicja	Odblokowuje ukryty żywioł twojej bronii zwiększa pojemność magazynkałukodziałka.(Magazynek posiada limit).
48	PT_CRI_SKILL_PT	Krytyczne Oko	Zwiększa zgodność.
49	PT_SUPER_CRI_SKILL_PT	Wzmocnienie Krytyków	Zwiększa obrażenia trafień krytycznych.
50	PT_WEAK_ATK_SKILL_PT	Wykorzystanie Słabości	Zwiększa zgodność ataków, którewykorzystują słaby punkt potwora.
51	DUMMY000018	Unavailable	Unavailable
52	PT_CONCENTRATION_SKILL_PT	Skupienie	Jeśli twoja broń posiada pasek, wypełniasię on szybciej. Jeśli pozwala ładowaćataki, proces ten ulega przyspieszeniu.
53	PT_KEEP_SKILL_PT	Przedłużenie Mocy	Długie miecze, bliźniacze ostrza,owadzie glewie, topory sprężynowe iładowane ostrza są wzmacniane na dłużej.
54	PT_TAKUMI_SKILL_PT	Rękodzieło	Wydłuża pasek ostrości broni.Maksymalny poziom ostrości nie możejednak zostać przekroczony.
55	PT_BATTO_WAZA_SKILL_PT	Dobycie Krytyczne	Zwiększa zgodność przy wyprowadzaniuataków z dobyciem.
56	PT_CRUSH_SKILL_PT	Rozłamywacz	Ułatwia łamanie i odcinanie części ciaładużych potworów.
57	PT_KO_SKILL_PT	Powalacz	Ułatwia oszałamianie potworów.
58	PT_STAMINA_DMG_SKILL_PT	Kradzież Wytrzymałości	Zwiększa skuteczność pewnych ataków wzakresie doprowadzania potworów dowyczerpania.
59	PT_NORI_SKILL_PT	Mistrz Dosiadania	Ułatwia dosiadanie potworów.
60	PT_HIEN_SKILL_PT	Wzlot	Zwiększa obrażenia zadawane przez atakiz wyskoku.
61	PT_POWER_AWAKE_SKILL_PT	Uśpiona Moc	Tymczasowo zwiększa zgodność i zmniejszaspadek wytrzymałości po spełnieniuokreślonych warunków.
62	PT_CHALLENGER_SKILL_PT	Podżegacz	Zwiększa siłę ataku i zgodność, kiedyduże potwory wpadają w szał.
63	PT_FULL_CHARGE_SKILL_PT	Szczyt Możliwości	Wzmacnia atak, kiedy masz pełne zdrowie.
64	PT_KAZIBA_SKILL_PT	Wyczyny	Zwiększa siłę ataku i obronę, kiedyzdrowie spada do 35% lub poniżej.
65	PT_HUKUTU_G_SKILL_PT	Wzmocnienie	Chwilowo zwiększa twój atak i obronę,gdy zemdlejesz,maksymalnie 2 razy.
66	PT_SAKAURAMI_SKILL_PT	Uraza	Wzmacnia atak, gdy stracisz odzyskiwalnezdrowie (czerwona część paskazdrowia).
67	PT_KATSU_SKILL_PT	Ożywienie	Ulepsza uniki i zmniejsza spadekwytrzymałości, kiedy działają naciebie szkodliwe efekty.
68	PT_HUE_SKILL_PT	Wirtuoz Rogu	Zwiększa czas trwania efektów melodiizagranych na rogu łowieckim.
69	PT_LOAD_UP_SKILL_PT	Zwiększenie Pojemności	Zwiększa pojemność magazynka lancopału ipojemność fiolki ładowanego ostrza.
70	PT_EXBULLET_UP_G_SKILL_PT	Moc Amunicji Specjalnej	Zwiększa moc specjalnej amunicjido łukodziałka, tysiąca smokówi przebijacza smoków.
71	PT_CANNON_SKILL_PT	Artyleria	Wzmacnia ataki wybuchowe, takie jakostrzał z lancopału, ogień wiwerny, atakład. ostrzem z fiolką i am. przylepna.
72	PT_GUNNER_SKILL_PT	Ciężka Artyleria	Zwiększa siłę ognia balist i dział.
73	PT_RUNNER_SKILL_PT	Maratończyk	Spowalnia spadek wytrzymałości, jeślitwoja akcja wyczerpuje ją przez jakiśczas (jak na przykład zrywy).
74	PT_GYM_SKILL_PT	Tężyzna	Zmniejsza spadek wytrzymałości podczaswykonywania manewrów, które jąwyczerpują, takich jak uniki itd.
75	PT_JUMP_SKILL_PT	Skok Wiary	Pozwala ci unikać ataków dużych potworówza pomocą wykonywanych w ich stronęskoków.
76	PT_STAMINA_SPEED_SKILL_PT	Przypływ Wytrzymałości	Przyspiesza regenerację wytrzymałości.
