Stage ID	Stage Name
ST101	Starodrzew
ST102	Pustkowie Dzikowieży
ST103	Pogórze Koralowe
ST104	Gnijąca Dolina
ST105	Zacisze Starszych
ST106	Wielki Wąwóz
ST107	Wielki Wąwóz
ST201	Specjalna Arena
ST202	Arena
ST301	Astera
ST302	Centrum Zgromadzeń
ST303	Baza Badawcza
ST304	
ST401	
ST402	
ST403	Wieczny Strumień
ST404	
ST405	Konfluencja Losów
ST406	???
ST409	Jaskinie El Dorado
ST501	Kwatera mieszkalna
ST502	Kwatery prywatne
ST503	Prywatny apartament
ST504	Obszar treningowy
ST505	Komnata Pięciu
ST301_1	Astera
ST108	Szronisty Brzeg
ST305	Seliana
ST305s	Seliana
ST109	Ziemie Przewodnie
ST411	Zaopatrzenie Seliany
ST412	Wyspa Początku
ST302s	Centrum Zgromadzeń w Asterze
ST306s	Centrum Zgromadzeń w Selianie
ST301m	Astera
ST305m	Seliana
ST506	Dom w Selianie
ST302_S	Centrum Zgromadzeń
ST415	Ustronna Dolina
ST416	Ustronna Dolina
ST417	Zamek Schrade
ST203	Zaopatrzenie Seliany
