Weapon Type ID	Weapon Type	Weapon ID	Weapon Name	Rare	Model Type	Main Model Path	Sub Model Path
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/bs_two002	
0	GreatSword	1	Unavailable	0	Combined Model	wp/two/bs_two002	
0	GreatSword	2	Unavailable	0	Combined Model	wp/two/bs_two002	
0	GreatSword	3	Unavailable	0	Combined Model	wp/two/bs_two002	
0	GreatSword	4	Unavailable	0	Combined Model	wp/two/bs_two002	
0	GreatSword	5	Unavailable	0	Combined Model	wp/two/bs_two002	
0	GreatSword	6	Unavailable	0	Combined Model	wp/two/bs_two002	
0	GreatSword	10	Miecz pogromcy I	0	Combined Model	wp/two/bs_two002	
0	GreatSword	11	Miecz pogromcy II	0	Combined Model	wp/two/bs_two002	
0	GreatSword	12	Miecz pogromcy III	1	Combined Model	wp/two/bs_two002	
0	GreatSword	13	Ostrze pogromcy I	2	Combined Model	wp/two/bs_two002	
0	GreatSword	14	Ostrze pogromcy II	3	Combined Model	wp/two/bs_two002	
0	GreatSword	15	Ostrze pogromcy III	4	Combined Model	wp/two/bs_two002	
0	GreatSword	16	Chromowa brzytwa I	5	Combined Model	wp/two/bs_two002	
0	GreatSword	17	Chromowa brzytwa II	5	Combined Model	wp/two/bs_two002	
0	GreatSword	18	Nergalny Sędzia	6	Combined Model	wp/two/bs_two003	wp/two/parts/op_two005
0	GreatSword	19	Zbrodnia oczyszczenia	7	Unique Model	wp/two/two004	
0	GreatSword	20	Ostrze piorunów I	2	Combined Model	wp/two/bs_two002	
0	GreatSword	21	Ostrze piorunów II	3	Combined Model	wp/two/bs_two002	
0	GreatSword	22	Ostrze błyskawic I	4	Combined Model	wp/two/bs_two003	
0	GreatSword	23	Ostrze błyskawic II	5	Combined Model	wp/two/bs_two003	
0	GreatSword	24	Ostrze błyskawic III	5	Combined Model	wp/two/bs_two003	
0	GreatSword	94	Zamrażające ostrze I	3	Combined Model	wp/two/bs_two002	
0	GreatSword	95	Zamrażające ostrze II	4	Combined Model	wp/two/bs_two002	
0	GreatSword	96	Pożoga mrozu I	5	Combined Model	wp/two/bs_two001	
0	GreatSword	97	Pożoga mrozu II	5	Combined Model	wp/two/bs_two001	
0	GreatSword	25	Ostrze Jagrasa I	1	Combined Model	wp/two/bs_two002	wp/two/parts/op_two003
0	GreatSword	26	Ostrze Jagrasa II	2	Combined Model	wp/two/bs_two002	wp/two/parts/op_two003
0	GreatSword	27	Ostrze Jagrasa III	3	Combined Model	wp/two/bs_two002	wp/two/parts/op_two003
0	GreatSword	28	Rębadło Jagrasa I	4	Combined Model	wp/two/bs_two003	wp/two/parts/op_two003
0	GreatSword	29	Rębadło Jagrasa II	5	Combined Model	wp/two/bs_two003	wp/two/parts/op_two003
0	GreatSword	30	Rębadło Jagrasa III	5	Combined Model	wp/two/bs_two003	wp/two/parts/op_two003
0	GreatSword	31	Ostrze Girrosa I	2	Combined Model	wp/two/bs_two002	wp/two/parts/op_two006
0	GreatSword	32	Ostrze Girrosa II	3	Combined Model	wp/two/bs_two002	wp/two/parts/op_two006
0	GreatSword	33	Pocałunek zarazy I	4	Combined Model	wp/two/bs_two001	wp/two/parts/op_two006
0	GreatSword	34	Pocałunek zarazy II	5	Combined Model	wp/two/bs_two001	wp/two/parts/op_two006
0	GreatSword	35	Pocałunek zarazy III	5	Combined Model	wp/two/bs_two001	wp/two/parts/op_two006
0	GreatSword	36	Pożoga lawy I	5	Combined Model	wp/two/bs_two001	wp/two/parts/op_two009
0	GreatSword	37	Pożoga lawy II	6	Combined Model	wp/two/bs_two001	wp/two/parts/op_two009
0	GreatSword	38	Kwitnące ostrze I	1	Combined Model	wp/two/bs_two002	wp/two/parts/op_two002
0	GreatSword	39	Kwitnące ostrze II	2	Combined Model	wp/two/bs_two002	wp/two/parts/op_two002
0	GreatSword	40	Kwitnące ostrze III	3	Combined Model	wp/two/bs_two002	wp/two/parts/op_two002
0	GreatSword	41	Pożoga datury I	4	Combined Model	wp/two/bs_two001	wp/two/parts/op_two002
0	GreatSword	42	Pożoga datury II	5	Combined Model	wp/two/bs_two001	wp/two/parts/op_two002
0	GreatSword	43	Pożoga datury III	5	Combined Model	wp/two/bs_two001	wp/two/parts/op_two002
0	GreatSword	44	Ostrze ognia I	3	Combined Model	wp/two/bs_two002	wp/two/parts/op_two001
0	GreatSword	45	Ostrze ognia II	4	Combined Model	wp/two/bs_two002	wp/two/parts/op_two001
0	GreatSword	46	Czerwone skrzydło	5	Unique Model	wp/two/two003	
0	GreatSword	47	Niebieskie skrzydło	6	Unique Model	wp/two/two008	
0	GreatSword	48	Alumiecz Rathalosa	7	Unique Model	wp/two/two008	
0	GreatSword	49	Kościane ostrze I	0	Combined Model	wp/two/bs_two005	
0	GreatSword	50	Kościane ostrze II	0	Combined Model	wp/two/bs_two005	
0	GreatSword	51	Kościane ostrze III	1	Combined Model	wp/two/bs_two005	
0	GreatSword	52	Kościany rozpruwacz I	2	Combined Model	wp/two/bs_two005	
0	GreatSword	53	Kościany rozpruwacz II	3	Combined Model	wp/two/bs_two005	
