Achieve ID	Achieve Name	Achieve Desc
000	Novo Mundo Conquistado	Adquira todas as medalhas.
001	Olá, Novo Mundo!	Conquiste o direito de assumirserviços de 2<ICON STAR_1>.
002	Nada Detém esta Comissão	Conquiste o direito de assumirserviços de 3<ICON STAR_1>.
003	Defesa de Astera	Conquiste o direito de assumirserviços de 4<ICON STAR_1>.
004	Explorando as Profundezas	Conquiste o direito de assumirserviços de 5<ICON STAR_1>.
005	Morte Gera Vida	Guie Zorah Magdaros com sucesso.
006	A Imperatriz dos Planaltos	Conquiste o direito de assumirserviços de 7<ICON STAR_1>.
007	Um Ficará de Pé, um Cairá	Conquiste o direito de assumirserviços de 8<ICON STAR_1>.
008	A Estrela Safira	Resolva o mistério daMigração dos Anciões.
009	Uma Vida de Caçador para Mim	Conclua 50 missões opcionais.
010	Uma Mente Curiosa	Conclua sua primeira investigação.
011	O Caçador de Elite	Conclua 50 investigações.
012	Entre na Arena	Conclua sua primeira missão de arena.
013	O Único Caminho é para Cima	Conclua 50 missões de arena.
014	Colonização do Novo Mundo	Estabeleça cinco acampamentos.
015	A Arte da Camuflagem	Fuja do grupo de Jagras escondendo-seem algum arbusto.
016	História de Pescador	Pesque seu primeiro peixe.
017	Hmm, que Saboroso!	Prepare seu primeiro bife bem passado.
018	Quanto Mais Alto...	Monte em seu primeiro monstro.
019	Um Fóssil Vivo	"Pesque ""o fóssil vivo""."
020	Fofura pra Todos	Capture uma criatura macia e fofinha.
021	Cerdas para Todos	Capture uma criatura eriçada e firme.
022	Brilho do Arco-íris	Capture uma criatura que brilhecomo um arco-íris.
023	Trabalho Comissionado	Obtenha 100.000 pontos de pesquisa.
024	Caçador Burguês	Tenha 1.000.000 de zennys.
025	Defesa Invencível	Obtenha cinco peças de armaduraextremamente raras.
026	O Poder é Tudo	Obtenha cinco armas extremamente raras.
027	Subindo na Vida	Mude para um quarto melhorado.
028	Primeiros Amigos	Faça a primeira amizade com um Atacauda.
029	Amigos do Peito	Aumente a proficiência de qualquer Itemde Amigato até o nível 10.
030	PhD em Monstros	Alcance o nível máximo de pesquisa (atéo ranque elevado) para vários monstros.
031	Fera Feroz	Cace seu primeiro monstro aguerrido.
032	Indomável	Cace 50 Monstros Aguerridos
033	Coroa em Miniatura	Registre sua primeira coroa em miniaturapara monstros que aparecem em ranquebaixo ou elevado.
