EC ID	EC SubID	Item ID	EC Name
0	0	-1	Unavailable
1	0	659	Lebre Pastoreira
1	1	660	Lebre Pilota
2	0	661	Pteryx do Bosque
2	1	662	Pteryx da Floresta
3	0	663	Brilholeta Cobalto
3	1	664	Brilholeta Fantasma
4	0	665	Perereca Escaladora
5	0	666	Gekko da Floresta
5	1	667	Gekko de Selvagulha
5	2	668	Gekko das Trevas
5	3	669	Gekko do Luar
6	0	670	Vaporanha
6	1	671	Necrântula
7	0	672	Abutral
7	1	673	Bicalegre
7	2	1792	Bicopedra
8	0	674	Moscagouro
8	1	675	Moscaugúrio
9	0	676	Morcescama
9	1	945	Morcescama Dourado
10	0	677	Besouro-esterco
10	1	678	Besouro-bomba
10	2	1793	Besouro-geada
11	0	679	Parexus Rosa
11	1	680	Grande Parexus Rosa
12	0	681	Aruanã Explosivo
12	1	682	Aruanã-bomba
12	2	683	Grande Aruanã Explosivo
12	3	684	Grande Aruanã-bomba
13	0	685	Coralve Elegante
13	1	686	Coralve Garbosa
14	0	687	Pescoso
15	0	688	Saracura Plumosa
15	1	689	Saracura Eriçada
16	0	690	Puleixe
17	0	691	Petricanos
18	0	692	Paralissapo
18	1	693	Soníssapo
18	2	694	Nitrossapo
19	0	695	Treme-treme
19	1	696	Rainha Treme-treme
20	0	697	Vigorespa
20	1	698	Vigorespa Gigante
21	0	699	Meduso Voador
22	0	700	Formiga Portadora
23	0	701	Hercúdrome
23	1	702	Hercúdrome Dourado
23	2	703	Hercúdrome Multicor
24	0	704	Grilo Imperador
24	1	705	Grilo Tirano
25	0	706	Mosclarão
26	0	-1	羽虫
27	0	-1	ハエ
28	0	-1	ハチ
29	0	-1	蛍
30	0	707	Avô Raiagrell
31	0	708	Caranguelmo de Ferro
31	1	709	Caranguelmo Soldado
31	2	710	Caranguelmo Esmeralda
31	3	946	Caranguelmo Dourado
31	4	947	Caranguelmo Dour. Bri.
32	1	-1	苦蟲
32	2	-1	光蟲
32	3	-1	不死蟲
32	4	-1	雷光蟲
32	5	-1	佳餚蟲
33	0	711	Peixe-amola
33	1	712	Grande Peixe-amola
34	0	713	Atum Gastrônome
34	1	714	Grande Atum Gastrônome
35	0	715	Marlim-rei
35	1	716	Grande Marlim-rei
36	0	-1	楔虫
37	0	717	Peixe-dourado
37	1	718	Peixe-platinado
37	2	719	Grande Peixe-dourado
37	3	720	Grande Peixe-platinado
38	0	721	Peixote-dourado
38	1	722	Grande Peixote-dourado
39	0	723	Peixushi
39	1	724	Grande Peixushi
40	0	725	Peixe-pólvora
40	1	726	Grande Peixe-pólvora
41	0	948	Calappa Acobreado
41	1	949	Calappa Dourado
42	0	950	Tsuchinoko
43	0	968	Cactuar
43	1	951	Talho de Cactuar
43	2	967	Talho de Cactuar Florido
44	0	958	Nekker
50	0	1455	Macaco-da-fonte-pérola
50	1	1456	Macaco-da-fonte-dourado
51	0	1458	Pitu Coroado
52	0	1459	Lesma Lunar
53	0	1460	Pinguim Felpudo
54	0	1461	Gekko-cabeça-de-flecha
55	0	1462	Diva Azul
56	0	1463	Cristado Lorde-do-mar
57	0	1464	Parexus Vítreo
57	1	1473	Grande Parexus Vítreo
58	0	1465	Água-viva Luninverno
59	0	1466	Toupeirinha
59	1	1467	Toupeirinha Musguenta
59	2	1468	Toupeirinha Rochosa
59	3	1469	Toupeirinha Peluda
59	4	1470	Toupeirinha Espinhenta
59	5	1471	Toupeirinha Selvagem
59	6	1472	Toupeirinha Invernal
