Delivery ID	Delivery Name	Delivery Reward
0	Germinando uma Árvore Ancestral	Catalisador
1	Vamos, Verdura, Vamos	Megafertilizante
2	Uma Cordilheira de Cogumelos	Substrato de Cogumelo Favorito
3	Flauta Mágica de Insetos	Goma do Invocador Grossa
4	Rompendo as Barreiras Vegetais	Catalisador Ancestral
5	Uma Cama Delicada de Terra	Solo Macio
6	Para Conservar a Colheita	Melhoria da Caixa de Colheita
7	Sua Solução de Armazenamento	Melhoria da Caixa de Colheita
8	Acampando: Floresta Ancestral I	Acampamento Noroeste (8)
9	Acampando: Floresta Ancestral II	Acampamento Floresta Ancestral (17)
10	Acampando: Ermo Selvagulha I	Acampamento Central (6)
11	Acampando: Ermo Selvagulha II	Acamp. do Leste
12	Acampando: Ermo Selvagulha II	Acampamento Nordeste (15)
13	Acampando: Planaltos Coralinos	Acampamento Nordeste (12)
14	Acampando: Fenda do Ancião I	Acampamento do Leste (8)
15	Acampando: Fenda do Ancião II	Acampamento Noroeste (16)
16	O Atalho para a Felicidade	Tirolesa
17	P&D de Arsenal: À Prova d'Água	Manto Antiágua
18	P&D de Arsenal: Climatização	Manto Antigelo
19	Cogumelos: Dádiva Natural Fedida	Trufa-rei
20	Um Banquete de Peixes	Guelra de Gajau
21	Camarões Cativantes	Camarão Coral
22	Vegetal de Um Milhão de Zennys	Repolho Mil-folhas
23	Um Caranguejo de Mil Anos!?	Caranguejo Milenar
24	Tomates Vermelhos como Magma	Tomate Polpudo
25	A Resistência da Carne Suculenta	Alcatra Suculenta
26	A Resistência do Assado com Osso	Carneiro Copioso
27	Ancestral, mas Fresco!	Pargo Ancestral
28	Um Vegetal Mestre do Disfarce	Aiporomático
29	Páprica Fantasmagórica	Páprica Multicor
30	Um Brinde de Mestre	Chope-mestre
31	Uma Bebida de Cuspir Fogo	Rathauísque
32	Uma Grande Ajuda	Bife em Cubinhos
