Food Code	Food Name	Food Desc
MEAT_00_ID	Sobrecoxa de Serpe	Carne que ajuda a ativar as habilidades culinárias de Coragem.Muito tempo cozinhando no ensopado a deixa muito dura.
MEAT_01_ID	Fraldinha de Serpe	Carne que ajuda a ativar as habilidades culináriasde Coragem. O melhor jeito de servir é cortarfininha e assar no carvão.
MEAT_02_ID	Ovo de Serpe	Carne que ajuda a ativar as habilidades culináriasde Coragem. O resultado precioso de roubaro ninho de uma serpe.
MEAT_03_ID	Rabo de serpe	Carne que ajuda a ativar as habilidades culináriasde Coragem. O rabo de uma serpe voadora.Vale a pena provar pelo menos uma vez.
MEAT_04_ID	Cabeça de Serpe	Carne que ajuda a ativar as habilidades culináriasde Coragem. É um item da alta gastronomiaque às vezes aparece em festas comemorativas.
MEAT_05_ID	Filé de Serpe	Carne que ajuda a ativar as habilidades culináriasde Coragem. O corte disponível mais apreciadoda carne de serpe.
MEAT_06_ID	Carne Dura	Carne que ajuda a ativar as habilidades culináriasde Resiliência. Se puder comer esta carne difícilde mastigar, ainda vai fortalecer a mandíbula.
MEAT_07_ID	Carne Espinhosa	Carne que ajuda a ativar as habilidades culináriasde Resiliência. Como há espinhos ainda nas escamas,é preciso comê-la devagar e com cuidado.
MEAT_08_ID	Carne de Lingote	Carne que ajuda a ativar as habilidades culináriasde Resiliência. Relativamente caro, mas às vezesvocê precisa se fazer um agrado.
MEAT_09_ID	Carne Endurecida	Carne que ajuda a ativar as habilidades culináriasde Resiliência. Dura o bastante para quebrar dentes,mas suas proteínas e vitaminas fazem valer a pena.
MEAT_10_ID	Galinha Selvagem	Carne que ajuda a ativar as habilidades culináriasde Resiliência. O melhor jeito de comer é cortarcom vontade e enfiar na boca sem cerimônias.
MEAT_11_ID	Carpaccio Marinado	Carne que ajuda a ativar as habilidades culináriasde Resiliência. Embebida em um molho secreto, esta carne crua derrete na boca de tão saborosa.
MEAT_12_ID	Carne Aptonote	Carne que ajuda a ativar as habilidades culináriasde Vigor. Um item na dieta de qualquer caçador,usado em uma grande variedade de pratos com carne.
MEAT_13_ID	Apceros Assado	Carne que ajuda a ativar as habilidades culináriasde Vigor. Quase sempre servida em porções fartas,é uma das carnes favoritas de caçadores famintos.
MEAT_14_ID	Bife em Cubinhos	Carne que ajuda a ativar as habilidades culináriasde Vigor. Um corte de carne de qualidaderelativamente boa, cortado em cubinhos.
MEAT_15_ID	Filé Gigante	Carne que ajuda a ativar as habilidades culináriasde Vigor. Uma bela fatia de carne de Aptonote,é gostosa e enche a barriga.
MEAT_16_ID	Ogroburguer	Carne que ajuda a ativar as habilidades culináriasde Vigor. Um hambúrguer preparado como se deve:quase grande demais para caber na boca.
MEAT_17_ID	Gigabife	Carne que ajuda a ativar as habilidades culináriasde Vigor. Um filé com a gordura tão equilibradaque é difícil parar de comer mesmo satisfeito.
MEAT_18_ID	Fígado Branco	Carne que ajuda a ativar as habilidades culináriasde Perspicácia. Adorado pela textura viscosa.
MEAT_19_ID	Costelinha Grelhada	Carne que ajuda a ativar as habilidades culináriasde Perspicácia. Com bastante gordura, estacarne saborosa pode ser perigosamente viciante.
MEAT_20_ID	Dobradinha Picante	Carne que ajuda a ativar as habilidades culináriasde Perspicácia. Depois de comer, você não vai nem conseguir sentar direito.
MEAT_21_ID	Coração Ardente	Carne que ajuda a ativar as habilidades culináriasde Perspicácia. Um corte apreciado pela textura,a melhor maneira de saboreá-lo é ainda pelando.
