Gallery ID	Gallery Name	Gallery Desc
EVC0001	A Jornada Começa	A Quinta Frota parte em sua jornadapara o Novo Mundo. Um caçador acabou deentrar para o grupo e se vê promissor.
EVC0002	Encontros Fatídicos	Um encontro favorável entre espíritossemelhantes é seguido por uma confusãodesfavorável. Qual foi a causa?
EVC0003	Observando o Novo Mundo	Voando, <LSNR {o caçador}{a caçadora}> e a Assistentefogem de um colosso desconhecido,planando por sobre o Novo Mundo.
EVC0051	Livres na Floresta	No meio da Floresta Ancestral,a dupla se desloca para a base, masé bloqueada por um par de Jagras.
EVC0004	Pego de Surpresa	Preocupada com a descoberta de pegadas,a Assistente é surpreendida pelo mesmomonstro que havia partido.
EVC0005	Tumulto no Ponto de Controle	Logo antes de entrarem na base,os caçadores se vê em meio a umadisputa entre dois monstros.
EVC0006	Astera	Com o fim de sua aventura improvisada,<LSNR {o caçador}{a caçadora}> e a Assistente chegamà base da Comissão, Astera.
EVC0052	Companhia de Caça Confiável	Depois da separação duranteo incidente com o monstro colossal,<LSNR {o caçador}{a caçadora}> e seu Amigato se reencontram.
EVC0055	Frágil: Manuseie com Cuidado	No local do acampamento destruído,<LSNR {o caçador}{a caçadora}> e o Líder da Equipe de Campoencontram um Kulu-Ya-Ku explorador.
EVC0007	Seguindo os Guialumes	Avisados por seus guialumes, o grupoobserva um Pukei-Pukei aparentementeagitado por um rejeito ardente.
EVC0056	Explorando os Ermos	<LSNR {O caçador}{A caçadora}> se prepara para escoltaros cientistas na investigação deoutro vestígio de Zorah Magdaros.
EVC0008	Perigos do Trabalho	Em sua ânsia para conseguir amostras,o grupo é surpreendido por um Barrothatravessando uma selvagulha.
EVC0009	O Sábio Serperiano	Depois de escoltar os cientistas comsegurança, <LSNR {o caçador}{a caçadora}> encontra o caçadorSerperiano da Primeira Frota.
EVC0010	O Pântano Incansável	Procurando pelo cientista perdido,<LSNR {o caçador}{a caçadora}> o encontra encolhido de medoapós se deparar com um monstro terrível.
EVC0011	O Gracioso Tobi-Kadachi	Ao ver penas no ar, <LSNR {o caçador}{a caçadora}>percebe algo estranho, olha paracima e vê uma nova fera nas árvores.
EVC0012	Anjanath, o Valentão	<LSNR {O caçador}{A caçadora}> tenta uma missão arriscada:atrair o incrivelmente territorialAnjanath para uma armadilha.
EVC0013	A Operação de Captura	A Comissão cria um plano para capturarZorah Magdaros. O mistério daMigração dos Anciões será esclarecido?
EVC0014	O Resultado Final	Um novo monstro impede a operação.<LSNR {O caçador}{A caçadora}> se esforça para derrotá-lo,mas será que a operação terá sucesso?
EVC0015	Pelo Grande Desfiladeiro	Seguindo Zorah Magdaros de perto,o grupo cruza o desfiladeiro eencontra uma paisagem inacreditável.
EVC0060	Uma Defesa Ofuscante	Um grupo de Shamos cerca e seaproxima de Tzitzi-Ya-Ku. De repente,um clarão ilumina a área.
EVC0061	A Serpe Flutuante	Seguindo uma criatura voadora,<LSNR {o caçador}{a caçadora}> a perde de vista,para logo reencontrá-la.
EVC0016	Ao Vale Putrefato	Equipada com novos balões, a Basede Pesquisas encontra uma corrente paraseguir. Destino: o Vale Putrefato.
EVC0062	Um Novo Amigo	Depois de explorar o Vale Putrefato, ogrupo se reencontra no acampamento,onde encontram a Rastreadora.
EVC0017	O Gigante de Ossos	A investigação é interrompida.A terra treme, e uma monstruosidadede dentes afiados entra em cena.
EVC0018	O Caçador Voador Elegante	Antes de tentarem levar o dirigível aoVale para procurar vestígios de Zorah,Legiana acaba com os planos de todos.
EVC0019	Encrenca no Vale	Ainda seguindo Zorah Magdaros, adupla se depara com um Odogaron,que mira a Assistente.
EVC0020	Respostas do Vale	A dupla reencontra a Rastreadora, queajuda a descobrir o segredo por trásda Migração dos Anciões.
EVC0021	Coroa da Árvore Ancestral	A dupla escala uma Árvore Ancestral embusca do Primeiro Serperiano, masquem aparece é Rathalos, o Rei dos Céus.
EVC0022	Fúria Sob as Areias	Uma disputa territorial entre Noios eum Barroth se torna mortal quando umdiabo de dois chifres surge da terra.
EVC0023	Início da Operação Atração	A operação para atrair Zorah Magdarospara o mar finalmente começará.
EVC0024	O Ciclo Continua	A operação da Comissão foi um sucesso.Eles assistem triunfalmente enquantoZorah Magdaros segue para o mar.
EVC0025	Rainha de uma Terra Estranha	Em direção aos Planaltos Coralinos,em busca do que deixou os vestígiosestranhos. O que aguarda a dupla?
EVC0034	O Almirante Surge	Uma subespécie foi descoberta noNovo Mundo. Quando a investigação sobreesse fenômeno começa, o Almirante chega.
EVC0026	Fenda Adentro	Sob a liderança do Almirante, a duplachega a uma terra com torres decristais reluzentes.
EVC0063	Devorador de Cristais	Dentro de uma caverna luminescente,um Dodogama devora os cristais.Insatisfeito, agora deseja <LSNR {o caçador}{a caçadora}>.
EVC0027	A Flecha Negra	Finalmente o enfrentamento com odevorador dos Dragões Anciões,o temível Nergigante.
EVC0028	Enigmas Abundantes	Apesar da vitória na batalha contrao Nergigante, há muitos mistériosa serem descobertos.
EVC0064	A Serpe de Magma	Nas profundezas de uma caverna cheiade lava, a tensão enche o arquando o solo começa a tremer.
EVC0065	Raio Trovejante	Uma roda de pedra gigante caipela Fenda do Ancião, espalhando rochasardentes enquanto se aproxima.
EVC0029	Vaal Hazak, Demônio Infernal	Um grupo de Girros deixa seu banquetepara ameaçar <LSNR {o caçador}{a caçadora}>, ignorandoo movimento entre as carcaças atrás.
EVC0030	Kushala Daora, Dragão de Aço	Com o arrebatamento dos cristaisreluzentes, um vórtice repentinofaz <LSNR {o caçador}{a caçadora}> se perder em devaneios.
EVC0031	Teostra, o Infernal	Seguindo cuidadosamente pelo túnel delava, uma explosão de chamas surpreende<LSNR {o caçador}{a caçadora}>, que a enfrenta e...
EVC0032	Onde a Vida Converge	O grupo chega ao ponto de ligação doRio Perene, onde uma entidadepulsa em seu casulo...
EVC0033	Missão Concluída	Tendo afastado a ameaça do monstrosem nome, <LSNR {o caçador}{a caçadora}> recuaenquanto tudo começa a desmoronar.
EVC0035	Desfecho	Depois de muitos anos, o mistério daMigração dos Anciões foi solucionado.Em meio à comemoração, chega um anúncio.
EVC0036	Para Novas Terras	Embora um mistério tenha sido resolvido,a jornada dos caçadores continuaem direção aos recônditos do Novo Mundo.
EVC0066	O Colosso Vulcânico	Um Dragão Ancião marcha lentamentepara seu destino desconhecido,sacudindo a terra como um vulcão ativo.
EVC0067	Soberano dos Dragões Anciões	Nasce uma nova criatura. Pulsando coma força das energias absorvidas do RioPerene, ela emite um grito apavorante.
EVC0068	Fim da Terra	O Vale Putrefato: uma visão horrível decarcaças e vapores nocivos que devoramas entranhas daqueles que lá entram.
EVC0070	O Deviljho Insaciável	A maior parte da Comissão foi proibidade entrar na Floresta Ancestral, agoraum grande pesadelo aguarda a Assistente.
EVC0071	A Imperatriz Leal	Nergigante aparece diante do Teostra descansando.Os Dragões Anciões parecem prontos para decidir abatalha quando a Imperatriz anuncia sua presença.
EVC0072	Serpentino Dourado	A luz ilumina uma caverna, revelando umacriatura que rosna e parece uma grandemontanha de ouro.
EVC0074	Visitante de Eorzea	Ao perseguir um cactuar veloz,<LSNR {o}{a}> <LSNR {caçador}{caçadora}> encontra um cristal azul misterioso, umKulu-Ya-Ku e uma estranha criatura peluda!
EVC0075	A Fera Descende	Um meteoro gigante cai, deixando a área destroçadae em chamas. <LSNR {O caçador}{A caçadora}> corre para o local doimpacto e encontra uma fera desconhecida...
EVC0078	Geralt de Rívia	O bruxo Geralt chega ao Novo Mundo.A Comissão pede que investigueum acontecimento misterioso.
EVC0079	Criatura de Outro Mundo	Os incidentes na Floresta Ancestral sãocausados por um liche, uma criatura quecontrola tudo em seus domínios.
EVC0080	Veio de um Portal	Um liche ancião chega à FlorestaAncestral, assumindo o controle dosJagras que vivem ali.
EVC0081	Final: Mistério Resolvido	Geralt derrota o liche e deixa para você aPedra de Runa de Caçador antes de partir de Astera.Mas um pequeno mistério permanece...
EVC0082	Final: Presente do Chefe	Geralt desfaz a maldição lançada nochefe e os Gajalaka retribuem o favorcom um pequeno show.
EVC0083	Final: Um Pequeno Amigo	Geralt derrota o liche e, enquanto se preparapara deixar Astera, um Bychano montado em umPukei-Pukei chega com um presente.
EVC0084	Final: Missão Concluída	Após salvar o chefe dos Gajalaka e oPukei-Pukei, Geralt retorna ao seu mundoatravés do portal do liche.
EVC1000	Rumores	<LSNR {O Caçador}{A Caçadora}> e a Assistente partem para aFloresta Ancestral para investigaruma aparição de Legiana.
EVC1001	Partidas e Descobertas	A Comissão persegue o grupo de Legianasa bordo do dirigível. O que os esperado outro lado do mar aberto?
EVC1040	Um Mundo Branco	Um mundo de neve ofuscante aguarda<LSNR {o Caçador}{a Caçadora}> e sua Assistente ao chegaremà terra recém-descoberta.
EVC1002	Uma Sombra nas Dunas de Neve	A busca por um local de pouso para odirigível continua, mas uma clareiracontém estranhos rastros na neve.
EVC1003	Seliana	O dirigível pousa no local liberado ea construção de uma nova base começasob as ordens do Comandante.
EVC1004	Uma Terra de Gelo Eterno	Uma terra antiga coberta de gelo porséculos. O que aguarda <LSNR {o Caçador}{a Caçadora}> ali?
EVC1005	A Fúria do Banbaro	A exploração da Fronteira Glacial paragarantir uma rota de suprimentos éinterrompida por árvores derrubadas.
EVC1006	Seliana a Todo Vapor	A chegada do comboio dá nova vida àconstrução de Seliana e o Líder daEquipe de Campo passa instruções.
EVC1007	Víbora à Espreita	A Rastreadora junta-se à dupla paraexplorar o Interior, mas um Tobi-KadachiVípero espreita das sombras.
EVC1008	Um Navio Congelado no Tempo	A descoberta de um antigo naufrágio naFronteira. Quando e por que esse naviochegou a esta terra?
EVC1009	Cerco do Sono	O sono se apossa <LSNR {do Caçador}{da Caçadora}> logo apóssua chegada ao Ermo Selvagulha paraestudar uma subespécie nova...
EVC1010	Uma Enxurrada de Problemas	Shamos circulam o Pukei-Pukei Coralino,irados com a incursão em seu terreno,mas o intruso não dá atenção a eles.
EVC1011	A Fera por Trás da Nevasca	<LSNR {O Caçador}{A Caçadora}> se dirige à Fronteira Glacialem busca da Assistente e da Rastreadorae encontra dracoalados congelados.
EVC1012	A Serpe Nascida do Gelo	Assim que a Assistente e a Rastreadorarelatam o que descobriram, uma músicaressoa, acompanhada de uma nevasca.
EVC1013	A Sombra Veloz	A investigação <LSNR {do Caçador}{da Caçadora}> na FlorestaAncestral é interrompida pelo Nargacuga.Mas um Rathalos decide se intrometer...
EVC1014	A Lâmina Forjada na Batalha	Uma Rathian retorna ao ninho para cuidardas feridas. Enquanto isso, algo aindamais feroz surge atrás <LSNR {do Caçador}{da Caçadora}>.
EVC1015	Resistência dos Vivos	<LSNR {O Caçador}{A Caçadora}> e a Assistente retornam aAstera e encontram o colossalAnjanath congelado.
EVC1016	Trovão no Cânion	Um Radobaan cruza o caminho do irascívelTigrex, mas logo fica claro qual é aespécie dominante.
EVC1017	Ameaça Viscosa	O solo queimado na Fenda do Ancião leva<LSNR {o Caçador}{a Caçadora}> a um Brachydios coberto dacabeça à cauda com lodo verde.
EVC1018	Pedra Lunar	A Assistente examina o fragmento dadopor seu avô, uma pedra supostamentevinda da lua. Quais segredos ela contém?
