Insect ID	Insect Code	Insect Name	Model
0	ROD_INSECT_000_NAME	Abatelha I	mus001
1	ROD_INSECT_001_NAME	Abatelha II	mus001
2	ROD_INSECT_002_NAME	Abatelha III	mus001
3	ROD_INSECT_003_NAME	Alucnídeo I	mus003
4	ROD_INSECT_004_NAME	Alucnídeo II	mus003
5	ROD_INSECT_005_NAME	Alucnídeo III	mus003
6	ROD_INSECT_006_NAME	Alucnídeo Monarca I	mus004
7	ROD_INSECT_007_NAME	Alucnídeo Monarca II	mus004
8	ROD_INSECT_008_NAME	Alucnídeo Monarca III	mus004
9	ROD_INSECT_009_NAME	Imperatrasa I	mus005
10	ROD_INSECT_010_NAME	Imperatrasa II	mus005
11	ROD_INSECT_011_NAME	Imperatrasa III	mus005
12	ROD_INSECT_012_NAME	Rigiprayne I	mus006
13	ROD_INSECT_013_NAME	Rigiprayne II	mus006
14	ROD_INSECT_014_NAME	Rigiprayne III	mus006
15	ROD_INSECT_015_NAME	Cancadaman I	mus007
16	ROD_INSECT_016_NAME	Cancadaman II	mus007
17	ROD_INSECT_017_NAME	Cancadaman III	mus007
18	ROD_INSECT_018_NAME	Fiddlebrix I	mus008
19	ROD_INSECT_019_NAME	Fiddlebrix II	mus008
20	ROD_INSECT_020_NAME	Fiddlebrix III	mus008
21	ROD_INSECT_021_NAME	Cortavento I	mus009
22	ROD_INSECT_022_NAME	Cortavento II	mus009
23	ROD_INSECT_023_NAME	Cortavento III	mus009
24	ROD_INSECT_024_NAME	Grancathar I	mus010
25	ROD_INSECT_025_NAME	Grancathar II	mus010
26	ROD_INSECT_026_NAME	Grancathar III	mus010
27	ROD_INSECT_027_NAME	Pseudocath I	mus011
28	ROD_INSECT_028_NAME	Pseudocath II	mus011
29	ROD_INSECT_029_NAME	Pseudocath III	mus011
30	ROD_INSECT_030_NAME	Mabelha I	mus012
31	ROD_INSECT_031_NAME	Mabelha II	mus012
32	ROD_INSECT_032_NAME	Mabelha III	mus012
33	ROD_INSECT_033_NAME	Inimisouro I	mus014
34	ROD_INSECT_034_NAME	Inimisouro II	mus014
35	ROD_INSECT_035_NAME	Inimisouro III	mus014
36	ROD_INSECT_036_NAME	Carnifisouro I	mus015
37	ROD_INSECT_037_NAME	Carnifisouro II	mus015
38	ROD_INSECT_038_NAME	Carnifisouro III	mus015
39	ROD_INSECT_039_NAME	Bonnetfille I	mus016
40	ROD_INSECT_040_NAME	Bonnetfille II	mus016
41	ROD_INSECT_041_NAME	Bonnetfille III	mus016
42	ROD_INSECT_042_NAME	Ladyalvo I	mus017
43	ROD_INSECT_043_NAME	Ladyalvo II	mus017
44	ROD_INSECT_044_NAME	Ladyalvo III	mus017
45	ROD_INSECT_045_NAME	Ladyscudo I	mus018
46	ROD_INSECT_046_NAME	Ladyscudo II	mus018
47	ROD_INSECT_047_NAME	Ladyscudo III	mus018
48	ROD_INSECT_048_NAME	Damarca I	mus019
49	ROD_INSECT_049_NAME	Damarca II	mus019
50	ROD_INSECT_050_NAME	Damarca III	mus019
51	ROD_INSECT_051_NAME	Saivota I	mus020
52	ROD_INSECT_052_NAME	Saivota II	mus020
53	ROD_INSECT_053_NAME	Saivota III	mus020
54	ROD_INSECT_054_NAME	Mantouro I	mus021
55	ROD_INSECT_055_NAME	Mantouro II	mus021
56	ROD_INSECT_056_NAME	Mantouro III	mus021
57	ROD_INSECT_057_NAME	Vesmúrio I	mus022
58	ROD_INSECT_058_NAME	Vesmúrio II	mus022
59	ROD_INSECT_059_NAME	Vesmúrio III	mus022
60	ROD_INSECT_190_NAME	Alma de Dragão	mus023
61	ROD_INSECT_191_NAME	Alma de Dragão Verdad.	mus023
62	ROD_INSECT_060_NAME	Cervizir I Veloz	mus024
63	ROD_INSECT_061_NAME	Cervizir II Veloz	mus024
64	ROD_INSECT_062_NAME	Cervizir III Veloz	mus024
65	ROD_INSECT_063_NAME	Cervizir I Força	mus024
66	ROD_INSECT_064_NAME	Cervizir II Força	mus024
67	ROD_INSECT_065_NAME	Cervizir III Força	mus024
68	ROD_INSECT_066_NAME	Bilbobrix I Veloz	mus025
69	ROD_INSECT_067_NAME	Bilbobrix II Veloz	mus025
70	ROD_INSECT_068_NAME	Bilbobrix III Veloz	mus025
71	ROD_INSECT_069_NAME	Bilbobrix I Força	mus025
72	ROD_INSECT_070_NAME	Bilbobrix II Força	mus025
73	ROD_INSECT_071_NAME	Bilbobrix III Força	mus025
74	ROD_INSECT_072_NAME	Foliacath I Cura	mus026
75	ROD_INSECT_073_NAME	Foliacath II Cura	mus026
76	ROD_INSECT_074_NAME	Foliacath III Cura	mus026
77	ROD_INSECT_075_NAME	Foliacath I Força	mus026
78	ROD_INSECT_076_NAME	Foliacath II Força	mus026
79	ROD_INSECT_077_NAME	Foliacath III Força	mus026
80	ROD_INSECT_078_NAME	Escaranídeo I	mus002
81	ROD_INSECT_079_NAME	Escaranídeo II	mus002
82	ROD_INSECT_080_NAME	Escaranídeo III	mus002
83	ROD_INSECT_081_NAME	Vislumbresouro I Veloz	mus027
84	ROD_INSECT_082_NAME	Vislumbresouro II Veloz	mus027
85	ROD_INSECT_083_NAME	Vislumbresouro III Veloz	mus027
86	ROD_INSECT_084_NAME	Vislumbresouro I Cura	mus027
87	ROD_INSECT_085_NAME	Vislumbresouro II Cura	mus027
88	ROD_INSECT_086_NAME	Vislumbresouro III Cura	mus027
89	ROD_INSECT_087_NAME	Torreninha I Força	mus028
90	ROD_INSECT_088_NAME	Torreninha II Força	mus028
91	ROD_INSECT_089_NAME	Torreninha III Força	mus028
92	ROD_INSECT_090_NAME	Torreninha I Veloz	mus028
93	ROD_INSECT_091_NAME	Torreninha II Veloz	mus028
94	ROD_INSECT_092_NAME	Torreninha III Veloz	mus028
95	ROD_INSECT_093_NAME	Valorasa I Força	mus029
96	ROD_INSECT_094_NAME	Valorasa II Força	mus029
97	ROD_INSECT_095_NAME	Valorasa III Força	mus029
98	ROD_INSECT_096_NAME	Valorasa I Cura	mus029
99	ROD_INSECT_097_NAME	Valorasa II Cura	mus029
100	ROD_INSECT_098_NAME	Valorasa III Cura	mus029
101	ROD_INSECT_099_NAME	Arginesso I	mus013
102	ROD_INSECT_100_NAME	Arginesso II	mus013
103	ROD_INSECT_101_NAME	Arginesso III	mus013
104	ROD_INSECT_192_NAME	Alma de Dragão Nexus	mus023
