Item ID	Item Name	Item Type	Rare	Item Desc
0	--------	Material	0	Unavailable
1	Poção	Item	0	Recupera uma pequenaquantidade de vida.
2	Megapoção	Item	1	Recupera uma quantidaderazoável de vida.
3	Poção Máxima	Item	2	Recupera a vida inteirae maximiza o tamanho daBarra de Vida.
4	Poção Ancestral	Item	4	Recupera a vida inteirae maximiza o tamanho dasBarras de Vida e Vigor.
5	Antídoto	Item	0	Cura veneno.
6	Ervas Medicinais	Item	1	Remove todo o veneno e recuperauma pequena porção de vida.
7	Nulafruta	Item	1	Uma fruta misteriosa que curavários flagelos.
8	Energético	Item	1	Uma bebida aprovada pela Guilda que aumenta seu vigor e ajudaa não dormir!
9	Ração	Item	0	Recupera um pouco de vigor.
10	Bife Malpassado	Item	0	Esse bife ainda está vermelho nomeio. Aumenta moderadamente o vigor.
11	Bife Bem Passado	Item	1	Aumenta moderadamente o vigor e omantém no máximo por um períodomaior. É assim que se prepara carne!
12	Carne Queimada	Item	0	Aumenta um pouco o vigor.Pode ser comido rapidamente.
13	Bebida Gelada	Item	0	Alivia temporariamenteo calor extremo.
14	Nutrientes	Item	1	Aumenta bem poucoa vida máxima.
15	Meganutrientes	Item	2	Aumenta um pouco a vida máxima.
16	Imunizador	Item	2	Reforça sua capacidade naturalde cura.
17	Carne Seca de Astera	Item	1	Carne suculenta feita pelo chef deAstera. Reforça a capacidade naturalde cura e estanca sangramentos.
18	Isotônico	Item	1	Hidrata e mantém o fôlego! Reduztemporariamente o consumo de vigor.
19	Megaisotônico	Material	3	Permite que você corra sem secansar, por mais tempo que umisotônico normal.
20	Grão de Força	Item	1	Melhora seu fluxo de energia,aumentando a potênciados seus ataques.
21	Pílula Demoníaca	Item	3	Enche seu corpo de energiasdemoníacas, aumentandoo poder de ataque.
22	Megapílula Demoníaca	Item	4	Aumenta mais o poder de ataque doque uma pílula demoníaca normal.
23	Pílula de Força	Item	3	Concede temporariamente a força deum deus. Poderosíssima!
24	Grão Duro	Item	1	Deixa a pele mais dura, aumentandotemporariamente a defesa.
25	Pele de Pedra	Item	3	Deixa a pele tão dura quanto umapedra, aumentando a defesa.
26	Megapele de Pedra	Item	4	Aumenta mais a defesa do que umapele de pedra normal.
27	Pílula Dura	Item	3	Deixa sua pele temporariamente tãodura quanto diamante. Poderosíssima!
28	Pó da Vida	Item	3	Produz uma nuvem de curaao redor do usuário.
29	Pó de Ervas	Item	3	Um pó misterioso. Libera uma nuvemao redor da área que recuperavida e neutraliza venenos.
30	Pó Demoníaco	Item	3	Um pó misterioso. Libera uma nuvemao redor da área que aumentao ataque temporariamente.
31	Pó de Conchas	Item	3	Um pó misterioso. Libera uma nuvemao redor da área que aumentaa defesa temporariamente.
32	Mel	Item	1	Mel altamente nutritivo. Combine-ocom Poções para criar Megapoçõesde máxima potência.
33	Erva	Item	0	Principal ingrediente das poções.
34	Erva Antídoto	Item	0	Principal ingrediente dos antídotos.
35	Erva de Fogo	Item	1	Uma planta bonita ealtamente inflamável.Útil na criação de explosivos.
36	Samambaia d'Água	Item	0	As folhas dessa planta retêm umagrande quantidade de água.Utilizada em Munição d'Água.
37	Erva da Neve	Item	1	Planta que parece tão fria quantoum cubo de gelo. Utilizada emmunições congelantes.
38	Erva Sonífera	Item	0	Uma planta que contém compostossoníferos. Utilizada para criartranquilizantes.
39	Hera	Item	0	Uma planta leve e extremamenteresistente. Usada na criação deredes para armadilhas de poço.
40	Noz de Fumo	Item	0	Libera bastante fumaça. Combinadacom outros itens, pode criar fumaçascom diferentes atributos.
41	Fruta Antidragão	Item	3	De acordo com a crença popular, essafruta misteriosa espanta dragões.Usada para criar Munição de Dragão.
42	Cogumelo Azul	Item	1	Cogumelo impregnado deefeitos potencializadores.Usado em itens restaurativos.
43	Mandrágora	Item	2	Um fungo perigoso que dizem sugara vida das pessoas. Cuidado.Usado para criar Poções Máximas.
44	Nitromelo	Item	1	Um cogumelo difícil de encontrarque produz um calor escaldante.Necessário para criar Pólvora.
45	Flagelo do Diabo	Item	1	Fungo muito raro que libera um calorextremo. Adicione a uma bomba debarril para potencializar explosões.
46	Paramelo	Item	2	Um cogumelo que induz paralisia.Necessário para criarBombas Sedativas.
47	Cogumelo Venenoso	Item	1	Um fungo venenoso.Pode ser usadocomo toxina para facas.
48	Eufungoria	Item	2	Esse tem um aroma estranho. Serácomestível? Só há um jeito de saber!Usado para criar Transportadores.
49	Amarguinseto	Item	0	Um inseto de gosto amargo, notóriopor sua capacidade de cura. Umingrediente em muitos remédios.
50	Lampejinseto	Item	1	Inseto que emite um forte clarãoquando morre. Necessário para criarCápsulas de Lampejo.
51	Inseto-deus	Item	3	Dizem que este inseto pode viver atémil anos. Serve de ingrediente parapós com atributos variados.
52	Insetrovão	Item	3	Inseto que solta eletricidade.Necessário para criar Armadilhas deChoque e Munição de Raio.
53	Insetisca	Item	2	Alimento predileto dos peixes. Servecomo uma ótima isca de pesca.
54	Chifre de Kelbi	Item	3	Embora não sejam práticos ao forjarequipamentos, chifres de Kelbi sãocomponentes vitais de muitos itens.
55	Extrato de Corrida	Item	3	Uma substância misteriosa, obtidade certos monstros. Aumenta adisposição física.
56	Extrato Nutritivo	Item	3	Obtido de alguns monstros grandes.Tem a capacidade de potencializaros efeitos de alguns remédios.
57	Glândula Vocal	Item	1	Um órgão de monstro. Produz um somensurdecedor se rompido. Usado nacriação de cápsulas de grito.
58	Catalisador	Item	1	Usado com outros materiais parapotencializar seus efeitos. Não podeser utilizado sozinho.
59	Bomba Sedativa	Item	2	Bomba utilizada para capturarmonstros presos em armadilhas. Podeser atirada contra o chão.
60	Cápsula de Lampejo	Item	1	Munição de atiradeira que produz umclarão no impacto. Atire de baixo donariz de um monstro para cegá-lo.
61	Cápsula de Grito	Item	1	Munição de atiradeira.Emite um som em alta frequência,perturbando monstros sensíveis.
62	Bomba de Fumaça	Item	1	Cria uma grande nuvem de fumaçaonde quer que ela caia.
63	Bomba de Fumaça Venenosa	Item	1	Libera uma nuvem tóxica com o uso.Também é popular como bombainseticida doméstica.
64	Transportador	Item	2	Chame um dracoalado para transportarvocê ao acampamento mais próximo.Também pode ser usado em batalhas.
65	Carne Crua	Item	0	Carne talhada de um monstro.Pode ser cozida, combinada ouusada em uma armadilha.
66	Carne Envenenada	Item	1	Carne crua que envenena quema comer. Ótima isca para armadilhas.
67	Carne Paralisante	Item	1	Carne crua que paralisa quema comer. Ótima isca para armadilhas.
68	Carne Entorpecente	Item	1	Carne crua que adormece quem acomer. Ótima isca para armadilhas.
69	Pólvora	Item	1	Substância perigosa que explodequando sofre algum impactoou é aquecida.
70	Barrilete	Item	0	Um barril pequeno e vazio.
71	Bomba de Barril	Item	1	Pequena Bomba-relógio.
72	Bomba-Ricochete	Item	1	Quando ativada, é lançada no ar.Esta bomba modificada requerhabilidade para ser usada.
73	Megabomba-ricochete	Item	3	Versão melhorada da bomba-ricochete.Requer habilidade para ser usada.
74	Barril	Item	1	Um barril grande e vazio. Combinecom pólvora para transformá-lonuma bomba.
75	Superbomba de Barril	Item	2	Uma poderosa bomba ativadapor impacto físico externo.
76	Megabomba de Barril	Item	3	Melhoria da superbomba de barril.Eficiente contra monstros grandes.
77	Teia de Aranha	Item	0	Teia bastante pegajosa. Usada paracriar armadilhas de poço.
78	Rede	Item	1	Rede resistente que suporta certaquantidade de peso sem arrebentar.Perfeita para armadilhas de poço.
79	Chave Armadilheira	Item	2	Ferramenta obrigatória para preparararmadilhas de poço e outrasarmadilhas.
80	Armadilha de Poço	Item	2	Armadilha para capturar certosmonstros grandes. Ativadapor pesos pesados.
81	Armadilha de Choque	Item	2	Armadilha que imobiliza o alvo.Use para capturar monstros.
82	Bola de Esterco	Item	0	Bola de fezes de monstro condensada.Usada na criação de cápsulas deesterco para a atiradeira.
83	Esterco	Item	0	Libera um cheiro diferenciado. Usadona criação de cápsulas de estercopara a atiradeira.
84	Cápsula de Esterco	Item	1	Munição de Atiradeira que liberaum forte odor no impacto.Afugenta alguns monstros.
85	Isca de Aruanã	Item	1	Isca favorita dos peixes Aruanã.
86	Isca de Peixe-pólvora	Item	1	Isca favorita dos Peixes-pólvora.
87	Isca de Peixe-dourado	Item	1	Isca favorita dos Peixes-dourados.
88	Bumerangue	Item	3	Arma com formato único que retornaao usuário depois de arremessada.
89	Binóculos	Item	0	Permite que o usuário enxerguemais longe.
90	Amuleto do Poder	Item	4	Carregar esse amuleto te dá a forçade um demônio. Aumenta a força dosataques.
91	Garra do Poder	Item	4	Um amuleto que tem partes de dragãoque amplificam seu efeito.Aumenta a força dos ataques.
92	Amuleto de Armadura	Item	4	Carregar esse amuleto deixa sua peledura feito rocha. Aumenta a defesa.
93	Garra-Armadura	Item	4	Um amuleto que tem partes de dragãoque amplificam seu efeito.Aumenta a defesa.
94	Frutagulha	Item	0	Uma fruta coberta em espinhosfinos como agulhas. Usada nafabricação de munição de dispersão.
95	Noz Grudenta	Item	0	Noz usada na fabricaçãode munição pegajosa.
96	Noz Bafo de Dragão	Item	1	Noz que explode no impacto. Usadana fabricação de munição serpe.
