Deco ID	Item ID	Deco Name	Slot Size
0	727	Joia Antídoto 1	1
1	728	Joia Antiparalisia 1	1
2	729	Joia Ânimo 1	1
3	730	Joia Resoluto 1	1
4	731	Joia Antiexplosão 1	1
5	732	Joia Sutura 1	1
6	733	Joia Defesa Ativa 1	1
7	734	Joia Tampão 3	3
8	735	Joia Resistência a Vento 2	2
9	736	Joia Equilíbrio 2	2
10	739	Joia Ataque 1	1
11	740	Joia Defesa 1	1
12	741	Joia Vitalidade 1	1
13	742	Joia Regeneração 1	1
14	743	Joia Resistência a Fogo 1	1
15	744	Joia Resistência a Água 1	1
16	745	Joia Resistência a Gelo 1	1
17	746	Joia Resistência a Raio 1	1
18	747	Joia Resistência a Dragão 1	1
19	748	Joia Resistor 1	1
20	749	Joia Chama 1	1
21	750	Joia Riacho 1	1
22	751	Joia Geada 1	1
23	752	Joia Relâmpago 1	1
24	753	Joia Dragão 1	1
25	754	Joia Veneno 1	1
26	755	Joia Paralisadora 1	1
27	756	Joia Sono 1	1
28	757	Joia Explosão 1	1
29	758	Joia Camada de Veneno 3	3
30	759	Joia Camada de Paralisia 3	3
31	760	Joia Camada de Sono 3	3
32	761	Joia Camada de Explosão 3	3
33	763	Joia Descarregamento 3	3
34	764	Joia Especialista 1	1
35	765	Joia Crítica 2	2
36	766	Joia Atenuadora 2	2
37	767	Joia Energizadora 2	2
38	768	Joia do Artesanato 3	3
39	769	Joia de Saque 2	2
40	770	Joia Destruidora 2	2
41	771	Joia de Nocaute 2	2
42	772	Joia de Drenagem 1	1
43	774	Joia de Voo 2	2
44	775	Joia Aceleradora 2	2
45	776	Joia do Desafiante 2	2
46	777	Joia da Perfeição 2	2
47	778	Joia do Potencial 2	2
48	779	Joia da Fortitude 1	1
49	780	Joia do Furor 2	2
50	781	Joia Sonora 1	1
51	782	Joia Aljava 2	2
52	783	Joia Tiro Certo 1	1
53	784	Joia Artilharia 1	1
54	785	Joia Artilharia Pesada 1	1
55	786	Joia do Corredor 2	2
56	787	Joia do Biotipo 2	2
57	789	Joia Revigorante 2	2
58	790	Joia da Saciação 1	1
59	791	Joia da Evasão 2	2
60	792	Joia de Salto 2	2
61	793	Joia Muro de Ferro 1	1
62	794	Joia da Bainha 1	1
63	795	Joia da Amizade 1	1
