NPC Code	NPC Name	Model Address
N001_NPC_NAME	Comandante	npc001
N002_NPC_NAME	A Assistente	npc002
N003_NPC_NAME	Líder da Equipe de Campo	npc003
N004_NPC_NAME	Gestora de Provisões	npc004
N005_NPC_NAME	Diretor de Análises	npc005
N006_NPC_NAME	Chefe de Tecnologia	npc006
N007_NPC_NAME	Estoque de Provisões	npc007
N009_NPC_NAME	Chefe de Ecologia	npc009
N010_NPC_NAME	Chefe de Botânica	npc010
N011_NPC_NAME	Fundidora Anciã	npc011
N012_NPC_NAME	Mestre da Segunda Frota	npc012
N014_NPC_NAME	Arsenal	npc014
N015_NPC_NAME	Chefe Miauscular	npc015
N016_NPC_NAME	Zelador	npc016
N017_NPC_NAME	O Caçador	npc017
N018_NPC_NAME	A Rastreadora	npc018
N019_NPC_NAME	Almirante	npc019
N020_NPC_NAME	O Investigador	npc020
N021_NPC_NAME	Mestra da Terceira Frota	npc021
N022_NPC_NAME	Provisioneiro da Terceira Frota	npc022
N023_NPC_NAME	Especialista Lyniano	npc023
N024_NPC_NAME	Primeiro Serperiano	npc024
N025_NPC_NAME	Agitado da Lista-A	npc025
N026_NPC_NAME	Assistente Séria	npc026
N027_NPC_NAME	Cientista Perdido	npc027
N028_NPC_NAME	Cientista Jovial	npc028
N029_NPC_NAME	Cientista Otimista	npc029
N030_NPC_NAME	Cientista Alegre	npc030
N032_NPC_NAME	Capitão	npc032
N033_NPC_NAME	Zelador	npc033
N034_NPC_NAME	Zelador	npc034
N035_NPC_NAME	Zelador	npc035
N036_NPC_NAME	Primeiro Serperiano	npc036
N037_NPC_NAME	Pesquisador de Peixes	npc037
N038_NPC_NAME	Pesquisadora Vida Nativa	npc038
N039_NPC_NAME	Pesquisador Lyniano	npc039
N040_NPC_NAME	Primeiro Serperiano	npc040
N102_NPC_NAME	Irascível da Quinta	npc102
N103_NPC_NAME	Gentil da Quarta	npc103
N104_NPC_NAME	Impaciente da Quarta	npc104
N105_NPC_NAME	Impassível da Quinta	npc105
N106_NPC_NAME	Divertido da Quarta	npc106
N107_NPC_NAME	Forte da Quinta	npc107
N108_NPC_NAME	Tímido da Quinta	npc108
N109_NPC_NAME	Irmã da Quarta	npc109
N111_NPC_NAME	Caçador de Pesquisa	npc111
