Pendant ID	Pendant Code	Pendant Name	Model
0	CHARM_000_NAME	Medalha de Bronze da Guilda	charm002
1	CHARM_001_NAME	Medalha de Prata da Guilda	charm002
2	CHARM_002_NAME	Medalha de Ouro da Guilda	charm002
3	CHARM_003_NAME	Echarpe Símb. Bronze (Verm.)	charm003
4	CHARM_004_NAME	Echarpe Símb. Bronze (Amar.)	charm003
5	CHARM_005_NAME	Echarpe Símb. Bronze (Azul)	charm003
6	CHARM_006_NAME	Echarpe Símb. Bronze (Rosa)	charm003
7	CHARM_007_NAME	Echarpe Símb. Bronze (Verde)	charm003
8	CHARM_008_NAME	Echarpe Símb. Bronze (Cinza)	charm003
9	CHARM_009_NAME	Echarpe Símb. Bronze (Marr.)	charm003
10	CHARM_010_NAME	Echarpe Símb. Prata (Branca)	charm003
11	CHARM_011_NAME	Echarpe Símb. Prata (Verm.)	charm003
12	CHARM_012_NAME	Echarpe Símb. Prata (Verde)	charm003
13	CHARM_013_NAME	Echarpe Símb. Prata (Ciano)	charm003
14	CHARM_014_NAME	Echarpe Símb. Prata (Roxa)	charm003
15	CHARM_015_NAME	Echarpe Símb. Prata (Rosa)	charm003
16	CHARM_016_NAME	Echarpe Símb. Prata (Lar.)	charm003
17	CHARM_017_NAME	Echarpe Símb. Ouro (Marrom)	charm003
18	CHARM_018_NAME	Echarpe Símb. Ouro (Branca)	charm003
19	CHARM_019_NAME	Echarpe Símb. Ouro (Vd. es.)	charm003
20	CHARM_020_NAME	Echarpe Símb. Ouro (Vd. cl.)	charm003
21	CHARM_021_NAME	Echarpe Símb. Ouro (Roxa)	charm003
22	CHARM_022_NAME	Echarpe Símb. Ouro (Laranja)	charm003
23	CHARM_023_NAME	Echarpe Símb. Ouro (Azul)	charm003
24	CHARM_024_NAME	Cristal de Esmeralda-Guia	charm004
25	CHARM_025_NAME	Cristal de Verde-Guia	charm004
26	CHARM_026_NAME	Cristal de Sol-Guia	charm004
27	CHARM_027_NAME	Cristal de Anoitecer-Guia	charm004
28	CHARM_028_NAME	Cristal de Morganita-Guia	charm004
29	CHARM_029_NAME	Cristal de Celestita-Guia	charm004
30	CHARM_030_NAME	Cristal de Citrina-Guia	charm004
31	CHARM_031_NAME	Cristal de Diamante-Guia	charm004
32	CHARM_032_NAME	Cristal de Carmesim-Guia	charm004
33	CHARM_033_NAME	Cristal de Hematita-Guia	charm004
34	CHARM_034_NAME	Cristal de Geleira-Guia	charm004
35	CHARM_035_NAME	Cristal de Tanzanita-Guia	charm004
36	CHARM_036_NAME	Estrela de Floresta-Guia	charm001
37	CHARM_037_NAME	Estrela de Ermo-Guia	charm001
38	CHARM_038_NAME	Estrela de Planalto-Guia	charm001
39	CHARM_039_NAME	Estrela de Vale-Guia	charm001
40	CHARM_040_NAME	Estrela de Magma-Guia	charm001
41	CHARM_041_NAME	Estrela de Geada-Guia	charm001
42	CHARM_042_NAME	Símbolo de Caçador Bronze	charm005
43	CHARM_043_NAME	Símbolo de Caçador Prata	charm005
44	CHARM_044_NAME	Símbolo de Caçador Ouro	charm005
45	CHARM_045_NAME	Símbolo Mestre Diamante	charm005
46	CHARM_046_NAME	Símbolo Mestre Rubi	charm005
47	CHARM_047_NAME	Símbolo Mestre Esmeralda	charm005
48	CHARM_048_NAME	Símbolo Mestre Âmbar	charm005
49	CHARM_049_NAME	Símbolo Mestre Safira	charm005
50	CHARM_050_NAME	Símbolo Mestre Topázio	charm005
51	CHARM_051_NAME	Símbolo Mestre Ametista	charm005
52	CHARM_052_NAME	Símb. Mestre Vermelho Ouro	charm005
53	CHARM_053_NAME	Símbolo Mestre Azul Ouro	charm005
54	CHARM_054_NAME	Símbolo Mestre Bronze	charm005
55	CHARM_055_NAME	Símbolo Mestre Azul Gelo	charm005
56	CHARM_056_NAME	Símbolo Mestre Violeta	charm005
57	CHARM_057_NAME	Símbolo Mestre Obsidiana	charm005
58	CHARM_058_NAME	Símb. Mestre Verm. Rathalos	charm005
59	CHARM_059_NAME	Símbolo Mestre Verde Rathian	charm005
60	CHARM_060_NAME	Símbolo Mestre Rosa Rathian	charm005
61	CHARM_061_NAME	Buquê Florescente	charm006
62	CHARM_062_NAME	Sol Escaldante	charm007
63	DUMMY000000	Unavailable	charm001
64	CHARM_064_NAME	Tigre da Sorte Carmesim	charm009
65	CHARM_065_NAME	Tufo de Prata Azul Celeste	charm010
66	CHARM_066_NAME	Garras de Rajang	charm011
67	CHARM_067_NAME	Chifre de Rajang Furioso	charm012
68	CHARM_068_NAME	Garras de Zinogre Tenebroso	charm013
69	CHARM_069_NAME	Chifre Vermelho Heroico	charm014
70	CHARM_070_NAME	Fragmento de Brachy Colérico	charm015
71	CHARM_071_NAME	Fragmento de Alatreon	charm016
72	CHARM_072_NAME	Garras de Rathian Dourada	charm017
73	CHARM_073_NAME	Garras de Rathalos Prateado	charm018
74	DUMMY000001	Unavailable	charm001
75	DUMMY000002	Unavailable	charm001
76	DUMMY000003	Unavailable	charm001
77	DUMMY000004	Unavailable	charm001
78	DUMMY000005	Unavailable	charm001
79	DUMMY000006	Unavailable	charm001
80	DUMMY000007	Unavailable	charm001
81	DUMMY000008	Unavailable	charm001
82	CHARM_082_NAME	Frag. Namielle Arquiaguerrido	charm027
83	DUMMY000009	Unavailable	charm001
84	DUMMY000010	Unavailable	charm001
85	DUMMY000011	Unavailable	charm001
86	CHARM_086_NAME	HARDUMMY	charm031
87	CHARM_087_NAME	HARDUMMY	charm032
88	CHARM_088_NAME	R.P.D.	charm033
89	CHARM_089_NAME	Umbrella	charm034
90	CHARM_090_NAME	Ping. Toupeirinha: Sorte	charm035
91	CHARM_091_NAME	Ping. Toupeirinha: Saúde	charm036
92	CHARM_092_NAME	Ping. Toupeirinha: Segurança	charm037
93	CHARM_093_NAME	Ping. Toupeirinha: Amor	charm038
94	CHARM_094_NAME	Ping. Toupeirinha: Proteção	charm039
95	CHARM_095_NAME	Ping. Toupeirinha: Paixão	charm040
96	CHARM_096_NAME	Ping. Toupeirinha: Paz	charm041
97	CHARM_097_NAME	Felyno de Pelúcia	charm042
98	CHARM_098_NAME	HARDUMMY	charm044
99	CHARM_099_NAME	HARDUMMY	charm045
100	CHARM_100_NAME	HARDUMMY	charm043
101	CHARM_101_NAME	Buquê Florescente (rosa)	charm006
102	CHARM_102_NAME	Buquê Florescente (laranja)	charm006
103	CHARM_103_NAME	Buquê Florescente (vermelho)	charm006
104	CHARM_104_NAME	Buquê Florescente (azul)	charm006
105	CHARM_105_NAME	Sol Escaldante (Gelo)	charm007
106	CHARM_106_NAME	Sol Escaldante (Uva)	charm007
107	CHARM_107_NAME	Sol Escaldante (Dragão)	charm007
108	CHARM_108_NAME	Sol Escaldante (Lichia)	charm007
109	DUMMY000012	Unavailable	charm001
110	DUMMY000013	Unavailable	charm001
111	DUMMY000014	Unavailable	charm001
112	DUMMY000015	Unavailable	charm001
113	CHARM_113_NAME	Tigre da Sorte Pêssego	charm009
114	CHARM_114_NAME	Tigre da Sorte Verde	charm009
115	CHARM_115_NAME	Tigre da Sorte Violeta	charm009
116	CHARM_116_NAME	Tigre da Sorte Azul Celeste	charm009
117	CHARM_117_NAME	Tufo de Prata Pêssego	charm010
118	CHARM_118_NAME	Tufo de Prata Vermelho	charm010
119	CHARM_119_NAME	Tufo de Prata Azul	charm010
120	CHARM_120_NAME	Tufo de Prata Verde	charm010
