Quest ID	Quest Name	Quest Target	Fail Condition
00000	Unavailable	Unavailable	Unavailable
00001	Unavailable	Unavailable	Unavailable
00002	Unavailable	Unavailable	Unavailable
00003	Invalid Message	Invalid Message	Invalid Message
00004	Invalid Message	Invalid Message	Invalid Message
00005	Invalid Message	Invalid Message	Invalid Message
00101	Jagras da Floresta Ancestral	Mate 7 Jagras	Tempo expirarDesmaiar 3 vezes
00102	Uma Questão Kestodonte	Conclua o serviço	Tempo expirarDesmaiar 3 vezes
00103	Caça ao Grande Jagras	Cace um Grande Jagras	Tempo expirarDesmaiar 3 vezes
00151	Bater Cabeça com a Natureza	Mate 12 Kestodontes	Tempo expirarDesmaiar 3 vezes
00152	Matadores na Moita	Mate 7 Jagras	Tempo expirarDesmaiar 3 vezes
00153	Fungos na Floresta Ancestral	Entregue 20 Chap Cogum Gourmets	Tempo expirarDesmaiar 3 vezes
00201	Bandido Cabeça de Passarinho	Cace um Kulu-Ya-Ku	Tempo expirarDesmaiar 3 vezes
00205	Urgente: Caça ao Pukei-Pukei	Cace um Pukei-Pukei	Tempo expirarDesmaiar 3 vezes
00241	Aprendendo a Prendedora	Aprenda a mecânica da prendedora	Tempo expirarDesmaiar 3 vezesGrande Jagras caçado
00251	O Grande Glutão	Cace um Grande Jagras	Tempo expirarDesmaiar 3 vezes
00252	Esmagador de Acampamentos	Cace um Kulu-Ya-Ku	Tempo expirarDesmaiar 3 vezes
00261	Apanhe o Apanhador	Capture um Kulu-Ya-Ku	Tempo expirarDesmaiar 3 vezesKulu-Ya-Ku ser abatido
00262	Ganhos Não Têm Descanso	Mate 7 Gajaus	Tempo expirarDesmaiar 3 vezes
00263	Exterminador dos Ermos	Mate 14 Vespoideas	Tempo expirarDesmaiar 3 vezes
00301	O Melhor Tipo de Missão	Conclua o serviço	Tempo expirarDesmaiar 3 vezes
00302	Sombras Sinistras no Pântano	Conclua o serviço	Tempo expirarDesmaiar 3 vezes
00305	Faíscas Voando: Tobi-Kadachi	Cace um Tobi-Kadachi	Tempo expirarDesmaiar 3 vezes
00306	O Anjanath Invasor	Cace um Anjanath	Tempo expirarDesmaiar 3 vezes
00331	Arena Especial: Pukei-Pukei	Cace um Pukei-Pukei	Tempo expirarDesmaiar 3 vezes
00332	Arena Especial: Barroth	Cace um Barroth	Tempo expirarDesmaiar 3 vezes
00333	Arena Especial: Tobi-Kadachi	Cace um Tobi-Kadachi	Tempo expirarDesmaiar 3 vezes
00351	Escassez de Nozes de Dispersão	Cace um Pukei-Pukei	Tempo expirarDesmaiar 3 vezes
00352	A Situação Atual	Cace um Tobi-Kadachi	Tempo expirarDesmaiar 3 vezes
00361	Em Apuros na Agulha	Cace um Barroth	Tempo expirarDesmaiar 3 vezes
00362	O Problema Písceo	Cace um Jyuratodus	Tempo expirarDesmaiar 3 vezes
00363	Encrenca Espinhosa	Entregue 20 Cactos-miçanga	Tempo expirarDesmaiar 3 vezes
00364	Marombando nos Ermos	Entregue 2 Ovos Herbívoros	Tempo expirarDesmaiar 3 vezes
00365	A Serpe dos Deslizamentos	Capture um Barroth	Tempo expirarDesmaiar 3 vezesBarroth ser abatido
