Skill ID	Skill Code	Skill Name	Skill Desc
0	DUMMY000000	Unavailable	Unavailable
1	G_PT_POISON_RESIST_SKILL_PT	Resistência a Veneno	Reduz dano de veneno.
2	PT_PARALYSIS_RESIST_SKILL_PT	Resistência a Paralisia	Reduz a duração da paralisia.
3	PT_SLEEP_RESIST_SKILL_PT	Resistência a Sono	Reduz a duração do sono.
4	PT_STUN_RESIST_SKILL_PT	Resistência Atordoamento	Reduz a duração do atordoamento.
5	PT_DARUMA_RESIST_SKILL_PT	Resistência a Muco	Reduz dificuldades de mobilidadequando estiver preso emmuco de monstro.
6	PT_BOMB_RES_SKILL_PT	Resistência a Explosão	Concede proteção contraflagelo de explosão.
7	PT_PT_SCAR_RES_SKILL_PT	Resistência Sangramento	Concede proteção contra sangramento.
8	PT_DEFDOWN_RESIST_SKILL_PT	Pele de Ferro	Concede proteção contraDefesa Reduzida.
9	DUMMY000003	Unavailable	Unavailable
10	DUMMY000006	Unavailable	Unavailable
11	PT_EARPLUG_SKILL_PT	Tampões	Concede proteção contrao rugido de monstros grandes.
12	PT_HUUATU_SKILL_PT	Antivento	Concede proteção contrapressão de vento.
13	PT_EATHQUAKE_RESIST_SKILL_PT	Resistência a Tremor	Concede proteção contratremores de terra.
14	PT_UNKO_SKILL_PT	Mestre do Esterco	Aumenta a probabilidade de fugade monstros atingidos por cápsulasde esterco da atiradeira.
15	DUMMY000009	Unavailable	Unavailable
16	PT_MIASMA_ADAPT_SKILL_PT	Especialista em Eflúvios	Anula ou reduz dano de ambienteno Vale Putrefato.
17	PT_ADAPT_SKILL_PT	Bloqueio de Calor	Anula danos por calor.
18	DUMMY000012	Unavailable	Unavailable
19	PT_ATK_SKILL_PT	Reforço de Ataque	Aumenta o poder de ataque. Tambémaumenta a afinidade em níveismais altos.
20	PT_DEF_SKILL_PT	Reforço de Defesa	Aumenta a defesa.Também eleva o nível de resistências.
21	PT_VIT_SKILL_PT	Reforço de Vida	Aumenta a vida.
22	PT_HEEL_SKILL_PT	Aumento de Regeneração	Aumenta a quantidade recuperadaao regenerar a vida.
23	PT_HEEL_SPEED_SKILL_PT	Velocidade Regeneração	Acelera a cura de danorecuperável (a parte vermelha dabarra de vida).
24	PT_FIRE_RESIST_SKILL_PT	Resistência a Fogo	Aumenta a resistência a fogo. Tambémaumenta a defesa em níveis mais altos.
25	PT_WATER_RESIST_SKILL_PT	Resistência a Água	Aumenta a resistência a água. Tambémaumenta a defesa em níveis mais altos.
26	PT_ICE_RESIST_SKILL_PT	Resistência a Gelo	Aumenta a resistência a gelo. Tambémaumenta a defesa em níveis mais altos.
27	PT_THUNDER_RESIST_SKILL_PT	Resistência a Raio	Aumenta a resistência a raio. Tambémaumenta a defesa em níveis mais altos.
28	PT_DRAGON_RESIST_SKILL_PT	Resistência a Dragão	Aumenta a resistência a dragão. Tambémaumenta a defesa em níveis mais altos.
29	PT_ATT_RESIST_SKILL_PT	Resistência a Flagelo	Concede proteção contratodos os flagelos de elemento.
30	PT_FIRE_ATK_SKILL_PT	Ataque de Fogo	Aumenta o poder de ataques com elementofogo. (Poder de ataque elementaltem limite máximo.)
31	PT_WATER_ATK_SKILL_PT	Ataque de Água	Aumenta o poder de ataques com elementoágua. (Poder de ataque elementaltem limite máximo.)
32	PT_ICE_ATK_SKILL_PT	Ataque de Gelo	Aumenta o poder de ataques com elementogelo. (Poder de ataque elementaltem limite máximo.)
33	PT_THUNDER_ATK_SKILL_PT	Ataque de Raio	Aumenta o poder de ataques com elementoraio. (Poder de ataque elementaltem limite máximo.)
34	PT_DRAGON_ATK_SKILL_PT	Ataque de Dragão	Aumenta o poder de ataques com elementodragão. (Poder de ataque elementaltem limite máximo.)
35	PT_POISON_ATK_SKILL_PT	Ataque de Veneno	Aumenta a taxa de acúmulo de veneno.(Acúmulo elemental tem limite máximo.)
36	PT_PARALYSIS_ATK_SKILL_PT	Ataque de Paralisia	Aumenta a taxa de acúmulo de paralisia.(Acúmulo elemental tem limite máximo.)
37	PT_SLEEP_ATK_SKILL_PT	Ataque de Sono	Aumenta a taxa de acúmulo de sono.(Acúmulo elemental tem limite máximo.)
38	PT_BLAST_ATK_SKILL_PT	Ataque de Explosão	Aumenta a taxa de acúmulo de explosão.(Acúmulo elemental tem limite máximo.)
39	PT_NORMAL_UP_SKILL_PT	Disparos Normais	Aumenta o poder de ataque demunição e flechas normais.
40	PT_PIERCE_UP_SKILL_PT	Disparos Perfurantes	Aumenta o poder de ataque de muniçãoperfurante e Perfurador de Dragão.
41	PT_SPREAD_UP_G_SKILL_PT	Disparo Potente/Disperso	Aumenta o poder de ataque de munição dedispersão, flechas de disparo potente eMil Dragões.
42	PT_ADD_POISONBIN_SKILL_PT	Adição de Veneno	Permite a aplicação derevestimentos venenosos.
43	PT_ADD_PARALYSISBIN_SKILL_PT	Adição de Paralisia	Permite a aplicação derevestimentos paralisantes.
44	PT_ADD_SLEEPBIN_SKILL_PT	Adição de Sono	Permite a aplicação derevestimentos soníferos.
45	DUMMY000015	Unavailable	Unavailable
46	PT_ADD_BOMBBIN_SKILL_PT	Adição de Explosão	Permite a aplicação derevestimentos explosivos.
47	PT_AWAKE_SKILL_PT	Mais Munição/Elemento	Libera o elemento oculto da sua arma e aumenta a capacidade do fuzilarco.(Existe um limite de capacidade.)
48	PT_CRI_SKILL_PT	Olho Crítico	Aumenta a afinidade.
49	PT_SUPER_CRI_SKILL_PT	Reforço Crítico	Aumenta o dano de acertos críticos.
50	PT_WEAK_ATK_SKILL_PT	Exploração de Fraqueza	Aumenta a afinidade de ataquesque exploram o ponto fraco do monstro.
51	DUMMY000018	Unavailable	Unavailable
52	PT_CONCENTRATION_SKILL_PT	Foco	Aumenta a taxa de preenchimento dearmas com barras e a taxa de cargade armas com ataques energizados.
