Stage ID	Stage Name
ST101	Floresta Ancestral
ST102	Ermo Selvagulha
ST103	Planaltos Coralinos
ST104	Vale Putrefato
ST105	Fenda do Ancião
ST106	Grande Desfiladeiro
ST107	Grande Desfiladeiro
ST201	Arena Especial
ST202	Arena
ST301	Astera
ST302	Área de Encontro
ST303	Base de Pesquisas
ST304	
ST401	
ST402	
ST403	Rio Perene
ST404	
ST405	Confluência de Destinos
ST406	???
ST409	Cavernas de El Dorado
ST501	Alojamento
ST502	Alojamento Privado
ST503	Suíte Privada
ST504	Área de Treinamento
ST505	Câmara dos Cinco
ST301_1	Astera
ST108	Fronteira Glacial
ST305	Seliana
ST305s	Seliana
ST109	As Terras-Guias
ST411	Suprimentos de Seliana
ST412	Ilha da Origem
ST302s	Área de Encontro de Astera
ST306s	Área de Encontro de Seliana
ST301m	Astera
ST305m	Seliana
ST506	Casa de Seliana
ST302_S	Área de Encontro
ST415	Vale Isolado
ST203	Suprimentos de Seliana
