Weapon Type ID	Weapon Type	Weapon ID	Weapon Name	Rare	Model Type	Main Model Path	Sub Model Path
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	11	Espada Destruidora II	0	Combined Model	wp/two/two002	
0	GreatSword	13	Lâmina Destruidora I	0	Combined Model	wp/two/two002	
0	GreatSword	14	Lâmina Destruidora II	1	Combined Model	wp/two/two002	
0	GreatSword	15	Lâmina Destruidora III	2	Combined Model	wp/two/two002	
0	GreatSword	17	Navalha Cromada II	3	Combined Model	wp/two/two002	
0	GreatSword	18	Julgadora de Nergal	4	Combined Model	wp/two/two002	
0	GreatSword	19	Crueldade da Purgação	5	Combined Model	wp/two/two002	
0	GreatSword	21	Lâmina de Raio II	5	Combined Model	wp/two/two002	
0	GreatSword	22	Punição Fulgural I	6	Combined Model	wp/two/two003	wp/two/parts/op_two005
0	GreatSword	24	Punição Fulgural III	7	Unique Model	wp/two/two004	
0	GreatSword	26	Lâmina de Jagras II	2	Combined Model	wp/two/two002	
0	GreatSword	28	Facão de Jagras I	3	Combined Model	wp/two/two002	
0	GreatSword	29	Facão de Jagras II	4	Combined Model	wp/two/two003	
0	GreatSword	31	Lâmina de Girros I	5	Combined Model	wp/two/two003	
0	GreatSword	32	Lâmina de Girros II	5	Combined Model	wp/two/two003	
0	GreatSword	33	Beijo da Aflição I	3	Combined Model	wp/two/two002	
0	GreatSword	35	Beijo da Aflição III	4	Combined Model	wp/two/two002	
0	GreatSword	36	Chama de Lavasioth I	5	Combined Model	wp/two/two001	
0	GreatSword	38	Lâmina Pujante I	5	Combined Model	wp/two/two001	
0	GreatSword	39	Lâmina Pujante II	1	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	41	Chama de Datura I	2	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	42	Chama de Datura II	3	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	43	Chama de Datura III	4	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	45	Flâmina II	5	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	46	Asa Rubra	5	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	47	Asa Lazúli	2	Combined Model	wp/two/two002	wp/two/parts/op_two006
0	GreatSword	49	Lâmina Óssea I	3	Combined Model	wp/two/two002	wp/two/parts/op_two006
0	GreatSword	50	Lâmina Óssea II	4	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	52	Terror Ósseo I	5	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	53	Terror Ósseo II	5	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	54	Terror Ósseo III	5	Combined Model	wp/two/two001	wp/two/parts/op_two009
0	GreatSword	56	Maxilâmina Gigante II	6	Combined Model	wp/two/two001	wp/two/parts/op_two009
0	GreatSword	57	Beijo de Hazak	1	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	59	Presardente	2	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	60	Presardente+	3	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	61	Presardente Rangedora	4	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	63	Aquaterror II	5	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	64	Aquaterror III	5	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	65	Aquagolem I	3	Combined Model	wp/two/two002	wp/two/parts/op_two001
0	GreatSword	67	Aquagolem III	4	Combined Model	wp/two/two002	wp/two/parts/op_two001
0	GreatSword	68	Destrói Carapaça I	5	Unique Model	wp/two/two003	
0	GreatSword	70	Destrói Carapaça III	6	Unique Model	wp/two/two008	
0	GreatSword	72	Tritura Barroth II	7	Unique Model	wp/two/two008	
0	GreatSword	73	Tritura Barroth III	0	Combined Model	wp/two/two005	
0	GreatSword	75	Lâmina Perfurante II	0	Combined Model	wp/two/two005	
0	GreatSword	76	Placa de Radobaan I	1	Combined Model	wp/two/two005	
0	GreatSword	77	Placa de Radobaan II	2	Combined Model	wp/two/two005	
0	GreatSword	79	Cutelo Dragosso I	3	Combined Model	wp/two/two005	
0	GreatSword	80	Cutelo Dragosso II	4	Combined Model	wp/two/two005	
0	GreatSword	81	Cutelo Dragosso III	5	Combined Model	wp/two/two006	
0	GreatSword	83	Espadarraio	5	Combined Model	wp/two/two006	
0	GreatSword	84	Espadarraio de Kirin	6	Combined Model	wp/two/two006	wp/two/parts/op_two008
0	GreatSword	86	Cutelo Aço Negro I	7	Unique Model	wp/two/two006	
0	GreatSword	88	Gume de Friaço	2	Unique Model	wp/two/two005	
0	GreatSword	90	Maliq de Xeno	4	Unique Model	wp/two/two005	
0	GreatSword	91	Maxilâmina de Serpe	6	Unique Model	wp/two/two005	
0	GreatSword	92	Grd. Maxilâmina de Serpe	1	Combined Model	wp/two/two005	
0	GreatSword	94	Lâmina Congelante I	2	Combined Model	wp/two/two005	
0	GreatSword	95	Lâmina Congelante II	3	Combined Model	wp/two/two005	
0	GreatSword	96	Chama Gélida I	4	Combined Model	wp/two/two004	
0	GreatSword	98	Poder de Magda I	5	Combined Model	wp/two/two004	
0	GreatSword	99	"""Impacto"" Ign. Serpe"	5	Combined Model	wp/two/two004	
0	GreatSword	100	Espada Água de Ouro	1	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	102	Espada Sono de Ouro	2	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	103	Espada Ouro Jagras	3	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	104	Espada Ouro Pukei	4	Combined Model	wp/two/two006	wp/two/parts/op_two004
0	GreatSword	106	Espada Ouro Girros	5	Combined Model	wp/two/two006	wp/two/parts/op_two004
0	GreatSword	107	Espada Ouro Radobaan	5	Combined Model	wp/two/two006	wp/two/parts/op_two004
0	GreatSword	108	Espada Ouro Vaal	2	Combined Model	wp/two/two005	wp/two/parts/op_two007
