Askill ID	Askill Code	Askill Name	Askill Upgrade Name	Askill Desc
0	ASkill001	Маскировочный покров	Маскировочный покров+	Временно скрываетот врага. Эффект длится,пока вы не нападете или неполучите урон.
1	ASkill002	Временной покров	Временной покров+	Спасайтесь от мощных атак,автоматически уклоняясь от них.
2	ASkill003	Усилитель здоровья	Усилитель здоровья+	Дымовая шашка, котораяпостепенно восстанавливаетваше здоровье.
3	ASkill004	Покров скалы	Покров скалы+	Снимает реакцию на урон,устраняет эффекты ветра изащищает слух. Обеспечиваетустойчивость к тряске иснижает полученный урон.
4	ASkill005	Покров вызова	Покров вызова+	Заставляет чудовищ чаще васатаковать, благодаря чемуих становится проще выманить.Действие прекращается, когда васатакуют.
5	ASkill006	Покров живучести	Покров живучести+	Спасает от определенногоколичества очков урона, а затемисчезает.
6	ASkill007	Огнеупорный покров	Огнеупорный покров+	Снижает урон от огня,нейтрализует огненную и взрывнуюпорчу, нейтрализует урон отвысоких температурокружающей среды.
7	ASkill008	Водостойкий покров	Водостойкий покров+	Снижает урон от воды,нейтрализует водяную порчу,снижает замедление в грязи иубирает его в глубокой воде.
8	ASkill009	Ледостойкий покров	Ледостойкий покров+	Снижает урон от льда инейтрализует ледяную порчу.
9	ASkill010	Грозостойкий покров	Грозостойкий покров+	Снижает урон от грозы инейтрализует грозовую порчуи паралич.
10	ASkill011	Драконостойкий покров	Драконостойкий покров+	Снижает урон от драконов,нейтрализует драконью порчу иусиливает драконьи свойстваоружия.
11	ASkill012	Усилитель чистоты	Усилитель чистоты+	Дымовая шашка, котораяснимает любые аномальныеэффекты и стихийную порчу.
14	ASkill015	Покров ветра	Покров ветра+	Увеличивает продолжительностьпрыжка и позволяет парить напотоках сильного ветра. Крометого, помогает забираться начудовищ.
15	ASkill016	Покров уклонения	Покров уклонения+	Увеличивает окно неуязвимостипри уклонении ивременно усиливает атаку,если вы успели уклонитьсяв последний момент.
16	ASkill017	Покров импульса	Покров импульса+	Добавляет оглушающий эффект кбольшинству атак либоусиливает существующийоглушающий эффект.
17	ASkill018	Покров аптекаря	Покров аптекаря+	Увеличивает шанс активациинакопления статусов при атакеоружием, способным накладыватьаномальные статусы.
18	ASkill019	Покров устойчивости	Покров устойчивости+	На время действия снимаети нейтрализует все эффектыаномальных статусов.
19	ASkill020	Усилитель мастерства	Усилитель мастерства+	Дымовая шашка,повышающая мастерство.
20	ASkill021	Покров разбойника	Покров разбойника+	Чудовища роняют редкиепредметы для продажи, когда выих атакуете.
21	ASkill022	Капюшон ассасина	Капюшон ассасина+	Увеличивает скорость и позволяет вам быстрее прятаться. Чудовищу,застигнутому врасплох, наноситсябольшой урон, затем эффект исчезает.
