EC ID	EC SubID	Item ID	EC Name
0	0	-1	Unavailable
1	0	659	Заяц-пастух
1	1	660	Заяц-пилот
2	0	661	Древесный птерикс
2	1	662	Лесной птерикс
3	0	663	Кобальтовая бабочка
3	1	664	Призрачная бабочка
4	0	665	Взбирающийся окунь
5	0	666	Лесной геккон
5	1	667	Дикогорный геккон
5	2	668	Мрачный геккон
5	3	669	Лунный геккон
6	0	670	Паронид
6	1	671	Сквантула
7	0	672	Револьтур
7	1	673	Счастливчик
7	2	1792	Камнеклюв
8	0	674	Предвестник
8	1	675	Авгур
9	0	676	Чешуйчатая летучая мышь
9	1	945	Золотая летучая мышь
10	0	677	Навозный жук
10	1	678	Жук-бомба
10	2	1793	Снегожук
11	0	679	Розовый парексус
11	1	680	Большой розовый парексус
12	0	681	Взрывная аравана
12	1	682	Аравана-бомба
12	2	683	Большая взрывная аравана
12	3	684	Большая аравана-бомба
13	0	685	Элегантная коралл. птица
13	1	686	Щеголеватая коралл. птица
14	0	687	Анданглер
15	0	688	Пуховый коростель
15	1	689	Щетинистый коростель
16	0	690	Прыгучая гуппи
17	0	691	Петрикант
18	0	692	Парализующая жаба
18	1	693	Сонная жаба
18	2	694	Нитрожаба
19	0	695	Ползун
19	1	696	Королева ползунов
20	0	697	Исцеляющая оса
20	1	698	Гигант. исцеляющая оса
21	0	699	Летающая медуза
22	0	700	Муравей-переносчик
23	0	701	Геркудром
23	1	702	Золотой геркудром
23	2	703	Призматический геркудром
24	0	704	Императорский прыгун
24	1	705	Прыгун-тиран
25	0	706	Светляк
26	0	-1	羽虫
27	0	-1	ハエ
28	0	-1	ハチ
29	0	-1	蛍
30	0	707	Дедушка мантагрелл
31	0	708	Железный шлемный краб
31	1	709	Шлемный краб-солдат
31	2	710	Изумрудный шлемный краб
31	3	946	Золотой шлемный краб
31	4	947	Блестящий з. шлем. краб
32	1	-1	苦蟲
32	2	-1	光蟲
32	3	-1	不死蟲
32	4	-1	雷光蟲
32	5	-1	佳餚蟲
33	0	711	Точильная рыба
33	1	712	Большая точильная рыба
34	0	713	Ненасытный тунец
34	1	714	Большой ненасытный тунец
35	0	715	Королевский марлин
35	1	716	Большой королев. марлин
36	0	-1	楔虫
37	0	717	Золотая рыбка
37	1	718	Платиновая рыба
37	2	719	Большая золотая рыбка
37	3	720	Большая платиновая рыба
38	0	721	Позолоченная рыбка
38	1	722	Большая позолоч. рыбка
39	0	723	Рыба-суши
39	1	724	Большая рыба-суши
40	0	725	Пороховая рыба
40	1	726	Большая пороховая рыба
41	0	948	Медная калаппа
41	1	949	Золотая калаппа
42	0	950	Цутиноко
43	0	968	Кактуар
43	1	951	Иголки кактуара
43	2	967	Иголки и цветы кактуара
44	0	958	Накер
50	0	1455	Макака жемчужного источника
50	1	1456	Макака золотого источника
51	0	1458	Венценосная креветка
52	0	1459	Лунный слизень
53	0	1460	Пингвин-полярник
54	0	1461	Стрелоголовый геккон
55	0	1462	Голубая дива
56	0	1463	Кресторыба морского владыки
57	0	1464	Стеклянный парексус
57	1	1473	Большой стеклянный парексус
58	0	1465	Сеть зимней луны
59	0	1466	Кротт
59	1	1467	Мшистый кротт
59	2	1468	Каменистый кротт
59	3	1469	Пушистый кротт
59	4	1470	Колючий кротт
59	5	1471	Буйный кротт
59	6	1472	Морозный кротт
