Meal Code	Meal Name	Meal Effect
CatSkill000_CAT_SKILL	Котт-шлифовальщик	Часто ускоряет процесс заточки.
CatSkill001_CAT_SKILL	Котт-наездник	Помогает забираться на чудовищ.
CatSkill002_CAT_SKILL	Котт-герой	Значительно усиливает атаку приопасном снижении здоровья.
CatSkill003_CAT_SKILL	Котт-сборщик (Выс.)	Часто увеличивает количествопопыток разделки.
CatSkill004_CAT_SKILL	Котт-сборщик (Низ.)	Иногда увеличивает количествопопыток разделки.
CatSkill005_CAT_SKILL	Котт-медик	Усиливает исцеляющие свойствапредметов.
CatSkill006_CAT_SKILL	Котт с черным поясом	Снижает расход выносливостина уклонение, блокированиеи некоторые другие действия.
CatSkill007_CAT_SKILL	Котт-поджигатель	Улучшает Большую бочковую бомбудо Мегабочковой бомбы.
CatSkill008_CAT_SKILL	Котт-специалист	Усиливает атаки саномальными статусами.
CatSkill009_CAT_SKILL	Котт-защитник (Выс.)	Часто уменьшает получаемый урон.
CatSkill010_CAT_SKILL	Котт-защитник (Низ.)	Иногда уменьшает получаемыйурон.
CatSkill011_CAT_SKILL	Котт-собиратель	Уменьшает время восстановленияточек сбора.
CatSkill012_CAT_SKILL	Котт-снайпер	Усиливает атаку для обычныхвыстрелов и обычныхстрел.
CatSkill013_CAT_SKILL	Счастливый котт	Иногда увеличивает награду,которую вы получаете завыполнение задания.
CatSkill014_CAT_SKILL	Котт-отражатель	Помогает сохранить остротувашего оружия во времяотражения атак.
CatSkill015_CAT_SKILL	Котт-беглец	Снижает расход выносливости прибегстве от больших чудовищ.
CatSkill016_CAT_SKILL	Котт-спринтер	Во время транспортировкипредметов рывки расходуютменьше выносливости.
CatSkill017_CAT_SKILL	Поддерживающий котт	При переноске предмета не дастотбросить вас назад.
CatSkill018_CAT_SKILL	Ослабляющий котт	Во время заданий большиечудовища с большей вероятностьюоказываются слабее обычного.
CatSkill019_CAT_SKILL	Котт-обменщик	Увеличивает очки исследования,получаемые вамиза задание.
CatSkill020_CAT_SKILL	Поднимающий котт (Выс.)	Значительно увеличивает периоднеуязвимости во времяподъема.
CatSkill021_CAT_SKILL	Поднимающий котт (Низ.)	Увеличивает период неуязвимостиво время подъема.
CatSkill022_CAT_SKILL	Суровый котт	Увеличивает урон лукорудия, приэтом увеличивая отклонение.
CatSkill023_CAT_SKILL	Котт-скалолаз	Уменьшает расход выносливостипри уклонении на стенах и плюще.
G_CatSkill024_CAT_SKILL	Цепкий котт	Не позволяет некоторым атакамсбить вас со стен или плюща.
CatSkill025_CAT_SKILL	Стойкий котт-сборщик	Не дает отбросить вас назад вовремя разделки.
CatSkill026_CAT_SKILL	Котт-ловкач	Исключает спотыкание при прыжкес большой высоты.
CatSkill027_CAT_SKILL	Котт-бульдозер	Увеличивает атаку, если выатакуете сразу после отраженияудара.
CatSkill028_CAT_SKILL	Котт-гурман	Эффекты еды продолжаютдействовать даже после того,как вы потеряете сознание в бою.
CatSkill029_CAT_SKILL	Котт-боксер	Помогает оглушать чудовищ.
CatSkill030_CAT_SKILL	Котт-толстосум	Увеличивает количество зениза выполнение задания.
CatSkill031_CAT_SKILL	Котт-бомбардир	Повышает урон баллисты,липких снарядов и копьепушки.
CatSkill032_CAT_SKILL	Дерзкий котт	Единожды предотвращает обморокпри уроне, превышающемтекущий запас здоровья.
CatSkill033_CAT_SKILL	Котт-навозник	Повышает вероятность бегствачудовища после попадания в негонавозным снарядом.
CatSkill034_CAT_SKILL	Котт-чистюля	Вдвое сокращает длительностьослабления защиты иускоряет снятие порчи.
CatSkill035_CAT_SKILL	Покрытие из шерсти (К)	Убирает или снижает воздействиепорчи и окружающей среды.
CatSkill036_CAT_SKILL	Котт-акробат	В полете охотниквосстанавливается быстрее.
DUMMY000000	Unavailable	Unavailable
CatSkill038_CAT_SKILL	Котт-тренер	Ускоряет рост палико
CatSkill039_CAT_SKILL	Котт-усилитель	Временно повышает атаку изащиту в начале задания.
CatSkill040_CAT_SKILL	Лапы котта	Не дает вам терять равновесие.
CatSkill041_CAT_SKILL	Котт-рыбак	Повышает вероятность клеваво время рыбалки.
CatSkill042_CAT_SKILL	Крутой котт	"Временно усиливает атаку, есливы какое-то время используетежест ""Отдых""."
CatSkill043_CAT_SKILL	Котт-страховщик	Ваша группа не получит штрафпосле первого обморокаодного из членов.
CatSkill044_CAT_SKILL	Котт-провокатор	Привлекает внимание чудовища,увеличивая свои шансыстать его целью.
CatSkill045_CAT_SKILL	Прощальный подарок котта	При потере сознаниявосстанавливает здоровьесоюзников.
CatSkill046_CAT_SKILL	Исследователь коттов	Ускоряет открытие расследованийво время экспедиций.
CatSkill047_CAT_SKILL	Метеоролог коттов	Во время охоты вас чащенастигает непогода.
CatSkill048_CAT_SKILL	Шипы котта	Дает передвигаться с обычнойскоростью по особой местности.
CatSkill049_CAT_SKILL	Портной коттов	Уменьшает время восстановленияспециальных инструментов.
CatSkill050_CAT_SKILL	Защита коттов	Ваша группа не получит штрафпосле первого обморокаодного из членов.
CatSkill051_CAT_SKILL	Садовник коттов	Уменьшает время восстановленияопределенной местной живности.
