Delivery ID	Delivery Name	Delivery Reward
0	Выращивание древнего дерева	Катализатор
1	Расти, зелень, расти	Мега-удобрение
2	Грибная гора	Субстрат для отборного гриба
3	Жук-дудочник	Густое желе заклинателя
4	Разбить лиственный потолок	Древний катализатор
5	Мягкая почва	Мягкая почва
6	Сохранить урожай	Улучшение ящика для урожая
7	Расширение хранилища	Улучшение ящика для урожая
8	Лагерь: Древний лес 1	С-З лагерь (8)
9	Лагерь: Древний лес 2	Лагерь в Древнем лесу (17)
10	Лагерь: Дикогорье 1	Центральный лагерь (6)
11	Лагерь: Дикогорье 2	Восточный лагерь
12	Лагерь: Дикогорье 2	С-В лагерь (15)
13	Лагерь: Коралловое нагорье	С-В лагерь (12)
14	Лагерь: Убежище Древнего 1	Восточный лагерь (8)
15	Лагерь: Убежище Древнего 2	С-З лагерь (16)
16	Короткий путь к счастью	Канатный подъем
17	Оружейная: водозащита	Водостойкий покров
18	Оружейная: защита от погоды	Ледостойкий покров
19	Грибы: пахучий трофей	Королевский трюфель
20	Рыбный пир	Жабры гаджау
21	Роскошные креветки	Коралловая креветка
22	Овощ на миллион	Многослойная капуста
23	Тысячелетний краб?!	Тысячелетний краб
24	Помидоры краснее магмы	Мясистый помидор
25	Сопротивление сочному мясу	Жирный огузок
26	Сопротивление хорошей прожарке	Отличная баранина
27	Древняя, но свежая!	Древний морской окунь
28	Овощ, мастер маскировки	Душистый сельдерей
29	Фантасмагорическая паприка!	Призматическая паприка
30	Тост мастера	Мастерский эль
31	Огненное пиво	Виски Рата
32	Большая помощь	Рубленый стейк
