Insect ID	Insect Code	Insect Name	Model
0	ROD_INSECT_000_NAME	Трутень-убийца 1	mus001
1	ROD_INSECT_001_NAME	Трутень-убийца 2	mus001
2	ROD_INSECT_002_NAME	Трутень-убийца 3	mus001
3	ROD_INSECT_003_NAME	Алуканид 1	mus003
4	ROD_INSECT_004_NAME	Алуканид 2	mus003
5	ROD_INSECT_005_NAME	Алуканид 3	mus003
6	ROD_INSECT_006_NAME	Алуканид-монарх 1	mus004
7	ROD_INSECT_007_NAME	Алуканид-монарх 2	mus004
8	ROD_INSECT_008_NAME	Алуканид-монарх 3	mus004
9	ROD_INSECT_009_NAME	Крыло императрицы 1	mus005
10	ROD_INSECT_010_NAME	Крыло императрицы 2	mus005
11	ROD_INSECT_011_NAME	Крыло императрицы 3	mus005
12	ROD_INSECT_012_NAME	Ригипрайн 1	mus006
13	ROD_INSECT_013_NAME	Ригипрайн 2	mus006
14	ROD_INSECT_014_NAME	Ригипрайн 3	mus006
15	ROD_INSECT_015_NAME	Канкадаман 1	mus007
16	ROD_INSECT_016_NAME	Канкадаман 2	mus007
17	ROD_INSECT_017_NAME	Канкадаман 3	mus007
18	ROD_INSECT_018_NAME	Брикс-обманщик 1	mus008
19	ROD_INSECT_019_NAME	Брикс-обманщик 2	mus008
20	ROD_INSECT_020_NAME	Брикс-обманщик 3	mus008
21	ROD_INSECT_021_NAME	Ветролом 1	mus009
22	ROD_INSECT_022_NAME	Ветролом 2	mus009
23	ROD_INSECT_023_NAME	Ветролом 3	mus009
24	ROD_INSECT_024_NAME	Гранкатар 1	mus010
25	ROD_INSECT_025_NAME	Гранкатар 2	mus010
26	ROD_INSECT_026_NAME	Гранкатар 3	mus010
27	ROD_INSECT_027_NAME	Псевдокат 1	mus011
28	ROD_INSECT_028_NAME	Псевдокат 2	mus011
29	ROD_INSECT_029_NAME	Псевдокат 3	mus011
30	ROD_INSECT_030_NAME	Трутень-кувалда 1	mus012
31	ROD_INSECT_031_NAME	Трутень-кувалда 2	mus012
32	ROD_INSECT_032_NAME	Трутень-кувалда 3	mus012
33	ROD_INSECT_033_NAME	Врагожук 1	mus014
34	ROD_INSECT_034_NAME	Врагожук 2	mus014
35	ROD_INSECT_035_NAME	Врагожук 3	mus014
36	ROD_INSECT_036_NAME	Жук-мясник 1	mus015
37	ROD_INSECT_037_NAME	Жук-мясник 2	mus015
38	ROD_INSECT_038_NAME	Жук-мясник 3	mus015
39	ROD_INSECT_039_NAME	Боннетфиль 1	mus016
40	ROD_INSECT_040_NAME	Боннетфиль 2	mus016
41	ROD_INSECT_041_NAME	Боннетфиль 3	mus016
42	ROD_INSECT_042_NAME	Круглощит 1	mus017
43	ROD_INSECT_043_NAME	Круглощит 2	mus017
44	ROD_INSECT_044_NAME	Круглощит 3	mus017
45	ROD_INSECT_045_NAME	Павеза 1	mus018
46	ROD_INSECT_046_NAME	Павеза 2	mus018
47	ROD_INSECT_047_NAME	Павеза 3	mus018
48	ROD_INSECT_048_NAME	Аркдева 1	mus019
49	ROD_INSECT_049_NAME	Аркдева 2	mus019
50	ROD_INSECT_050_NAME	Аркдева 3	mus019
51	ROD_INSECT_051_NAME	Галлшад 1	mus020
52	ROD_INSECT_052_NAME	Галлшад 2	mus020
53	ROD_INSECT_053_NAME	Галлшад 3	mus020
54	ROD_INSECT_054_NAME	Бычье облако 1	mus021
