Item ID	Item Name	Item Type	Rare	Item Desc
0	--------	Material	0	Unavailable
1	Зелье	Item	0	Восстанавливает немногоздоровья.
2	Мегазелье	Item	1	Восстанавливает среднее количествоздоровья.
3	Максимальное зелье	Item	2	Полностью восстанавливает здоровье,повышает максимумздоровья.
4	Древнее зелье	Item	4	Полностью восстанавливает здоровье,максимально увеличивая шкалуздоровья и выносливости.
5	Противоядие	Item	0	Средство от отравлений
6	Травяное лекарство	Item	1	Удаляет все следы яда ивосстанавливает немногоздоровья.
7	Пустоягода	Item	1	Таинственная ягода, вызывающаяразного рода порчи.
8	Тоник	Item	1	Одобренный гильдией напиток,повышающий выносливость. Со сномбороться тоже помогает!
9	Паек	Item	0	Еда, которая немноговосстанавливает выносливость.
10	Полусырой стейк	Item	0	Ощутимо повышает выносливость.Внутри еще красный.
11	Хорошо прожаренный стейк	Item	1	Ощутимо повышает выносливость идольше поддерживает ее на максимуме.Правильно приготовленное мясо!
12	Сгоревшее мясо	Item	0	Немного повышает выносливость.Можно быстро съесть.
13	Освежающий напиток	Item	0	Временно спасает от невыносимойжары.
14	Питательная смесь	Item	1	Едва заметно увеличиваетмаксимальный уровень здоровья.
15	Мегапитательная смесь	Item	2	Немного увеличивает максимальныйуровень здоровья.
16	Иммунатор	Item	2	Усиливает естественную способностьк исцелению.
17	Мясо по-астерски	Item	1	Вяленое мясо от шеф-повара Астеры.Усиливает естественную способностьк исцелению, снимает кровотечение.
18	Сок бодрости	Item	1	Притупляет чувство усталости.Временно уменьшает расходвыносливости.
19	Сок мегабодрости	Material	3	Позволяет совершать рывки безустали. Действует дольше, чемобычный сок бодрости.
20	Зерно могущества	Item	1	При попадании в организм улучшаетпоток энергии и усиливает атаки.
21	Демоническое снадобье	Item	3	Усиливает ваши атаки, наполняя вас —вы не поверите — демонической силой.
22	Мегадемоническое снадобье	Item	4	Усиливает ваши атаки, действуя ещеэффективнее, чем обычноедемоническое снадобье.
23	Таблетка могущества	Item	3	Временно наделяет вас божественнойсилой. Крепкая штука!
24	Адамантовое зерно	Item	1	Попадая в организм, укрепляет тканитела и временно повышает защиту.
