Deco ID	Item ID	Deco Name	Slot Size
0	727	Самоцвет-противоядие 1	1
1	728	"Самоцвет ""Антипаралич"" 1"	1
2	729	Самоцвет бодрости 1	1
3	730	Самоцвет твердости 1	1
4	731	Саперный самоцвет 1	1
5	732	Самоцвет крови 1	1
6	733	Защитный самоцвет 1	1
7	734	"Самоцвет ""Беруши"" 3"	3
8	735	"Самоцвет ""Антиветер"" 2"	2
9	736	Самоцвет устойчивости 2	2
10	739	Самоцвет атаки 1	1
11	740	Самоцвет защиты 1	1
12	741	Самоцвет живучести 1	1
13	742	Самоцвет восстановления 1	1
14	743	Самоцвет Антиогонь 1	1
15	744	Самоцвет Антивода 1	1
16	745	Самоцвет Антилед 1	1
17	746	Самоцвет Антигроза 1	1
18	747	Самоцвет Антидракон 1	1
19	748	Самоцвет от сглаза 1	1
20	749	Самоцвет пламени 1	1
21	750	Самоцвет потока 1	1
22	751	Самоцвет мороза 1	1
23	752	Самоцвет молнии 1	1
24	753	Самоцвет дракона 1	1
25	754	Самоцвет отравы 1	1
26	755	"Самоцвет ""Парализатор"" 1"	1
27	756	Самоцвет сна 1	1
28	757	Самоцвет взрыва 1	1
29	758	Самоцвет улучшения яда 3	3
30	759	Самоцвет улучшения паралича 3	3
31	760	Самоцвет улучшения сна 3	3
32	761	Самоцвет улучшения взрыва 3	3
33	763	Самоцвет высвобождения 3	3
34	764	Самоцвет эксперта 1	1
35	765	Критический самоцвет 2	2
36	766	Самоцвет размягчения 2	2
37	767	Самоцвет заряда 2	2
38	768	Самоцвет ремесла 3	3
39	769	Самоцвет выхвата 2	2
40	770	Самоцвет уничтожения 2	2
41	771	Самоцвет нокаута 2	2
42	772	Самоцвет высасывания 1	1
43	774	Самоцвет полета 2	2
44	775	Самоцвет удушения 2	2
45	776	Самоцвет вызова 2	2
46	777	Безупречный самоцвет 2	2
47	778	Самоцвет потенциала 2	2
48	779	Самоцвет стойкости 1	1
49	780	Самоцвет ярости 2	2
50	781	Звонкий самоцвет 1	1
51	782	Самоцвет боезапаса 2	2
52	783	Снайперский самоцвет 1	1
53	784	Самоцвет артиллерии 1	1
54	785	Самоцвет тяжелой артиллерии 1	1
55	786	Самоцвет бегуна 2	2
56	787	Самоцвет телосложения 2	2
57	789	Самоцвет обновления 2	2
58	790	Самоцвет сытости 1	1
59	791	Самоцвет уклонения 2	2
60	792	Самоцвет прыгучести 2	2
61	793	Самоцвет железной стены 1	1
62	794	Самоцвет ножен 1	1
63	795	Самоцвет дружбы 1	1
64	796	Самоцвет терпения 1	1
65	797	Самоцвет пресыщения 1	1
66	798	Самоцвет обжорства 1	1
67	799	Точильный самоцвет 1	1
68	800	"Самоцвет ""Бомбардировщик"" 1"	1
69	801	Грибной самоцвет 1	1
70	808	Самоцвет благословения 1	1
71	809	Самоцвет мяустера 1	1
72	810	Ботанический самоцвет 1	1
73	811	Геологический самоцвет 1	1
74	812	Могучий самоцвет 2	2
75	813	Самоцвет метателя 1	1
76	814	Самоцвет бесшумности 1	1
77	815	Самоцвет группировки 3	3
78	819	Самоцвет дыма 1	1
79	820	Самоцвет трясины 1	1
80	824	Самоцвет образцов 1	1
81	826	Самоцвет запаха 1	1
82	828	Самоцвет устрашения 1	1
83	832	Самоцвет скольжения 2	2
84	833	Лекарственный самоцвет 1	1
85	834	Самоцвет мощного выстрела 3	3
86	835	Пронзающий самоцвет 3	3
87	836	Самоцвет разброса 3	3
88	837	Самоцвет усиления 2	2
89	838	Самоцвет кризиса 1	1
90	839	Самоцвет драконьей печати 3	3
91	842	Самоцвет обслуживания 1	1
