Mission ID	Mission Name	Mission Desc
0	Экспедиция: залежи ресурсов	Добудьте ресурсы из залежей 6 раз.
1	Экспедиция: залежи ресурсов	Добудьте ресурсы из залежей 12 раз.
2	Экспедиция: кучи костей	Соберите предметы с куч костей 6 раз.
3	Экспедиция: кучи костей	Соберите предметы с куч костей 12 раз.
4	Экспедиция: флора	Соберите растения 4 раза.
5	Экспедиция: флора	Соберите растения 7 раз.
6	Экспедиция: грибы	Соберите грибы 4 раза.
7	Экспедиция: грибы	Соберите грибы 7 раз.
8	Экспедиция: энтомология	Соберите насекомых 3 раза.
9	Экспедиция: энтомология	Соберите насекомых 5 раз.
10	Экспедиция: мед	Соберите мед 3 раза.
11	Экспедиция: мед	Соберите мед 5 раз.
12	Природа: большая охота	Убейте 2 больших чудовищ.
13	Природа: большая охота	Убейте 1 большое чудовище.
14	Природа: большая поимка	Поймайте 1 большое чудовище.
15	Природа: малая охота	Убейте 8 маленьких чудовищ.
16	Природа: малая охота	Убейте 16 маленьких чудовищ.
17	Исследование: Древний лес	Выполните 2 задания в Древнем лесу.
18	Исследование: Древний лес	Выполните 3 задания в Древнем лесу.
19	Исследование: Дикогорье	Выполните 2 задания в Дикогорье.
20	Исследование: Дикогорье	Выполните 3 задания в Дикогорье.
21	Экспедиция: залежи ресурсов	Добудьте ресурсы из залежей 9 раз.
22	Экспедиция: залежи ресурсов	Добудьте ресурсы из залежей 15 раз.
23	Экспедиция: кучи костей	Соберите предметы с куч костей 9 раз.
24	Экспедиция: кучи костей	Соберите предметы с куч костей 15 раз.
25	Экспедиция: флора	Соберите растения 5 раз.
26	Экспедиция: флора	Соберите растения 8 раз.
27	Экспедиция: грибы	Соберите грибы 5 раз.
28	Экспедиция: грибы	Соберите грибы 8 раз.
29	Экспедиция: энтомология	Соберите насекомых 4 раза.
30	Экспедиция: энтомология	Соберите насекомых 7 раз.
31	Экспедиция: мед	Соберите мед 4 раза.
32	Экспедиция: мед	Соберите мед 7 раз.
33	Природа: большая охота	Убейте 3 больших чудовищ.
34	Природа: большая охота	Убейте 2 больших чудовищ.
35	Природа: большая поимка	Поймайте 2 больших чудовищ.
36	Природа: большая поимка	Поймайте 1 большое чудовище.
37	Природа: малая охота	Убейте 10 маленьких чудовищ.
38	Природа: малая охота	Убейте 20 маленьких чудовищ.
39	Природа: охота на клыкастых	Выследите 2 больших клыкастых виверн.
40	Природа: поимка клыкастых	Поймайте 1 большую клыкастую виверну.
41	Природа: охота на пернатых	Выследите 2 больших пернатых виверн.
42	Природа: поимка пернатых	Поймайте 1 большую пернатую виверну.
43	Природа: охота на свирепых	Выследите 2 больших свирепых виверн.
44	Природа: поимка свирепых	Поймайте 1 большую свирепую виверну.
45	Природа: охота на летающих	Выследите 2 больших летающих виверн.
