Monster ID	Monster Code	Monster Name
0	EM100	Аньянат
1	EM002	Раталос
2	EMS001	Аптонот
3	EMS049	Яграс
4	EM106	Дзора Магдарос
5	EMS004	Мохосвин
6	EMS029	Гаджау
7	EM101	Большой яграс
8	EMS051	Кестодон (самец)
9	EM001	Ратиана
10	EM001_01	Розовая ратиана
11	EM002_01	Лазурный раталос
12	EM007	Диаблос
13	EM007_01	Черная диаблос
14	EM011	Кирин
15	EM121_01	Бахамут
16	EM024	Кушала-даора
17	EM026	Лунастра
18	EM027	Теостра
19	EM036	Лавасиот
20	EM043	Девильо
21	EM044	Баррот
22	EM045	Урагаан
23	EM127_00	Леший
24	EM102	Поки-поки
25	EM103	Нергигант
26	EM105	Ксено'джиива
27	EM107	Кулу-йа-ку
28	EM107_01	Цици-йа-ку
29	EM108	Юратод
30	EM109	Тоби-кадачи
31	EM110	Паолуму
32	EM111	Легиана
33	EM112	Большой гиррос
34	EM113	Одогарон
35	EM114	Радобаан
36	EM115	Ваал-хазак
37	EM116	Додогама
38	EM117	Кулве тарот
39	EM118	Базельгейс
40	EMS002	Апцерос
41	EMS003	Келби
42	EMS003_05	Келби
43	EMS005	Роготавр
44	EMS006	Осоид
45	EMS050	Мернос
46	EMS051_05	Кестодон (самка)
47	EMS053	Рафинос
48	EMS054	Шамос
49	EMS055	Барнос
50	EMS056	Гиррос
51	EM127_01	Древний леший
52	EMS058	Гастодон
53	EMS059	Ноиос
54	EMS060_00	Магма-пузырь
55	EMS060_01	Магма-пузырь
56	EMS061	Гаялака
57	EMXXX	Неизвестно
58	EM001_99	??? Ратиана
59	EMS051_99	Кестодон
60	EMS061_02	Золотое племя
61	EM032_00	Тигрекс
62	EM037_00	Наргакуга
63	EM042_00	Бариот
64	EM_TEST_00001	Лютый девильо
65	EM063_00	Брахидиос
66	EM080_00	Главенус
67	EM080_01	Кислотный главенус
68	EM100_01	Громовой аньянат
69	EM102_01	Коралловый поки-поки
70	EM103_05	Нергигант-губитель
71	EM109_01	Аспидовый тоби-кадачи
72	EM110_01	Ночной паолуму
73	EM111_05	Визжащая легиана
74	EM113_01	Эбеновый одогарон
75	EM115_05	Тленный ваал-хазак
76	EM118_05	Вспыльчивый базельгейс
77	EM122_00	Беотод
78	EM123_00	Банбаро
79	EM124_00	Велхана
80	EM125_00	Намиэль
81	EM126_00	Шара-ишвалда
82	EMS014_00	Попо
83	EMS016_00	Антека
84	EMS063_00	Вальг
85	EMS064_00	Кортос
86	EMS061_01	Боа-боа
87	DUMMY000014	Unavailable
88	EM001_02	Золотая ратиана
89	EM002_02	Серебристый раталос
90	EM018_00	Йан-гаруга
91	EM023	Раянг
92	EM023_05	Взбешенный раянг
93	EM_TEST_00002	Свирепый тигрекс
94	EM057_00	Зиногр
95	EM057_01	Стигийский зиногр
96	EM063_05	Неистовый брахидиос
97	EM104	Сафи'джиива
98	DUMMY000016	Unavailable
99	EM018_05	Матерый йан-гаруга
100	DUMMY000018	Unavailable
101	DUMMY000020	Unavailable
